timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-2,991,693,849,976,979
10,0,-5,985,695,848,960,979
20,0,-6,991,693,859,976,973
30,0,-7,958,692,862,994,985
40,0,-8,979,689,842,987,982
50,0,-8,977,700,853,987,976
60,0,-8,997,704,855,983,985
70,0,-8,993,709,866,981,973
80,0,-8,994,722,860,973,970
90,0,-8,994,731,863,979,1035
100,0,-8,991,740,880,992,983
110,0,-8,990,737,868,982,979
120,0,-8,980,746,854,977,976
130,0,-8,1008,762,879,985,976
140,0,-8,1002,768,871,983,981
150,0,-8,982,769,872,981,980
160,0,-8,990,784,883,950,981
170,0,-8,993,831,880,1008,968
180,0,-7,981,811,881,985,989
190,0,-6,993,801,899,982,990
200,0,-5,986,807,890,987,985
210,0,-4,997,823,896,976,976
220,0,-4,1018,817,880,973,981
230,0,-4,977,835,894,972,976
240,0,-4,1005,842,902,983,963
250,0,-4,981,848,904,975,976
260,0,-3,995,857,896,974,995
270,0,-2,977,855,909,972,1003
280,0,-1,990,848,897,978,978
290,0,0,1029,854,906,976,989
300,0,0,998,891,906,979,981
310,0,0,992,841,897,977,988
320,0,0,976,858,903,987,985
330,0,0,987,880,912,975,988
340,0,0,1005,864,895,970,977
350,0,0,977,849,896,991,976
360,0,0,995,866,909,978,976
370,0,0,1002,857,909,998,981
380,0,0,997,873,923,971,965
390,0,0,995,870,902,976,967
400,0,0,995,865,919,979,963
410,0,0,993,839,902,992,979
420,0,0,982,856,903,986,975
430,0,0,997,811,899,959,949
440,0,0,1008,863,904,979,976
450,0,0,981,863,912,976,996
460,0,0,994,849,893,959,982
470,0,0,995,859,921,989,982
480,0,0,990,861,913,1001,977
490,0,0,987,851,906,980,987
500,0,0,991,863,896,977,977
510,0,0,983,874,919,977,974
520,0,0,991,824,924,973,986
530,0,0,981,857,910,976,993
540,0,0,997,848,907,981,983
550,0,0,999,875,909,976,987
560,0,0,972,851,911,986,976
570,0,0,997,880,912,976,988
580,0,0,1011,850,901,976,923
590,0,1,1014,849,909,979,983
600,0,2,1013,853,912,993,976
610,0,4,986,858,930,982,968
620,0,6,983,830,899,974,977
630,0,8,979,847,910,985,976
640,0,10,985,797,894,978,958
650,0,11,987,769,890,992,976
660,0,12,993,750,906,991,983
670,0,13,978,658,879,986,977
680,0,13,991,676,887,975,986
690,0,13,970,656,886,978,993
700,0,13,983,659,871,974,976
710,0,12,986,665,877,975,985
720,0,11,982,656,871,985,967
730,0,10,981,636,861,983,977
740,0,10,981,645,858,997,977
750,0,10,975,667,887,996,976
760,1,9,970,649,859,987,982
770,1,8,987,663,854,976,976
780,1,7,993,655,855,976,980
790,1,6,992,650,846,979,973
800,1,5,978,671,837,981,975
810,1,4,977,671,848,992,976
820,1,3,977,657,859,978,983
830,1,3,1005,684,846,977,986
840,1,3,979,675,859,975,981
850,1,2,984,686,805,970,976
860,1,1,991,689,842,975,978
870,1,0,997,686,832,969,976
880,1,0,978,688,854,976,989
890,1,0,989,687,854,975,982
900,1,0,966,688,860,988,972
910,1,0,989,700,859,985,980
920,1,0,976,677,849,988,983
930,1,0,976,698,864,974,982
940,1,0,978,688,848,976,983
950,1,0,997,693,852,981,979
960,1,0,976,709,864,977,982
970,1,0,976,705,846,976,978
980,1,0,1002,692,864,976,975
990,1,0,990,706,853,973,979
