timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,0,981,750,850,976,978
10,-1,0,957,713,849,982,981
20,0,0,1007,779,852,996,978
30,0,-1,977,757,855,987,980
40,0,-1,1008,741,823,993,978
50,0,-1,983,738,845,995,982
60,0,-1,985,737,846,975,982
70,0,-1,976,753,847,1010,976
80,0,-1,983,758,843,985,978
90,0,-1,977,758,848,976,977
100,0,-1,983,742,849,994,985
110,0,-1,975,762,850,983,982
120,0,-1,962,758,848,975,993
130,0,-1,988,762,848,996,998
140,0,-1,974,768,845,980,1040
150,0,-1,979,786,873,994,974
160,0,-1,988,784,862,992,981
170,0,-1,977,798,871,984,976
180,0,-1,982,816,877,1000,983
190,0,-1,986,835,871,989,976
200,0,-1,970,850,880,982,981
210,0,-1,987,844,877,992,977
220,0,-1,937,851,902,967,955
230,0,-1,995,864,876,982,989
240,0,-1,991,880,890,977,981
250,0,-1,986,874,912,978,976
260,0,-1,993,885,893,988,975
270,0,0,991,897,893,997,992
280,0,0,992,891,880,981,980
290,0,0,1012,897,894,977,976
300,0,0,993,895,915,981,989
310,0,0,1015,879,881,1008,1004
320,0,0,991,897,907,976,983
330,0,0,973,891,897,979,989
340,0,0,981,893,906,1005,985
350,0,0,997,914,911,987,982
360,0,0,993,944,906,991,1005
370,0,0,981,898,898,976,977
380,0,-1,1005,926,895,979,985
390,0,-2,990,898,861,1000,992
400,0,-2,993,897,896,995,976
410,0,-2,993,879,903,978,965
420,0,-1,996,902,918,985,987
430,0,-1,992,891,919,995,986
440,0,-1,990,891,912,966,979
450,0,0,1009,898,905,996,986
460,0,0,994,908,927,974,977
470,0,0,1008,847,911,974,982
480,0,0,976,905,929,986,982
490,0,0,940,897,826,989,969
500,0,0,997,905,911,980,987
510,0,0,991,901,910,981,976
520,0,0,989,904,925,979,1008
530,0,0,991,903,914,993,983
540,0,0,1038,905,921,976,966
550,0,0,994,909,891,993,938
560,0,0,989,911,925,984,987
570,0,0,1007,885,903,1015,980
580,0,0,997,901,910,993,985
590,0,0,992,913,899,982,980
600,0,1,997,881,902,967,989
610,0,2,992,913,889,987,981
620,0,3,992,931,892,989,993
630,0,4,989,821,908,987,981
640,0,5,997,884,899,979,977
650,0,5,993,848,894,981,984
660,0,5,991,822,887,979,983
670,0,5,1002,787,880,991,976
680,0,5,991,781,877,999,983
690,0,5,988,734,881,997,989
700,0,5,986,718,878,989,978
710,0,5,983,722,886,995,978
720,0,5,995,704,877,992,987
730,0,5,975,752,878,977,985
740,0,4,986,703,873,989,974
750,0,4,990,704,835,986,991
760,0,3,989,698,848,975,976
770,0,3,995,698,847,979,976
780,0,2,998,723,887,999,988
790,0,1,977,710,863,983,991
800,0,1,981,706,851,975,989
810,0,1,989,688,874,982,971
820,0,1,986,706,848,986,982
830,0,1,1004,726,869,1030,970
840,0,1,987,723,862,1014,969
850,0,1,1002,734,852,985,975
860,0,1,977,694,852,976,976
870,0,1,976,712,848,978,993
880,0,1,990,718,848,982,978
890,0,1,999,715,859,991,978
900,0,1,981,726,848,973,976
910,0,1,995,720,850,978,978
920,0,1,977,719,848,971,976
930,0,1,979,725,862,995,978
940,0,1,981,732,851,988,978
950,0,1,993,714,842,975,980
960,0,1,975,752,835,982,994
970,0,0,983,731,857,976,981
980,0,0,975,714,869,981,982
990,0,0,981,747,846,970,992
