timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-1,993,711,855,980,979
10,0,-4,992,704,865,961,986
20,0,-5,989,699,881,981,944
30,0,-6,990,705,864,979,977
40,0,-6,997,693,862,983,976
50,0,-6,989,656,836,970,975
60,0,-6,986,700,867,980,980
70,0,-6,1020,706,850,978,975
80,0,-6,991,694,878,987,979
90,0,-6,997,724,867,974,975
100,0,-6,979,714,854,991,977
110,0,-6,1005,721,880,991,986
120,0,-6,981,705,867,970,1005
130,0,-6,999,721,857,970,990
140,0,-6,965,716,874,995,979
150,0,-6,1005,718,869,1008,982
160,0,-6,976,724,864,994,976
170,0,-6,1013,752,862,983,990
180,0,-6,998,794,880,1002,975
190,0,-6,976,754,866,979,979
200,0,-6,998,768,885,976,959
210,0,-6,993,786,905,978,974
220,0,-6,982,786,882,976,979
230,0,-6,991,814,880,985,981
240,0,-6,991,823,882,974,976
250,0,-6,978,799,889,992,985
260,0,-6,982,832,885,944,988
270,0,-6,977,831,895,987,979
280,0,-6,997,847,894,991,977
290,0,-6,978,848,894,982,978
300,0,-6,999,848,912,976,981
310,0,-6,989,855,885,1005,950
320,0,-6,981,870,880,991,981
330,0,-6,991,839,894,983,962
340,0,-6,992,878,900,989,992
350,0,-6,991,883,905,995,979
360,0,-6,987,880,891,983,979
370,0,-6,978,867,912,992,980
380,0,-6,986,890,903,982,974
390,0,-5,997,857,899,1004,992
400,0,-4,999,875,898,973,975
410,0,-3,996,887,919,1008,976
420,0,-2,992,900,910,990,976
430,0,-1,1003,880,910,1001,976
440,0,0,989,875,924,978,982
450,0,0,1000,905,897,1002,985
460,0,0,992,871,903,993,989
470,0,0,995,879,920,982,983
480,0,0,986,883,906,997,983
490,0,0,978,862,918,989,997
500,0,0,1008,869,905,1002,980
510,0,0,1008,882,912,982,986
520,0,0,995,849,913,967,977
530,0,0,992,878,910,992,983
540,0,0,989,880,912,978,969
550,0,0,1009,879,923,976,976
560,0,0,992,873,918,976,990
570,0,0,983,882,918,986,974
580,0,0,1008,882,911,990,987
590,0,1,995,867,907,989,985
600,0,3,1008,882,896,986,994
610,0,5,991,868,912,986,979
620,0,6,1005,824,867,992,977
630,0,7,1001,859,916,973,999
640,0,8,976,864,899,990,982
650,0,9,1000,850,880,982,986
660,0,9,1008,813,891,1008,985
670,0,9,983,788,883,982,977
680,0,9,981,765,881,982,984
690,0,9,989,716,897,976,983
700,0,9,997,716,888,992,977
710,0,8,977,699,880,976,970
720,0,7,993,693,881,986,980
730,0,6,994,701,877,977,974
740,0,6,998,686,865,981,977
750,0,6,1010,703,876,999,973
760,0,6,989,676,875,948,978
770,0,6,999,688,863,979,977
780,0,6,984,688,886,992,989
790,0,6,987,697,870,976,987
800,0,6,1013,674,866,1003,981
810,0,5,999,695,880,944,986
820,0,4,981,679,876,983,979
830,0,3,989,679,852,977,975
840,0,2,993,706,879,963,976
850,0,1,983,691,873,976,993
860,0,0,987,691,816,979,995
870,0,0,1069,701,867,987,997
880,0,0,978,685,858,975,979
890,0,0,988,711,871,983,976
900,0,0,983,713,853,973,978
910,0,0,976,689,855,983,976
920,0,0,992,703,868,994,981
930,0,0,1003,701,865,977,976
940,0,0,1011,774,873,987,969
950,0,0,979,688,875,975,976
960,0,0,976,708,869,977,978
970,0,0,983,683,838,979,982
980,0,0,982,716,862,976,976
990,0,0,997,693,852,976,981
