timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,1,-5,1014,717,880,975,983
10,3,-11,976,707,887,994,982
20,5,-16,981,717,879,947,982
30,7,-19,975,703,877,979,976
40,9,-21,993,715,877,996,978
50,10,-21,997,720,880,974,980
60,11,-21,992,750,880,990,980
70,11,-20,985,734,899,983,980
80,11,-19,982,735,883,979,989
90,12,-18,983,735,896,986,983
100,13,-17,981,734,885,983,979
110,14,-16,976,739,880,981,983
120,15,-15,990,741,875,973,982
130,16,-14,975,739,887,979,976
140,17,-13,981,743,867,986,978
150,18,-12,995,727,877,975,970
160,19,-11,978,743,898,991,983
170,20,-10,994,752,883,976,982
180,21,-9,978,762,883,981,983
190,21,-8,998,765,889,978,983
200,21,-7,997,734,882,982,976
210,20,-6,983,755,887,981,976
220,19,-5,976,756,880,978,967
230,18,-4,993,774,894,980,977
240,17,-4,991,787,882,970,977
250,16,-4,986,816,910,989,979
260,15,-4,995,812,892,989,986
270,14,-4,1003,818,896,1003,976
280,13,-5,997,819,880,980,971
290,12,-6,1005,847,874,979,976
300,11,-7,1005,816,896,978,990
310,10,-8,995,859,894,980,961
320,10,-9,998,831,881,981,982
330,10,-10,1039,885,901,941,978
340,10,-11,1014,850,891,986,981
350,9,-11,1006,848,899,969,979
360,8,-10,1008,876,887,974,986
370,7,-9,1012,865,882,1001,979
380,6,-8,1013,862,894,979,965
390,5,-7,995,859,896,990,979
400,4,-5,1001,858,893,982,983
410,3,-3,1035,843,912,1000,998
420,2,-1,998,864,889,989,975
430,2,0,1003,853,912,980,997
440,2,0,997,880,903,977,978
450,2,0,994,875,899,976,979
460,2,0,1008,865,911,950,971
470,2,0,998,863,896,987,981
480,1,0,991,865,890,977,978
490,1,0,1003,863,912,973,983
500,0,0,997,871,905,992,979
510,0,0,1003,864,916,995,987
520,0,0,1006,823,903,976,960
530,0,0,1002,858,907,976,976
540,0,0,972,835,897,979,985
550,0,0,1007,848,912,1023,976
560,0,0,982,832,899,989,999
570,0,0,997,811,890,990,979
580,0,0,989,800,898,976,983
590,0,1,996,794,896,977,978
600,0,2,1005,755,880,989,983
610,0,3,978,726,906,976,991
620,0,4,994,753,892,960,990
630,0,5,980,715,887,989,976
640,0,6,998,704,882,983,971
650,0,7,972,738,885,992,977
660,0,8,976,692,871,983,976
670,0,9,991,714,867,960,986
680,0,10,979,678,881,966,979
690,0,10,993,680,874,988,985
700,0,10,994,672,892,984,986
710,0,10,987,670,863,979,990
720,0,10,979,687,855,978,987
730,0,10,983,683,883,979,992
740,0,9,976,669,866,978,979
750,0,8,976,687,883,1009,965
760,0,7,992,642,866,988,983
770,0,6,1008,688,864,976,989
780,0,5,982,706,877,1005,993
790,0,4,981,663,880,977,977
800,0,4,998,604,877,981,965
810,0,3,992,682,874,976,979
820,0,3,976,688,864,985,978
830,0,3,961,686,879,977,987
840,0,2,997,678,858,980,973
850,0,1,1008,681,870,973,978
860,0,0,976,656,864,1008,985
870,0,0,987,673,870,986,977
880,0,0,1005,688,869,990,982
890,0,0,981,697,880,980,983
900,0,0,975,669,880,973,992
910,0,0,955,683,879,976,991
920,0,0,979,687,879,975,979
930,0,0,992,689,882,985,970
940,0,0,978,688,882,980,969
950,0,0,979,690,885,983,989
960,0,0,991,695,853,987,961
970,0,0,987,683,865,966,976
980,0,0,971,688,865,976,983
990,0,0,979,693,859,977,967
