timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,0,1002,714,869,976,966
10,0,-1,991,690,879,985,987
20,0,-3,986,691,870,981,979
30,0,-4,993,681,857,978,978
40,0,-5,978,705,881,965,991
50,0,-5,976,694,855,988,981
60,0,-5,980,703,865,989,990
70,0,-5,988,692,865,986,985
80,0,-5,1002,714,879,982,978
90,0,-5,997,688,896,978,951
100,0,-5,992,698,861,987,977
110,0,-4,1004,705,867,970,981
120,0,-3,979,711,857,974,976
130,0,-2,982,720,861,976,973
140,0,-1,989,720,865,1006,981
150,0,-1,985,720,866,981,980
160,0,-1,1008,719,879,981,983
170,0,-1,950,747,867,979,976
180,0,-1,979,743,863,975,976
190,0,-1,977,751,869,978,976
200,0,-1,982,762,882,976,981
210,0,-1,989,782,875,979,981
220,0,-1,983,810,875,971,993
230,0,-2,1002,816,879,965,981
240,0,-3,995,832,891,972,991
250,0,-4,979,834,894,975,982
260,0,-5,983,848,892,973,982
270,0,-5,975,834,880,975,965
280,0,-5,987,847,894,982,983
290,0,-5,994,853,880,980,983
300,0,-5,1009,861,894,980,966
310,0,-5,1005,855,895,975,979
320,0,-5,975,847,896,972,974
330,0,-5,1002,854,908,973,976
340,0,-5,1014,861,899,989,977
350,0,-5,1012,880,896,981,991
360,0,-5,1007,848,908,978,977
370,0,-5,983,861,909,976,987
380,0,-4,1007,861,902,976,991
390,0,-3,1004,866,896,966,976
400,0,-2,1006,857,911,981,978
410,0,-1,994,863,896,963,982
420,0,0,1000,859,902,985,976
430,0,0,1014,867,893,932,990
440,0,0,1015,863,896,966,985
450,0,0,1003,855,912,976,973
460,0,0,1008,851,878,979,995
470,0,0,1005,869,912,983,989
480,0,0,976,849,912,982,987
490,0,0,1006,873,931,943,977
500,0,0,1018,857,911,990,983
510,0,0,977,868,912,968,983
520,0,0,1006,851,896,981,987
530,0,0,1007,871,890,985,981
540,0,0,1003,847,889,965,970
550,0,1,1008,848,912,986,990
560,0,3,998,851,889,976,979
570,0,5,995,848,909,974,999
580,0,7,1003,832,911,973,976
590,0,9,991,815,897,977,978
600,0,11,1006,790,887,974,989
610,0,13,979,770,896,976,989
620,0,15,975,722,883,978,980
630,0,17,986,699,869,962,980
640,0,18,985,697,880,951,987
650,0,18,991,656,867,993,976
660,0,17,989,674,886,976,976
670,0,16,974,674,864,976,987
680,0,15,975,661,886,979,976
690,0,14,997,658,874,973,976
700,0,13,990,666,880,969,979
710,0,12,994,650,880,977,977
720,0,11,1030,660,879,963,974
730,0,10,1009,655,861,952,982
740,0,9,991,657,855,990,976
750,0,8,985,658,879,973,989
760,0,8,992,658,858,987,973
770,0,8,978,663,876,971,973
780,0,7,999,654,865,976,976
790,0,7,998,656,855,981,973
800,0,6,989,667,879,987,985
810,0,5,990,637,864,978,982
820,0,5,997,661,850,967,982
830,0,5,990,662,858,975,981
840,0,5,979,678,863,982,973
850,0,5,987,659,875,966,976
860,0,5,981,752,865,976,978
870,0,5,989,672,849,977,981
880,0,5,987,715,854,970,988
890,0,5,978,672,854,976,977
900,0,5,975,662,870,976,998
910,0,5,987,678,877,976,958
920,0,5,989,672,879,976,983
930,0,5,993,678,863,995,973
940,0,5,981,695,859,981,983
950,0,4,976,691,868,967,990
960,0,3,971,696,879,912,989
970,0,2,991,671,857,986,979
980,0,1,1003,690,880,972,959
990,0,0,983,669,896,1021,981
