timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-2,1008,760,885,989,973
10,0,-6,983,770,879,985,976
20,0,-8,986,783,905,993,977
30,0,-10,1001,784,886,974,978
40,0,-11,1001,773,893,973,978
50,0,-12,975,775,896,983,981
60,0,-12,992,773,897,986,976
70,0,-12,990,731,900,1001,979
80,0,-12,991,785,878,979,981
90,0,-12,983,820,907,989,993
100,0,-12,978,787,902,986,989
110,0,-12,987,867,880,938,979
120,0,-12,990,812,883,981,977
130,0,-12,922,797,896,985,986
140,0,-12,975,816,885,989,979
150,0,-12,984,841,895,985,985
160,0,-12,995,832,912,973,978
170,0,-11,997,839,908,981,953
180,0,-10,991,847,903,978,979
190,0,-9,960,856,890,986,990
200,0,-8,982,848,897,990,976
210,0,-8,989,843,904,989,977
220,0,-8,991,843,907,982,991
230,0,-8,990,842,897,997,986
240,0,-8,999,875,893,982,992
250,0,-8,994,866,912,999,987
260,0,-7,979,848,891,995,976
270,0,-6,993,857,930,993,987
280,0,-5,978,857,905,995,990
290,0,-4,991,852,888,988,977
300,0,-3,988,862,912,981,991
310,0,-2,986,877,896,990,970
320,0,-2,999,859,890,987,976
330,0,-2,991,835,913,978,986
340,0,-1,990,861,907,997,976
350,0,0,992,864,903,979,986
360,0,0,977,855,912,982,976
370,0,1,1015,843,901,978,978
380,0,2,1002,852,900,997,975
390,0,4,981,853,906,976,983
400,0,7,1006,864,895,978,990
410,0,10,982,843,902,982,976
420,0,12,995,830,900,980,976
430,0,14,976,827,902,976,987
440,0,16,986,806,893,1001,981
450,0,17,1034,771,906,978,985
460,0,17,986,767,903,1023,980
470,0,17,976,742,887,979,979
480,0,16,981,736,893,978,975
490,0,15,976,747,880,993,976
500,0,14,1007,704,884,976,983
510,0,13,978,710,901,944,966
520,0,12,986,690,881,988,986
530,0,11,1009,707,854,998,976
540,0,10,993,749,880,1003,1008
550,0,9,998,709,896,978,973
560,0,8,976,709,881,999,987
570,0,6,982,711,895,981,982
580,0,4,960,706,869,976,993
590,0,2,961,719,874,981,985
600,0,1,976,705,887,977,979
610,0,0,992,707,879,981,987
620,0,0,983,719,907,978,981
630,0,0,991,699,899,990,993
640,0,0,991,720,897,977,973
650,0,0,989,721,889,991,974
660,0,0,977,703,875,978,977
670,0,0,986,691,878,990,991
680,0,0,976,721,893,982,983
690,0,0,937,727,896,995,987
700,0,0,990,714,912,983,985
710,0,0,1001,729,885,983,989
720,0,0,978,738,901,1015,975
730,0,0,992,721,891,982,982
740,0,0,990,720,902,977,980
750,0,0,980,704,914,978,987
760,0,0,1003,722,896,986,976
770,0,0,1008,720,901,994,979
780,0,0,990,720,881,981,981
790,0,0,987,741,881,977,977
800,0,0,976,695,886,993,965
810,0,0,1004,725,901,996,988
820,0,0,1000,739,894,979,971
830,0,0,974,740,905,991,984
840,0,0,997,719,886,982,988
850,0,0,932,737,885,985,966
860,0,0,974,718,881,994,976
870,0,0,1001,720,885,980,976
880,0,0,976,736,899,977,986
890,0,0,973,736,892,987,983
900,0,0,985,727,883,979,966
910,0,0,996,740,898,970,997
920,0,0,973,710,912,976,981
930,0,0,981,709,870,978,985
940,0,0,976,712,895,995,982
950,0,0,979,720,893,978,988
960,0,0,1004,737,919,987,970
970,0,0,983,732,883,1008,983
980,0,0,995,720,867,944,978
990,0,0,993,720,898,1008,983
