timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-4,990,723,867,987,987
10,1,-8,979,750,878,1002,983
20,0,-10,983,733,880,982,991
30,0,-11,992,723,886,982,985
40,0,-12,995,736,880,989,978
50,0,-13,1003,733,894,989,979
60,0,-13,982,738,868,981,972
70,0,-13,957,779,885,987,990
80,0,-13,988,753,875,992,974
90,0,-13,983,759,881,994,972
100,0,-13,982,770,912,980,991
110,0,-13,981,762,886,977,987
120,0,-13,966,756,891,980,978
130,0,-13,965,771,882,976,978
140,0,-13,985,784,894,977,976
150,0,-13,983,787,883,978,962
160,1,-13,982,807,885,976,979
170,2,-13,982,821,891,1003,993
180,2,-12,1009,837,895,997,977
190,2,-12,1003,838,895,992,998
200,2,-12,993,879,914,971,1037
210,2,-12,956,863,910,1008,992
220,2,-12,989,857,891,986,978
230,2,-13,990,879,905,1001,980
240,1,-13,979,896,903,953,976
250,0,-12,979,880,918,985,985
260,0,-10,989,889,895,998,978
270,-1,-8,998,871,911,990,987
280,-2,-5,944,887,927,989,975
290,-2,-2,991,865,918,983,976
300,-2,0,976,879,899,987,982
310,-2,0,991,881,907,983,980
320,-1,0,989,867,903,982,982
330,0,0,986,879,912,970,977
340,0,0,986,867,912,941,979
350,0,0,982,880,908,989,983
360,0,0,966,882,915,982,983
370,0,0,968,903,905,979,945
380,0,0,995,874,923,974,979
390,0,0,998,906,925,977,976
400,0,0,999,880,914,976,1031
410,0,1,985,869,907,976,991
420,0,2,996,850,913,986,983
430,0,3,986,854,911,977,984
440,0,4,987,859,908,988,961
450,1,5,991,885,885,1018,979
460,2,6,1009,848,912,978,981
470,3,7,983,822,890,976,973
480,4,8,974,815,896,977,975
490,5,9,1012,791,890,978,979
500,6,10,1001,768,886,1003,978
510,7,10,988,765,884,980,979
520,8,10,985,738,890,972,992
530,9,9,991,723,901,983,982
540,10,8,977,725,890,978,977
550,11,7,985,730,874,994,980
560,12,6,989,727,879,999,979
570,12,5,989,711,880,1001,976
580,12,4,982,720,851,995,959
590,12,3,992,698,869,981,976
600,12,2,976,713,933,993,956
610,12,2,986,704,877,983,982
620,12,2,976,720,871,976,969
630,12,2,994,679,870,1005,976
640,12,3,986,695,864,989,976
650,12,3,1007,683,874,975,986
660,12,3,987,646,893,974,982
670,12,3,991,698,885,981,982
680,12,2,1030,709,894,982,974
690,12,1,980,695,891,990,978
700,12,0,970,701,867,989,977
710,12,0,1008,695,883,978,988
720,12,0,998,710,866,976,985
730,12,0,1005,721,885,978,974
740,12,0,983,707,879,982,980
750,12,0,983,698,877,979,975
760,12,0,976,743,870,944,980
770,12,0,981,709,870,987,981
780,12,0,1053,705,874,986,977
790,12,0,979,714,887,977,971
800,12,0,997,704,869,976,979
810,12,0,964,707,903,977,1005
820,13,0,977,711,875,976,983
830,13,0,982,720,880,979,976
840,13,0,990,666,864,976,975
850,13,0,992,702,871,977,980
860,13,0,1011,720,864,986,976
870,13,0,990,718,854,998,981
880,13,0,993,722,891,986,973
890,13,0,991,728,894,976,990
900,13,0,991,725,887,986,976
910,13,0,975,732,874,990,988
920,13,0,979,739,874,977,981
930,13,0,989,717,883,978,979
940,13,1,1015,731,886,986,970
950,13,2,995,716,878,976,977
960,13,2,979,723,866,986,977
970,13,2,1001,719,880,991,1005
980,13,2,997,707,869,994,978
990,12,2,986,720,876,983,975
