timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-2,982,717,883,988,991
10,0,-4,976,720,879,976,976
20,0,-5,969,708,873,976,992
30,0,-6,983,717,895,991,978
40,0,-7,986,755,880,994,976
50,0,-8,972,731,874,978,977
60,0,-8,985,719,880,990,969
70,0,-8,979,725,877,979,976
80,0,-8,976,727,871,981,979
90,0,-8,976,727,887,987,977
100,0,-8,980,761,880,976,976
110,0,-8,981,755,895,981,977
120,0,-8,978,758,880,990,987
130,0,-8,979,757,880,973,977
140,1,-8,978,753,869,988,971
150,1,-8,978,755,878,974,976
160,1,-8,976,784,879,980,980
170,1,-7,976,785,878,981,977
180,1,-6,974,801,890,991,976
190,1,-5,976,801,895,971,974
200,1,-4,976,816,879,1003,977
210,1,-3,973,831,880,977,983
220,1,-3,971,817,887,999,994
230,1,-3,978,823,897,973,980
240,1,-3,985,839,870,981,976
250,1,-2,976,824,880,991,971
260,0,-2,975,846,891,1008,991
270,0,-1,979,860,881,979,979
280,0,-1,970,829,899,977,976
290,0,-1,980,856,882,976,983
300,0,-1,976,848,902,982,971
310,0,-1,973,851,913,981,994
320,0,-1,976,855,880,980,983
330,0,-1,976,839,912,982,978
340,0,-1,975,855,890,976,986
350,0,0,977,864,912,983,975
360,0,0,966,882,880,976,990
370,0,0,980,886,884,994,985
380,0,0,976,880,888,993,978
390,0,0,971,849,896,989,981
400,0,0,967,880,894,982,987
410,0,0,976,882,893,979,981
420,0,0,975,882,884,997,977
430,0,0,969,873,889,987,989
440,0,0,965,866,888,1007,1005
450,0,0,966,869,906,976,975
460,0,0,967,855,911,974,981
470,0,0,962,867,910,990,981
480,0,0,955,870,903,995,976
490,0,0,992,885,897,983,983
500,0,0,962,877,889,983,977
510,0,0,981,865,886,983,965
520,0,0,982,867,878,994,979
530,0,0,977,866,895,980,979
540,0,0,960,848,893,983,1008
550,0,0,983,865,898,974,979
560,0,0,963,848,890,983,995
570,0,0,985,856,880,1008,975
580,0,0,969,838,894,995,980
590,0,1,963,816,889,976,986
600,0,2,967,806,891,995,987
610,0,3,963,762,890,993,973
620,0,5,987,711,878,986,976
630,0,7,975,677,890,996,977
640,0,8,987,656,880,981,977
650,0,9,943,677,883,982,973
660,0,10,976,655,880,976,978
670,0,10,973,677,880,985,992
680,0,10,976,657,896,979,982
690,0,10,964,662,881,983,979
700,0,10,976,667,902,1007,981
710,0,9,978,657,876,983,986
720,0,8,974,659,880,971,982
730,0,7,966,677,834,1007,976
740,0,6,971,678,896,978,987
750,0,5,976,678,881,992,989
760,0,4,976,686,870,986,976
770,0,3,966,690,893,998,979
780,0,2,975,679,885,996,988
790,0,1,966,685,880,976,974
800,0,0,976,681,875,983,976
810,0,0,976,685,896,992,974
820,0,0,978,685,882,964,979
830,0,0,991,677,877,986,972
840,0,0,975,671,873,987,977
850,0,0,983,687,880,980,981
860,0,0,990,677,871,994,969
870,0,0,982,688,886,986,976
880,0,0,976,695,851,999,983
890,0,0,967,682,883,1008,972
900,0,0,977,683,877,995,986
910,0,0,941,688,869,987,987
920,0,0,976,695,864,978,977
930,0,0,980,688,886,992,984
940,0,0,963,694,863,995,978
950,0,0,983,688,876,976,981
960,0,0,990,686,880,1003,960
970,0,0,976,695,873,986,977
980,0,0,977,692,879,986,976
990,0,0,975,688,870,981,996
