timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,12,0,981,715,880,975,980
10,13,-3,1010,709,871,979,990
20,13,-5,993,716,906,989,999
30,13,-6,986,741,854,979,976
40,13,-7,994,720,861,963,976
50,13,-8,990,713,868,983,976
60,13,-9,990,720,859,966,973
70,13,-10,983,732,901,976,978
80,13,-11,992,720,876,976,978
90,13,-12,989,730,879,981,976
100,13,-13,988,735,871,973,982
110,13,-13,985,746,868,980,975
120,13,-13,993,740,902,977,995
130,13,-13,992,705,878,992,988
140,13,-13,1000,751,867,982,979
150,13,-12,1005,754,885,978,975
160,13,-11,999,733,881,974,983
170,13,-10,976,756,880,997,976
180,13,-9,987,775,864,1007,977
190,13,-8,998,774,883,994,987
200,13,-8,992,798,884,998,984
210,13,-8,986,795,883,977,977
220,12,-7,976,814,867,976,981
230,12,-6,970,819,881,999,971
240,11,-5,987,807,880,982,988
250,10,-4,983,834,896,976,989
260,10,-3,984,841,893,1000,978
270,10,-2,1002,866,893,982,985
280,10,-2,981,861,885,989,972
290,10,-2,990,864,901,1008,977
300,9,-2,988,865,899,979,981
310,8,-1,981,868,922,980,981
320,7,0,979,879,899,974,985
330,6,1,1002,880,917,992,985
340,5,1,989,879,915,976,974
350,4,1,994,905,918,974,979
360,3,1,983,868,902,992,991
370,2,1,981,887,896,975,985
380,1,1,987,891,918,996,974
390,0,1,983,892,912,991,981
400,0,1,989,886,897,991,982
410,0,1,963,870,899,976,975
420,0,1,992,883,900,976,976
430,0,0,987,896,927,977,976
440,0,0,1013,891,899,1002,963
450,0,0,993,883,911,986,987
460,0,0,1010,879,897,993,978
470,0,0,976,891,899,981,970
480,0,0,994,902,899,992,976
490,0,0,995,880,907,1003,997
500,0,0,993,871,895,986,976
510,0,0,997,858,900,991,973
520,0,0,1008,869,901,976,976
530,0,1,991,848,894,1002,973
540,0,2,988,827,888,979,960
550,0,2,978,841,898,960,961
560,0,2,978,793,902,985,979
570,0,2,986,752,891,978,976
580,0,2,971,705,899,983,985
590,0,2,975,709,896,995,975
600,0,2,1008,656,879,977,990
610,1,2,993,670,871,993,976
620,2,2,982,656,880,974,1007
630,2,1,989,658,880,990,985
640,2,1,979,681,873,975,977
650,2,1,1009,665,870,971,969
660,2,1,1003,674,891,986,978
670,2,1,987,661,861,981,975
680,2,1,995,640,864,980,972
690,2,1,977,663,870,976,973
700,2,1,1002,672,862,976,978
710,2,1,975,639,867,999,983
720,2,1,971,669,880,991,970
730,2,1,983,669,869,970,976
740,1,1,979,671,876,1019,987
750,0,1,985,700,848,989,976
760,0,1,989,697,869,978,981
770,0,1,977,677,871,982,983
780,0,1,964,695,863,971,979
790,0,1,979,688,877,993,935
800,0,1,989,673,867,982,985
810,0,1,1009,671,866,976,974
820,0,1,1002,678,874,980,981
830,0,1,987,689,874,980,986
840,0,1,988,665,862,963,977
850,0,1,1005,669,852,986,976
860,0,0,986,688,875,981,978
870,0,0,986,703,861,960,986
880,0,0,980,686,866,976,970
890,0,0,980,689,864,977,971
900,0,0,997,688,867,976,976
910,0,0,982,709,864,991,995
920,0,0,973,714,864,986,985
930,0,0,1005,689,860,974,976
940,0,0,979,683,853,976,977
950,0,0,991,688,862,989,977
960,0,0,977,694,851,991,976
970,0,0,1003,688,866,998,976
980,0,0,979,706,870,972,977
990,0,0,985,707,859,979,974
