timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,-2,-4,983,748,886,985,977
10,-4,-7,986,742,880,991,976
20,-3,-8,985,740,887,977,991
30,-4,-9,977,750,891,976,976
40,-4,-9,976,747,865,980,982
50,-4,-9,976,758,871,976,979
60,-4,-9,974,743,889,976,979
70,-4,-9,987,758,870,985,975
80,-4,-9,994,770,879,995,976
90,-4,-9,986,752,869,988,976
100,-4,-9,972,752,868,983,976
110,-4,-9,998,763,831,977,979
120,-4,-9,981,789,879,974,991
130,-4,-9,983,768,867,982,982
140,-4,-8,979,778,871,970,976
150,-4,-7,981,778,869,973,986
160,-4,-6,998,737,875,977,995
170,-4,-5,994,794,862,974,981
180,-4,-4,993,819,843,979,961
190,-4,-3,982,807,886,974,990
200,-3,-2,995,834,885,966,985
210,-2,-1,983,833,862,981,987
220,-1,0,986,842,876,977,976
230,-1,0,979,854,886,976,983
240,-1,0,986,863,880,975,978
250,-1,0,981,875,882,976,982
260,-1,0,986,864,890,976,977
270,-1,0,989,886,890,994,960
280,-1,0,998,900,898,976,976
290,-1,0,987,858,889,963,976
300,-1,0,993,907,896,985,976
310,-1,0,1004,901,889,979,988
320,-1,-1,999,903,891,998,999
330,-1,-2,991,909,884,965,984
340,-1,-3,994,907,885,976,978
350,-1,-5,993,912,891,976,981
360,-1,-6,992,912,896,971,979
370,-1,-6,998,923,880,988,997
380,-2,-6,994,929,887,976,976
390,-3,-5,999,918,887,976,977
400,-4,-4,999,944,899,981,977
410,-4,-3,994,915,894,973,987
420,-4,-1,1005,882,903,992,948
430,-4,0,991,922,897,1037,983
440,-4,1,999,899,906,967,986
450,-4,2,1007,925,912,996,976
460,-4,2,999,915,922,970,983
470,-4,2,1002,916,899,979,973
480,-3,2,1008,886,903,970,996
490,-2,2,1010,911,909,983,985
500,-1,1,991,914,887,976,1001
510,0,0,1008,917,911,975,976
520,0,1,1011,918,907,976,987
530,0,3,1005,948,890,976,973
540,-1,6,1008,912,894,976,996
550,-2,10,997,906,891,979,985
560,-2,13,998,876,897,959,973
570,-2,16,991,912,899,971,1001
580,-2,18,989,877,889,990,982
590,-2,20,985,838,898,972,976
600,-2,22,985,787,880,976,976
610,-2,23,997,775,882,989,978
620,-2,24,995,726,863,983,974
630,-2,25,1005,693,878,978,975
640,-2,25,988,694,862,976,975
650,-2,24,983,690,853,972,976
660,-2,23,978,678,870,927,953
670,-3,21,1001,683,870,977,978
680,-4,20,986,674,880,973,979
690,-5,19,997,646,870,981,950
700,-5,18,989,693,868,974,976
710,-5,17,985,688,849,986,973
720,-5,16,979,689,863,978,975
730,-5,15,976,685,849,966,976
740,-5,13,982,656,838,972,989
750,-5,11,993,689,858,975,976
760,-5,10,997,690,848,978,986
770,-5,9,1003,641,858,962,981
780,-5,8,993,703,858,976,981
790,-5,7,988,692,850,976,982
800,-5,6,989,697,849,976,969
810,-5,5,987,699,858,969,979
820,-5,4,979,714,851,981,962
830,-5,3,990,705,861,990,976
840,-5,2,986,715,864,975,977
850,-5,1,1005,710,867,963,982
860,-5,0,1005,706,854,976,976
870,-5,0,989,691,867,966,978
880,-5,0,992,707,851,975,987
890,-4,0,993,709,855,986,976
900,-3,0,986,698,802,987,978
910,-2,0,999,715,858,971,976
920,-2,0,990,687,859,974,979
930,-1,0,986,690,857,1036,976
940,0,0,998,705,848,975,978
950,0,0,992,715,834,970,1005
960,0,0,993,720,848,985,971
970,0,0,998,721,861,967,987
980,0,0,994,718,821,967,987
990,0,0,990,725,843,976,979
