timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-3,926,698,876,960,975
10,0,-4,1003,691,879,961,976
20,1,-7,986,695,870,990,977
30,1,-9,951,705,879,977,982
40,2,-10,983,659,874,979,1007
50,2,-10,976,695,882,982,986
60,2,-10,979,685,862,999,976
70,2,-9,998,688,811,993,986
80,2,-8,966,688,862,987,977
90,2,-7,1005,697,871,976,971
100,2,-6,984,689,864,983,976
110,2,-5,986,692,870,978,986
120,2,-3,982,695,862,976,983
130,1,-1,978,703,881,979,982
140,0,0,963,682,876,983,966
150,0,0,975,707,877,989,978
160,0,0,992,714,884,989,978
170,0,0,1008,703,880,979,998
180,0,0,978,707,878,980,981
190,0,0,983,710,810,987,967
200,0,0,1006,720,909,1008,1005
210,0,0,1003,720,864,985,990
220,0,0,972,731,852,973,976
230,0,0,1008,726,882,985,981
240,0,-1,972,757,870,971,977
250,0,-2,992,759,896,982,965
260,0,-3,1006,767,870,987,983
270,0,-4,987,775,845,981,981
280,0,-5,991,801,880,1010,979
290,0,-6,1011,810,880,977,982
300,0,-7,991,817,897,997,963
310,0,-8,989,834,888,975,982
320,0,-9,992,842,898,970,981
330,0,-10,990,845,894,976,987
340,1,-11,989,851,918,977,982
350,2,-12,996,840,880,991,979
360,3,-13,1007,863,901,979,991
370,3,-12,987,866,904,981,976
380,3,-10,945,832,913,979,986
390,3,-8,990,849,890,977,1003
400,2,-6,996,864,898,977,987
410,1,-4,1002,882,894,993,980
420,0,-2,986,875,912,989,987
430,0,0,1010,896,914,977,985
440,0,0,993,853,906,975,979
450,0,0,1008,871,912,991,980
460,0,0,987,880,899,981,978
470,0,0,993,833,913,1012,985
480,0,0,986,864,904,978,999
490,0,0,993,875,909,986,977
500,0,0,1007,880,906,978,981
510,0,0,979,877,901,1005,989
520,0,1,993,863,910,961,977
530,0,2,999,865,887,989,982
540,0,3,1040,848,896,979,986
550,0,4,992,829,893,978,976
560,0,5,1008,807,945,978,993
570,0,6,986,839,895,949,983
580,0,7,991,747,897,979,975
590,0,8,977,720,889,1023,981
600,0,8,1014,736,882,989,989
610,0,8,986,698,887,995,976
620,0,9,994,705,899,976,947
630,0,10,992,690,890,985,990
640,0,10,938,689,881,983,976
650,0,10,991,688,896,978,983
660,0,10,995,669,885,989,976
670,0,10,993,673,880,994,957
680,0,10,993,666,883,981,989
690,0,10,996,653,897,962,1002
700,0,10,1001,658,864,976,976
710,0,10,978,660,887,991,973
720,0,10,987,650,891,968,986
730,0,9,997,659,882,975,979
740,0,8,987,672,873,981,977
750,0,7,991,660,880,976,963
760,0,6,987,675,883,994,983
770,0,5,971,663,879,995,976
780,0,4,976,670,879,983,999
790,0,3,1004,654,880,1006,973
800,0,2,976,677,866,977,977
810,0,1,979,691,887,985,991
820,0,0,986,671,873,995,974
830,0,0,1003,688,880,985,987
840,0,0,992,669,873,995,976
850,0,0,990,670,883,995,978
860,0,0,983,661,877,977,977
870,0,0,981,674,879,994,976
880,0,0,976,688,876,976,980
890,0,0,990,675,871,973,977
900,0,0,999,675,871,1002,971
910,0,0,991,713,898,982,974
920,0,0,974,677,878,971,980
930,0,0,965,687,881,1006,976
940,0,0,1006,670,878,996,981
950,0,0,977,686,866,977,985
960,0,0,980,698,860,976,976
970,0,0,979,687,882,986,979
980,0,0,977,673,868,991,977
990,0,0,980,667,880,983,985
