timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-4,975,724,890,998,976
10,1,-8,971,717,849,1008,978
20,1,-10,982,707,864,979,977
30,1,-11,987,721,871,979,981
40,1,-12,986,746,860,976,976
50,1,-13,963,719,880,978,976
60,1,-14,975,741,869,977,976
70,1,-15,972,749,889,972,976
80,1,-16,977,746,865,978,976
90,1,-16,975,729,857,994,987
100,1,-16,986,754,866,990,979
110,1,-16,985,748,879,979,977
120,1,-16,999,751,899,973,977
130,2,-16,976,758,879,1009,981
140,3,-16,991,775,867,987,976
150,4,-16,986,764,873,979,981
160,5,-16,982,759,860,980,978
170,6,-16,975,794,911,976,976
180,7,-16,985,799,880,983,976
190,8,-16,980,809,887,995,981
200,9,-16,987,815,881,962,977
210,10,-15,990,821,880,976,981
220,11,-14,966,835,902,976,976
230,11,-13,977,847,880,992,977
240,11,-13,982,851,894,984,978
250,11,-13,991,865,880,982,978
260,11,-13,985,897,888,976,980
270,11,-13,997,870,891,993,976
280,11,-14,1002,859,918,982,977
290,12,-14,1007,903,894,1004,976
300,12,-14,991,886,900,974,985
310,12,-13,993,887,906,961,979
320,12,-10,987,871,914,970,987
330,11,-7,990,911,907,982,979
340,10,-4,988,887,898,982,988
350,9,-1,988,894,905,990,981
360,8,1,999,879,891,996,976
370,7,2,990,885,914,988,976
380,7,3,1006,901,882,991,977
390,6,3,1008,877,927,979,976
400,5,3,990,891,926,977,976
410,4,3,991,899,918,986,981
420,2,4,985,896,899,977,975
430,0,5,987,886,931,991,983
440,-1,7,991,896,858,977,976
450,-1,9,999,883,904,987,979
460,-1,11,979,879,880,980,981
470,-1,14,1006,896,911,995,976
480,-1,16,975,856,899,977,979
490,-1,18,976,841,912,976,978
500,-1,20,983,845,907,986,976
510,-1,22,994,843,899,976,977
520,-1,23,986,767,899,965,979
530,-1,24,993,768,885,980,978
540,-1,25,993,693,902,965,976
550,-2,26,979,723,889,977,975
560,-2,26,982,707,886,976,985
570,-2,25,971,663,885,993,978
580,-3,24,991,689,898,981,978
590,-4,23,967,719,877,985,979
600,-5,22,987,718,879,972,978
610,-6,21,982,693,879,993,976
620,-7,20,960,677,871,983,980
630,-8,19,980,687,866,1003,978
640,-9,17,976,685,875,981,982
650,-10,15,953,701,898,1017,982
660,-10,13,987,681,870,978,976
670,-11,11,1015,705,863,975,982
680,-11,9,987,673,858,978,977
690,-12,8,980,693,875,979,974
700,-12,7,995,688,857,998,976
710,-12,6,983,693,875,983,976
720,-12,5,995,698,853,977,978
730,-12,4,934,713,883,979,972
740,-12,3,994,704,867,971,978
750,-12,2,961,703,862,973,973
760,-12,1,971,703,880,989,976
770,-12,0,989,699,867,983,978
780,-12,0,981,704,880,965,983
790,-12,0,981,695,879,980,976
800,-12,0,994,713,881,983,977
810,-12,0,999,705,871,994,983
820,-12,0,979,715,882,987,977
830,-12,0,1008,695,874,997,982
840,-12,0,993,720,879,973,978
850,-12,0,981,727,882,987,978
860,-12,0,986,710,864,976,977
870,-12,0,986,704,866,969,976
880,-12,0,1011,707,880,987,976
890,-12,0,989,710,869,982,976
900,-12,0,991,725,889,979,976
910,-12,0,972,720,897,979,978
920,-12,0,985,722,856,1002,979
930,-12,0,997,714,870,987,976
940,-12,0,990,720,878,1007,978
950,-12,0,973,719,885,983,979
960,-12,0,962,723,875,987,978
970,-12,0,982,711,867,973,982
980,-12,0,994,710,880,982,986
990,-11,0,992,706,865,974,978
