timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-3,981,778,880,981,982
10,0,-6,980,746,880,983,976
20,1,-9,956,763,891,971,978
30,1,-10,1008,755,884,992,978
40,1,-10,992,757,886,1008,998
50,1,-10,993,765,896,981,987
60,1,-10,992,772,885,977,943
70,2,-10,997,761,880,990,989
80,3,-10,1007,750,955,975,965
90,4,-10,998,752,880,987,983
100,5,-9,985,768,881,975,983
110,6,-8,977,765,878,971,978
120,7,-7,994,756,889,976,977
130,8,-6,999,775,880,990,978
140,9,-5,989,758,854,976,979
150,10,-4,1010,767,880,996,976
160,11,-3,976,758,893,976,978
170,11,-2,981,754,907,971,991
180,12,-2,1002,775,907,983,976
190,12,-2,1013,775,889,985,978
200,12,-2,991,784,891,974,979
210,12,-2,992,791,886,989,976
220,12,-2,987,774,889,964,985
230,12,-2,997,816,899,976,977
240,12,-2,998,829,895,969,939
250,11,-2,1002,826,885,969,986
260,10,-2,985,848,893,987,978
270,9,-2,969,881,891,988,974
280,9,-3,986,858,896,974,982
290,8,-4,997,862,899,976,979
300,7,-4,993,880,894,979,979
310,6,-4,1007,880,895,972,985
320,5,-3,1011,868,912,973,987
330,4,-2,1005,873,891,990,983
340,3,-1,1007,875,897,977,983
350,2,0,994,880,922,983,976
360,1,0,999,876,895,987,976
370,0,0,1008,870,897,982,976
380,0,0,993,851,890,988,980
390,0,0,1005,868,908,981,977
400,0,0,997,872,894,976,1000
410,0,-1,1002,878,869,989,979
420,0,-2,1019,883,885,975,977
430,0,-2,1002,829,897,977,970
440,0,-2,1006,879,898,994,977
450,-1,-1,983,910,889,995,986
460,-1,0,997,869,896,990,978
470,-1,0,1007,861,894,978,976
480,-1,0,996,829,897,976,990
490,-1,0,1003,819,884,994,977
500,-1,0,973,810,898,978,984
510,-1,0,992,830,917,986,977
520,-1,0,984,784,891,974,987
530,-1,0,999,784,874,977,983
540,0,0,993,770,887,971,977
550,0,0,990,761,898,992,976
560,0,0,995,781,885,1001,989
570,0,1,993,752,897,1005,986
580,0,2,998,745,902,991,994
590,0,3,994,768,891,1005,990
600,0,3,982,724,881,967,980
610,0,3,1002,750,902,976,970
620,0,3,982,757,903,991,991
630,0,3,999,734,895,972,979
640,0,4,983,734,885,978,979
650,0,4,985,739,882,981,976
660,0,4,1009,741,896,970,976
670,0,4,991,734,911,980,981
680,0,3,1015,745,903,989,976
690,0,3,1005,726,875,1001,978
700,0,3,976,746,886,975,981
710,0,3,995,749,894,974,986
720,0,2,980,735,879,973,990
730,0,1,987,747,880,986,978
740,0,0,989,752,887,976,978
750,0,0,987,738,893,988,983
760,0,0,999,742,903,983,983
770,0,0,978,801,894,987,971
780,0,0,995,741,888,961,976
790,0,0,1009,746,884,975,988
800,0,0,986,773,899,975,978
810,0,0,986,749,899,990,987
820,0,0,1003,755,909,976,989
830,0,0,1003,766,891,1008,983
840,0,0,994,752,889,971,985
850,0,0,986,741,910,967,955
860,0,0,990,743,878,975,986
870,0,0,989,739,886,979,983
880,0,0,994,743,870,975,992
890,0,0,988,759,897,977,976
900,0,0,989,764,848,999,966
910,0,0,994,741,914,975,976
920,0,0,991,747,892,980,976
930,0,0,1001,752,884,992,981
940,0,0,991,748,890,982,980
950,0,0,978,750,894,985,981
960,0,0,989,758,887,951,983
970,0,0,960,763,899,991,979
980,0,0,999,740,882,979,997
990,0,0,996,738,885,969,958
