timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,0,989,733,893,991,987
10,-1,-2,977,783,910,993,981
20,0,-2,983,743,885,997,977
30,0,-2,991,741,899,983,976
40,0,-2,987,737,894,984,982
50,0,-2,1001,765,907,1002,975
60,0,-2,976,758,880,1002,960
70,0,-2,977,736,886,1035,983
80,0,-2,961,747,880,993,989
90,0,-2,958,730,868,983,993
100,0,-2,996,758,885,1001,989
110,0,-2,976,751,886,1004,983
120,0,-2,994,762,912,961,965
130,0,-2,991,762,891,999,976
140,0,-2,1006,765,912,987,998
150,0,-2,986,778,871,976,993
160,0,-2,970,780,891,981,986
170,0,-2,993,766,891,976,978
180,0,-2,999,799,897,988,977
190,0,-2,976,815,932,1006,982
200,0,-2,985,828,909,1006,970
210,0,-2,993,819,880,990,990
220,0,-2,982,816,909,981,995
230,0,-2,986,845,893,994,978
240,0,-2,978,874,913,998,987
250,0,-2,983,863,922,996,983
260,0,-2,985,854,906,1003,980
270,0,-2,991,878,903,992,983
280,0,-2,999,905,895,981,979
290,0,-2,981,855,899,986,978
300,0,-1,1005,865,901,974,982
310,0,0,982,860,901,1006,983
320,0,0,979,854,901,991,985
330,0,0,976,902,898,991,978
340,0,0,982,866,895,991,981
350,0,0,990,875,896,996,1007
360,0,0,990,855,902,969,976
370,0,0,991,863,903,990,982
380,0,0,977,895,908,954,944
390,0,0,995,879,905,1003,988
400,0,0,981,870,832,992,999
410,0,0,1006,853,893,990,992
420,0,0,985,857,898,1003,979
430,0,0,979,879,915,989,989
440,0,0,979,852,897,989,978
450,0,0,1002,879,895,994,989
460,0,0,990,872,906,1001,980
470,0,0,987,868,905,1014,976
480,0,0,982,871,902,994,993
490,0,0,991,881,896,990,977
500,0,0,987,850,903,993,986
510,0,0,986,829,895,993,981
520,0,0,982,826,907,998,993
530,0,0,982,801,899,993,976
540,0,0,997,794,880,1005,987
550,0,0,989,778,893,1005,976
560,0,0,979,781,899,1003,975
570,0,0,979,806,909,967,956
580,0,0,986,752,896,999,980
590,0,0,982,738,887,991,959
600,0,0,991,752,895,999,986
610,0,0,989,751,902,992,981
620,0,0,991,758,892,988,977
630,0,0,989,746,896,995,976
640,0,0,992,731,896,979,976
650,0,0,979,764,891,1003,976
660,0,0,991,740,891,986,979
670,0,0,987,738,883,993,1001
680,0,0,981,731,889,1004,976
690,0,0,994,752,901,982,978
700,0,0,991,684,870,991,976
710,0,0,983,742,884,1002,979
720,0,0,981,766,886,998,974
730,0,0,991,759,909,998,982
740,0,0,1003,752,910,995,982
750,0,0,981,737,935,1007,983
760,0,0,997,760,885,989,998
770,0,0,982,750,899,990,991
780,0,0,986,785,887,1001,983
790,0,0,1003,765,892,992,980
800,0,0,992,819,893,998,978
810,0,0,1005,760,893,992,986
820,0,0,992,752,896,991,991
830,0,0,999,746,905,976,981
840,0,0,976,756,890,987,978
850,0,0,986,757,897,995,976
860,0,0,986,752,892,993,976
870,0,0,995,759,886,991,979
880,0,0,989,777,863,1011,944
890,0,0,998,752,910,1002,987
900,0,0,986,750,887,1005,978
910,0,0,995,764,895,995,983
920,0,0,991,763,893,1006,979
930,0,0,979,750,885,995,983
940,0,0,978,729,901,1007,979
950,0,0,995,754,894,990,986
960,0,0,990,766,850,995,979
970,0,0,986,768,896,989,988
980,0,0,978,761,885,994,978
990,0,0,1003,762,894,996,993
