timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-1,1022,688,889,1043,986
10,-1,0,990,688,864,987,996
20,0,-2,981,679,871,974,980
30,0,-3,981,701,864,999,977
40,0,-4,982,688,862,977,977
50,0,-4,983,698,868,979,986
60,0,-4,974,690,861,982,986
70,0,-4,976,691,871,960,987
80,0,-4,974,688,877,965,979
90,0,-4,979,702,874,979,989
100,0,-4,987,714,869,979,976
110,0,-4,978,709,867,993,982
120,0,-4,971,709,865,987,976
130,0,-4,989,723,864,997,983
140,0,-4,979,726,881,977,976
150,0,-4,983,736,865,989,978
160,0,-4,990,721,865,979,988
170,0,-4,1004,735,865,987,976
180,0,-4,1003,767,867,964,985
190,0,-4,980,752,876,990,994
200,0,-4,982,779,879,988,974
210,0,-4,972,785,883,992,982
220,0,-4,994,782,867,986,979
230,0,-4,975,813,883,976,978
240,0,-4,993,725,879,994,974
250,0,-4,990,829,880,981,976
260,0,-4,981,847,871,986,978
270,0,-4,987,848,886,995,987
280,0,-4,990,851,893,977,981
290,0,-4,983,855,886,981,975
300,0,-4,994,870,880,974,990
310,0,-4,987,867,894,978,977
320,0,-4,991,880,894,985,960
330,0,-4,980,880,886,977,982
340,0,-4,973,882,895,1008,986
350,0,-4,1007,891,903,1004,961
360,0,-4,996,903,902,976,987
370,0,-4,993,883,895,986,1002
380,0,-5,1000,900,912,976,989
390,0,-6,1013,893,903,976,981
400,0,-6,995,901,918,978,986
410,0,-5,995,903,902,978,978
420,0,-4,1006,898,896,979,990
430,0,-3,1040,889,910,981,949
440,0,-2,987,908,898,978,977
450,0,-1,1015,907,909,978,982
460,0,0,1006,897,909,986,985
470,0,0,995,893,915,991,976
480,0,0,999,906,897,991,976
490,0,0,1015,905,903,979,989
500,0,0,997,912,908,973,992
510,0,0,1002,897,895,977,979
520,0,0,1015,896,908,979,979
530,0,0,1004,934,897,981,979
540,0,0,1009,919,910,970,974
550,0,0,983,896,912,982,976
560,0,0,1013,913,897,976,986
570,0,1,1009,889,916,979,981
580,0,2,1007,896,894,973,976
590,0,3,990,881,907,990,976
600,0,4,988,866,893,987,977
610,0,5,964,821,893,995,997
620,0,6,977,784,893,976,980
630,0,7,976,737,896,975,983
640,0,8,989,729,897,981,978
650,0,9,982,673,870,976,985
660,0,9,973,650,880,978,976
670,0,9,985,656,869,991,979
680,0,9,989,648,867,981,976
690,0,9,979,640,843,976,987
700,0,8,975,641,862,991,985
710,0,8,996,643,866,977,971
720,0,8,979,638,855,976,978
730,0,8,976,642,857,976,976
740,0,8,967,629,861,979,997
750,0,7,991,640,864,977,974
760,0,6,959,652,864,977,979
770,0,5,981,658,869,979,987
780,0,4,977,642,860,972,979
790,0,3,964,639,850,977,991
800,0,3,996,656,874,981,976
810,0,3,977,645,850,989,976
820,0,3,991,663,862,979,997
830,0,3,984,656,863,976,986
840,0,3,994,663,870,976,974
850,0,2,990,671,873,983,976
860,0,1,982,671,862,991,985
870,0,1,986,630,864,983,980
880,0,1,976,653,855,992,986
890,0,1,983,671,859,982,970
900,0,0,975,689,851,994,957
910,0,0,987,668,869,976,976
920,0,0,998,656,871,997,976
930,0,0,988,688,871,976,982
940,0,0,995,663,879,979,985
950,0,0,1008,682,855,988,974
960,0,0,987,679,845,980,976
970,0,0,975,659,870,992,985
980,0,0,982,661,878,990,976
990,0,0,988,670,866,984,976
