timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-2,979,721,876,992,981
10,0,-7,966,725,880,979,988
20,0,-10,989,721,883,981,963
30,0,-12,983,729,880,982,982
40,0,-14,979,736,880,979,992
50,0,-15,982,727,893,983,977
60,0,-15,993,688,878,983,980
70,0,-14,913,738,883,992,976
80,0,-13,961,751,887,990,991
90,0,-13,976,731,877,981,973
100,0,-13,995,738,880,994,975
110,0,-13,982,730,881,981,977
120,0,-12,992,722,892,980,974
130,0,-11,983,725,884,990,981
140,0,-10,995,749,896,983,979
150,0,-10,983,754,879,995,976
160,0,-10,985,733,878,981,978
170,0,-10,986,766,880,981,986
180,0,-10,978,764,881,1006,976
190,0,-10,939,784,890,1003,979
200,0,-10,974,794,891,978,983
210,0,-10,1006,814,890,985,977
220,0,-11,979,802,891,975,982
230,1,-12,993,817,901,1008,978
240,2,-13,999,823,893,991,986
250,2,-14,978,838,901,985,977
260,2,-15,996,822,912,979,983
270,2,-17,986,855,908,989,974
280,2,-19,987,850,897,986,981
290,3,-21,1003,879,894,977,982
300,3,-22,977,848,901,991,985
310,3,-21,1007,866,914,976,976
320,2,-19,976,878,912,986,982
330,1,-16,991,859,900,986,976
340,0,-13,986,880,905,970,986
350,0,-10,987,909,907,987,981
360,0,-8,960,870,903,987,985
370,0,-7,985,870,901,983,975
380,0,-6,982,872,902,998,982
390,0,-5,978,864,923,986,983
400,0,-4,995,878,915,979,981
410,0,-3,981,885,903,979,976
420,0,-1,994,849,912,983,989
430,-1,0,991,873,912,998,981
440,-2,1,991,862,896,980,979
450,-3,3,993,872,907,980,977
460,-4,5,992,857,913,977,976
470,-5,6,997,850,902,994,969
480,-6,7,995,848,912,990,985
490,-6,7,997,845,893,1005,985
500,-6,8,1005,850,897,989,1005
510,-6,9,976,818,912,977,976
520,-6,10,981,816,896,976,976
530,-6,12,996,790,890,997,981
540,-6,14,976,771,909,989,976
550,-6,15,986,755,891,981,976
560,-6,15,987,750,891,988,976
570,-6,15,987,739,898,983,981
580,-6,15,993,740,885,999,972
590,-6,14,982,730,891,989,976
600,-6,13,1005,721,885,983,979
610,-6,12,977,708,891,979,976
620,-6,11,990,713,883,976,979
630,-5,10,977,716,892,983,977
640,-5,9,976,717,880,1003,972
650,-5,8,991,722,881,991,978
660,-4,7,991,688,880,983,963
670,-3,6,986,697,880,987,978
680,-3,5,1013,698,883,998,980
690,-3,4,1008,666,879,993,976
700,-2,3,995,708,875,977,976
710,-2,2,977,687,890,976,989
720,-2,1,1003,699,885,987,986
730,-2,0,983,688,889,988,1003
740,-2,0,990,697,886,975,1005
750,-2,0,978,695,885,985,990
760,-1,0,1005,734,870,944,988
770,0,0,1003,743,866,987,977
780,0,0,979,688,877,976,979
790,0,0,985,725,902,985,987
800,0,0,995,705,886,994,978
810,0,0,981,707,880,976,966
820,0,0,983,688,859,979,982
830,0,0,1008,706,891,983,973
840,0,0,987,726,899,983,994
850,0,0,987,710,889,994,978
860,0,0,993,704,887,979,969
870,0,0,973,715,898,987,987
880,0,0,989,705,875,981,976
890,0,0,995,669,896,1001,997
900,-1,0,993,710,880,976,988
910,-1,0,985,703,875,986,976
920,-1,0,938,699,879,989,977
930,-1,0,992,704,880,997,981
940,-1,0,986,720,885,981,976
950,-1,0,987,720,862,981,976
960,-1,0,1001,704,887,980,981
970,-1,0,1017,714,865,983,982
980,-2,0,976,691,874,978,991
990,-3,0,991,719,896,996,972
