timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-1,993,752,889,977,946
10,-1,-3,978,749,880,980,977
20,-1,-4,994,762,895,992,975
30,-1,-5,985,726,879,987,985
40,-1,-6,981,747,862,987,976
50,-1,-7,982,735,881,995,957
60,-1,-8,988,730,877,971,976
70,-1,-9,982,729,881,998,976
80,-1,-9,983,735,880,982,977
90,-1,-9,980,721,874,982,981
100,-1,-8,976,731,889,955,1002
110,-1,-8,985,720,886,981,976
120,-1,-8,981,727,883,976,958
130,-1,-8,983,727,835,971,998
140,-1,-8,978,738,898,978,977
150,-1,-8,979,752,831,976,958
160,-1,-8,993,751,882,976,978
170,-1,-8,986,745,880,982,977
180,-1,-8,1001,761,880,970,973
190,-1,-8,999,770,901,979,986
200,-1,-8,981,778,877,976,976
210,-1,-8,988,788,880,990,976
220,-1,-8,988,809,893,993,978
230,-1,-8,981,811,885,1000,981
240,-1,-8,990,816,886,978,981
250,-1,-8,979,821,885,976,974
260,-1,-8,986,847,898,944,983
270,-1,-8,995,843,886,992,976
280,-1,-8,984,855,883,976,976
290,-1,-8,979,849,881,981,978
300,-1,-6,987,861,887,981,976
310,-1,-4,985,867,880,987,999
320,-1,-3,993,859,883,992,981
330,-1,-2,986,878,879,980,988
340,-1,-1,986,887,878,975,981
350,-1,0,981,858,877,997,987
360,-1,0,996,865,917,982,973
370,-1,0,986,858,889,976,981
380,-1,0,987,863,882,987,982
390,-1,0,987,852,885,981,995
400,-1,0,986,863,905,977,981
410,-1,0,1002,883,876,981,977
420,-1,0,991,868,894,960,993
430,-1,0,990,857,894,975,982
440,-1,0,982,870,837,971,982
450,-1,0,991,881,895,982,977
460,-1,1,990,863,874,985,976
470,0,2,985,877,897,981,977
480,0,3,997,854,893,976,983
490,0,4,993,857,880,984,954
500,0,5,998,857,881,979,966
510,0,7,994,822,874,976,977
520,0,8,991,795,867,967,981
530,0,9,980,809,880,985,987
540,0,9,986,800,880,973,990
550,0,9,975,739,877,976,974
560,0,8,987,723,868,986,980
570,0,7,986,718,869,979,985
580,0,6,980,717,866,991,981
590,0,5,992,697,879,976,977
600,0,4,976,714,881,974,989
610,0,3,962,690,879,981,981
620,0,2,995,689,881,986,983
630,0,2,990,727,855,982,986
640,0,2,977,702,873,993,974
650,0,2,981,692,887,974,976
660,0,2,995,709,877,979,984
670,0,2,976,688,880,971,973
680,0,2,959,693,867,1001,983
690,0,2,1015,690,890,982,959
700,0,2,949,688,886,973,991
710,0,2,1001,677,886,977,965
720,0,2,985,690,871,976,985
730,0,2,976,689,868,989,976
740,0,2,991,688,874,967,983
750,0,1,978,689,862,976,979
760,0,0,971,704,863,976,958
770,0,0,981,688,866,982,976
780,0,0,989,698,880,981,976
790,0,0,981,690,865,947,977
800,0,0,996,689,894,977,992
810,0,0,982,688,854,991,963
820,0,0,1007,707,880,973,976
830,0,0,980,706,876,993,976
840,0,0,994,711,854,987,976
850,0,0,1000,701,870,977,976
860,0,0,988,703,880,981,976
870,0,0,987,714,873,975,987
880,0,0,981,701,877,1008,981
890,0,0,981,704,879,976,985
900,0,0,990,702,867,996,986
910,0,0,991,698,860,975,979
920,0,0,989,697,881,988,967
930,0,0,977,703,868,969,973
940,0,0,999,705,880,951,979
950,0,0,973,712,877,978,970
960,0,0,982,698,880,981,973
970,0,0,982,699,879,989,988
980,0,0,983,715,877,981,977
990,0,0,984,711,870,975,976
