timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-2,1000,702,870,958,977
10,1,-4,991,704,853,979,979
20,0,-5,975,722,853,981,976
30,0,-6,995,737,866,988,979
40,0,-7,976,742,867,993,978
50,0,-7,1001,762,853,992,993
60,0,-7,985,767,878,976,976
70,0,-7,995,791,885,998,987
80,0,-7,1006,823,863,973,987
90,0,-7,993,811,858,982,979
100,0,-7,988,829,879,993,979
110,0,-7,999,815,882,976,1007
120,0,-7,993,846,890,992,986
130,0,-7,983,850,880,975,990
140,0,-7,1008,863,884,979,981
150,0,-6,977,857,875,981,979
160,0,-5,978,875,882,988,999
170,0,-4,992,898,880,979,978
180,0,-3,976,889,897,976,997
190,0,-2,986,875,878,1002,965
200,0,-2,978,880,891,986,986
210,0,-1,988,878,877,977,974
220,0,-1,992,896,894,991,986
230,0,-1,998,882,886,985,979
240,0,-1,991,900,902,997,977
250,0,-1,989,883,901,982,982
260,0,-1,989,902,880,976,985
270,0,-1,992,912,913,1002,1002
280,0,-2,995,899,897,976,985
290,0,-3,1008,899,907,976,975
300,0,-4,992,895,897,986,976
310,0,-5,930,905,917,981,976
320,0,-6,979,929,889,965,967
330,0,-7,1008,893,896,976,976
340,0,-7,981,902,896,987,981
350,0,-6,992,911,893,983,969
360,0,-5,977,909,903,978,981
370,0,-4,992,906,906,976,1013
380,0,-3,981,899,908,977,983
390,0,-2,1062,907,901,976,987
400,0,-1,1008,901,901,961,989
410,0,0,998,896,900,989,987
420,0,0,1018,913,896,990,1017
430,0,0,989,890,911,992,985
440,0,0,988,903,895,973,979
450,0,0,992,880,897,985,981
460,0,0,997,895,890,979,981
470,0,0,995,891,907,976,995
480,0,0,999,914,895,975,982
490,0,0,988,887,901,985,986
500,0,1,979,902,907,982,993
510,0,2,994,891,867,978,1002
520,0,3,1019,885,911,977,975
530,0,4,986,850,894,993,987
540,0,5,981,870,880,977,992
550,0,6,983,848,893,987,980
560,0,7,992,779,889,993,976
570,0,8,992,752,900,982,977
580,0,8,995,741,871,976,971
590,0,8,985,672,887,986,983
600,0,8,976,672,880,979,975
610,0,7,997,660,875,976,973
620,0,6,976,659,874,983,983
630,0,5,983,656,875,986,988
640,0,5,982,657,863,997,992
650,0,5,976,646,875,976,976
660,0,5,929,660,873,993,958
670,0,5,980,707,864,991,976
680,0,5,998,641,866,979,976
690,0,5,983,630,864,990,985
700,0,4,996,656,852,987,986
710,0,3,985,647,870,976,994
720,0,2,977,639,855,965,972
730,0,1,979,671,861,965,985
740,0,1,976,663,881,981,967
750,0,1,980,656,858,987,979
760,0,1,995,645,861,978,981
770,0,1,974,656,858,957,976
780,0,1,983,655,871,985,976
790,0,1,992,654,878,977,976
800,0,1,976,653,838,972,983
810,0,1,975,656,867,989,979
820,0,1,949,673,860,991,981
830,0,1,996,669,869,979,976
840,0,1,970,663,851,982,976
850,0,1,1065,665,863,989,986
860,0,1,976,670,858,990,981
870,0,1,982,661,851,960,978
880,0,1,987,669,855,985,976
890,0,1,907,678,859,979,996
900,0,1,978,663,880,992,972
910,0,1,985,678,850,976,981
920,0,1,988,673,833,978,976
930,0,1,985,688,848,978,937
940,0,1,996,674,849,976,981
950,0,1,972,672,871,1018,970
960,0,1,1008,668,858,982,976
970,0,1,966,671,849,979,991
980,0,1,976,667,893,983,983
990,0,0,977,692,858,976,983
