timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-3,996,711,862,976,983
10,1,-6,976,730,849,970,980
20,0,-7,977,726,862,954,983
30,0,-8,986,737,867,979,986
40,0,-8,988,751,852,958,977
50,0,-8,976,720,863,973,977
60,0,-8,985,721,864,992,976
70,0,-7,976,723,859,1003,985
80,0,-6,981,716,859,976,978
90,0,-5,987,715,863,991,992
100,0,-4,983,752,855,993,978
110,0,-3,989,723,851,975,982
120,0,-2,1017,719,849,974,976
130,0,-2,979,721,855,974,987
140,0,-2,995,712,863,973,981
150,0,-3,967,740,848,983,976
160,0,-4,978,738,862,970,976
170,0,-5,976,743,865,999,978
180,0,-6,982,807,865,978,982
190,0,-7,976,786,883,962,976
200,1,-8,999,807,887,996,975
210,1,-8,989,807,882,990,986
220,1,-8,987,806,880,991,975
230,1,-8,1002,807,880,997,988
240,1,-8,994,849,892,978,987
250,1,-8,1007,864,894,975,989
260,1,-8,989,857,912,977,977
270,2,-9,995,890,885,975,975
280,2,-10,1017,913,910,987,968
290,3,-11,999,905,909,979,986
300,3,-12,1004,898,907,989,982
310,3,-12,1003,903,912,977,981
320,2,-11,995,887,900,979,978
330,1,-9,995,891,898,994,987
340,0,-7,1002,880,902,996,975
350,0,-5,1002,887,912,995,976
360,0,-3,1008,893,917,976,967
370,0,-1,1002,896,913,981,990
380,0,0,1008,919,908,982,983
390,0,0,998,880,931,994,988
400,0,0,997,880,907,976,978
410,0,0,1023,897,918,976,976
420,0,0,1010,897,898,997,977
430,0,0,1007,912,887,989,981
440,0,1,1007,880,912,998,977
450,0,2,1003,882,909,984,978
460,0,3,1008,899,896,987,978
470,0,5,993,903,902,947,977
480,0,7,995,909,912,986,976
490,0,10,995,879,912,990,995
500,0,12,987,886,884,982,964
510,0,14,991,854,893,988,980
520,0,15,999,848,914,983,981
530,0,16,989,817,885,994,987
540,0,17,991,774,842,977,987
550,0,18,991,733,878,975,975
560,0,18,977,714,879,983,981
570,0,18,992,704,883,982,979
580,0,17,993,690,894,977,980
590,0,16,994,697,875,975,979
600,0,14,989,691,878,1005,977
610,0,12,984,682,868,986,989
620,0,10,977,678,868,976,976
630,0,8,994,686,869,976,976
640,0,7,1008,688,874,979,976
650,0,6,975,688,879,977,990
660,0,5,988,686,887,974,977
670,0,4,979,686,878,975,976
680,0,3,992,694,837,996,981
690,0,2,994,691,878,996,986
700,0,1,972,689,882,971,981
710,0,0,991,698,893,995,992
720,0,0,981,706,870,964,976
730,0,0,980,689,866,971,981
740,0,0,979,710,870,987,996
750,0,0,999,689,889,987,976
760,0,0,993,719,863,987,970
770,0,0,992,707,875,976,972
780,0,0,979,703,895,983,974
790,0,0,994,688,871,979,976
800,0,0,987,689,854,979,986
810,0,0,987,708,868,985,982
820,0,0,989,708,879,975,978
830,0,0,978,711,880,973,977
840,0,0,992,702,873,987,980
850,0,0,976,707,874,985,977
860,0,0,995,711,876,989,991
870,0,0,978,713,871,977,975
880,0,0,975,698,862,997,987
890,0,0,986,707,885,987,976
900,0,0,986,701,873,982,977
910,0,0,986,692,877,991,982
920,0,0,987,702,875,991,981
930,0,0,980,714,890,997,976
940,0,0,967,718,879,975,971
950,0,0,980,711,877,982,983
960,0,0,976,709,867,982,980
970,0,0,989,711,852,972,995
980,0,0,1000,703,866,986,977
990,0,0,970,711,890,966,983
