timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,1,-3,1005,705,886,986,979
10,0,-2,986,718,867,981,979
20,0,-3,1003,719,880,970,983
30,0,-4,997,702,866,994,986
40,0,-5,1006,753,863,983,978
50,0,-6,1000,719,863,976,985
60,0,-6,991,715,853,979,979
70,0,-6,1002,721,871,976,979
80,0,-6,976,720,880,979,986
90,0,-6,959,722,871,991,979
100,0,-6,995,732,866,973,976
110,0,-5,1021,741,870,976,978
120,0,-4,980,737,880,994,975
130,0,-3,990,741,877,986,989
140,0,-2,1005,752,879,976,998
150,0,-1,995,721,865,993,978
160,0,0,999,757,885,976,981
170,0,0,1005,768,865,983,977
180,0,0,987,779,875,972,995
190,0,0,986,767,885,981,979
200,0,0,990,784,883,994,983
210,0,0,999,775,870,976,978
220,0,0,1008,775,865,993,980
230,0,0,980,791,881,985,983
240,0,0,975,794,875,982,983
250,0,0,988,784,894,978,986
260,0,0,1002,816,884,999,978
270,0,0,976,833,874,978,995
280,0,0,999,834,887,989,979
290,0,0,1013,842,886,1005,986
300,0,0,998,825,891,985,979
310,0,0,993,842,885,986,982
320,0,0,994,843,880,976,993
330,0,0,991,850,887,981,981
340,0,0,992,849,900,1001,983
350,0,0,983,879,886,983,977
360,0,0,991,848,899,995,976
370,0,0,999,866,886,987,976
380,0,0,994,870,903,983,987
390,0,0,998,865,885,981,985
400,0,0,976,865,899,973,987
410,0,0,995,864,908,983,981
420,0,0,994,861,909,995,983
430,0,0,982,806,893,976,951
440,0,0,998,873,900,986,976
450,0,0,999,870,895,978,976
460,0,0,982,908,904,990,987
470,0,0,997,879,879,985,983
480,0,0,945,875,906,992,985
490,0,0,991,869,937,990,976
500,0,-1,1001,896,915,987,980
510,0,-1,984,906,907,1003,977
520,0,-2,1007,879,911,992,979
530,0,-2,998,879,909,988,991
540,0,-2,990,887,923,999,976
550,0,-2,995,889,933,1008,978
560,0,-1,979,880,897,1001,976
570,0,-1,990,899,902,976,977
580,0,0,1003,894,835,988,982
590,0,0,996,882,922,1055,982
600,0,0,1001,882,912,989,976
610,0,0,1015,889,907,994,977
620,0,0,997,905,905,990,986
630,0,0,1005,895,909,993,982
640,0,0,1005,890,912,999,984
650,0,0,994,903,918,995,986
660,0,0,982,893,914,1001,979
670,0,0,993,883,913,987,982
680,0,0,982,906,927,1005,996
690,0,0,1004,896,912,974,992
700,0,0,997,891,912,995,979
710,0,0,997,880,911,999,977
720,0,1,993,869,901,988,964
730,0,2,983,875,912,987,977
740,0,3,981,873,907,976,986
750,0,5,1008,848,869,991,986
760,0,6,997,854,908,989,986
770,0,7,1015,826,906,977,976
780,0,7,994,807,905,986,985
790,0,7,987,781,891,985,976
800,0,6,985,770,883,986,979
810,0,5,1012,751,893,979,981
820,0,4,1003,768,897,991,992
830,0,3,982,719,863,989,990
840,0,2,997,732,875,976,981
850,0,2,1019,752,881,983,982
860,0,2,1003,717,876,993,976
870,0,2,980,720,869,988,965
880,0,2,995,726,907,995,987
890,0,2,999,720,874,981,984
900,0,2,987,701,861,983,991
910,0,2,1005,663,898,977,958
920,0,2,988,704,866,991,984
930,0,2,1021,692,899,987,986
940,0,2,998,720,881,999,977
950,0,2,987,704,871,986,976
960,0,2,1004,721,879,983,986
970,0,2,994,721,873,985,979
980,0,2,975,708,896,982,981
990,0,2,989,707,899,976,982
