timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-1,1001,720,875,975,976
10,0,-3,983,727,866,976,980
20,0,-4,986,723,871,991,976
30,0,-5,988,736,864,978,981
40,0,-5,996,730,866,991,1006
50,0,-5,990,720,893,996,978
60,0,-5,1019,720,895,976,996
70,0,-5,990,725,887,986,978
80,0,-5,1070,732,874,981,990
90,0,-5,994,693,863,981,976
100,0,-5,991,741,868,992,976
110,0,-5,983,741,807,986,981
120,0,-5,994,724,871,977,979
130,0,-5,991,739,869,996,976
140,0,-5,986,723,866,970,978
150,0,-5,989,719,877,986,982
160,0,-6,970,757,880,990,976
170,0,-6,978,758,899,967,982
180,0,-6,999,760,867,982,979
190,0,-6,991,763,871,971,982
200,0,-6,992,783,872,970,978
210,0,-6,983,777,897,981,992
220,0,-6,994,771,897,996,990
230,0,-6,987,810,885,997,981
240,0,-6,988,826,878,976,970
250,0,-6,1002,832,898,966,999
260,0,-6,1010,835,891,987,979
270,0,-6,982,835,896,975,977
280,0,-7,998,834,897,980,981
290,0,-8,997,848,912,985,986
300,0,-9,1006,863,898,963,975
310,0,-10,1006,867,898,982,979
320,0,-10,1009,858,875,1003,981
330,0,-10,994,870,896,975,989
340,0,-9,998,879,911,982,980
350,0,-7,1023,887,912,1008,977
360,0,-5,1008,866,892,1002,982
370,0,-4,1015,870,913,976,977
380,0,-3,997,866,899,1009,981
390,0,-2,1008,880,916,979,981
400,0,-1,997,880,898,986,990
410,0,0,993,880,903,974,986
420,0,0,997,868,897,974,976
430,0,0,998,891,899,982,987
440,0,0,992,874,912,982,978
450,0,0,1013,881,896,981,978
460,0,0,994,879,900,951,982
470,0,0,997,871,907,973,976
480,0,0,997,880,901,986,992
490,0,0,1005,865,885,985,989
500,0,1,1001,859,896,978,977
510,-1,2,1007,846,899,987,1003
520,-1,3,985,855,898,995,976
530,-1,4,999,853,900,981,978
540,-1,6,1005,848,906,985,987
550,-1,8,1002,817,881,993,977
560,-1,10,989,803,879,1005,982
570,-1,11,999,795,899,974,945
580,-1,12,989,724,880,973,976
590,-2,12,1011,725,875,976,982
600,-2,12,981,695,871,994,983
610,-2,11,1005,688,865,975,976
620,-2,10,1003,677,879,987,982
630,-2,9,998,688,874,981,977
640,-2,8,995,687,882,977,1021
650,-2,7,995,677,869,983,977
660,-2,6,992,673,871,981,982
670,-2,5,1015,663,880,999,989
680,-2,4,986,670,865,993,978
690,-2,3,998,691,875,980,977
700,-2,3,996,663,860,993,1002
710,-2,3,978,684,868,981,992
720,-2,3,961,687,880,997,983
730,-2,2,979,675,867,979,1005
740,-2,1,1001,680,864,992,976
750,-2,0,999,650,905,979,981
760,-2,0,986,668,878,981,976
770,-2,0,991,685,863,975,991
780,-2,0,1003,678,875,986,981
790,-2,0,980,688,861,978,976
800,-2,0,976,680,855,1012,977
810,-2,0,991,695,865,985,973
820,-2,0,988,672,858,977,991
830,-2,0,989,682,864,988,985
840,-2,0,1007,689,876,995,977
850,-2,0,1004,685,850,964,978
860,-2,0,990,688,866,977,983
870,-2,0,997,682,869,976,979
880,-2,0,1021,690,880,982,974
890,-2,0,976,704,863,977,983
900,-2,0,991,688,881,942,1005
910,-2,0,998,707,869,976,967
920,-2,0,959,689,870,985,976
930,-2,0,993,751,848,998,991
940,-2,0,989,694,877,987,981
950,-2,0,1002,683,865,976,976
960,-2,0,991,663,854,982,982
970,-2,0,977,689,874,987,989
980,-3,0,997,681,865,987,975
990,-3,0,982,688,863,980,986
