timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-2,996,778,871,993,977
10,0,-5,993,753,890,991,983
20,0,-7,984,774,861,977,977
30,0,-8,979,780,879,977,982
40,0,-9,1008,767,878,986,990
50,0,-10,1001,783,870,974,976
60,0,-10,967,774,869,981,992
70,0,-10,982,784,851,991,975
80,0,-10,990,779,865,986,978
90,0,-10,970,781,871,994,976
100,0,-9,989,766,880,976,981
110,0,-8,978,798,883,979,978
120,0,-7,998,801,893,990,987
130,0,-6,983,793,880,993,979
140,0,-5,981,798,875,992,976
150,0,-4,998,801,886,994,959
160,0,-3,977,832,874,1003,978
170,0,-2,981,820,884,995,987
180,0,-2,993,850,886,982,981
190,0,-2,945,827,867,987,977
200,0,-2,1003,845,874,992,975
210,0,-2,994,854,877,989,977
220,0,-2,990,861,876,987,991
230,0,-2,990,866,877,969,983
240,0,-2,998,880,867,992,976
250,0,-2,976,879,877,976,973
260,0,-2,996,880,903,1001,977
270,0,-2,1008,896,861,982,986
280,0,-2,1004,885,909,983,976
290,0,-2,997,899,895,989,981
300,0,-2,993,905,891,985,965
310,0,-2,985,915,877,980,978
320,0,-2,989,896,880,987,983
330,0,-2,995,896,915,997,974
340,0,-2,1006,907,900,982,979
350,0,-2,988,917,881,999,983
360,0,-2,1003,915,901,977,957
370,0,-3,996,903,893,978,987
380,0,-3,983,917,921,999,991
390,0,-3,1007,944,915,980,978
400,0,-3,998,916,895,979,987
410,0,-3,994,912,895,989,993
420,0,-3,991,908,913,981,976
430,0,-4,987,917,895,976,978
440,0,-5,1006,912,911,991,987
450,0,-4,997,922,904,997,991
460,0,-3,993,939,902,975,1005
470,0,-2,1001,910,925,987,989
480,0,-1,983,933,979,988,976
490,0,0,996,913,914,951,988
500,0,0,992,927,903,980,990
510,0,0,992,924,910,976,976
520,0,0,1001,928,938,975,971
530,0,0,993,917,901,995,975
540,0,0,991,915,907,983,981
550,0,0,988,922,910,986,983
560,0,0,1002,912,894,995,975
570,0,0,986,913,919,998,959
580,0,0,1002,932,900,976,974
590,0,0,975,915,919,1006,989
600,0,0,993,917,912,986,989
610,0,0,1005,912,901,986,985
620,0,0,994,951,905,946,986
630,0,1,1007,921,919,997,979
640,0,1,988,922,899,992,981
650,0,2,994,902,889,946,976
660,0,3,1008,898,906,991,976
670,0,4,978,908,911,997,951
680,0,5,986,877,909,976,986
690,0,6,995,873,891,979,976
700,0,7,993,863,890,992,986
710,0,8,987,821,913,972,987
720,0,8,989,811,873,1003,974
730,0,8,981,736,883,999,991
740,0,8,976,759,891,999,993
750,0,8,986,726,893,978,997
760,0,8,987,750,888,985,977
770,0,8,972,740,880,991,987
780,0,8,1002,719,881,981,1005
790,0,8,983,738,871,977,975
800,0,8,1020,752,891,976,976
810,0,7,996,733,880,979,982
820,0,6,1008,719,890,983,987
830,0,5,941,734,871,989,976
840,0,4,981,719,887,1002,979
850,0,3,979,723,891,986,973
860,0,2,1007,699,873,997,976
870,0,1,1008,719,869,968,987
880,0,0,996,741,880,985,981
890,0,0,983,734,893,1002,978
900,0,0,976,741,870,982,983
910,0,0,992,747,887,986,1002
920,0,0,995,731,874,995,1003
930,0,0,982,747,866,981,982
940,0,0,983,701,880,983,950
950,0,0,994,716,880,976,978
960,0,0,977,720,889,987,973
970,0,0,978,735,884,969,976
980,0,0,997,741,867,978,976
990,0,0,978,713,880,969,976
