timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-1,995,757,880,983,976
10,0,-5,981,713,879,985,987
20,0,-6,995,703,883,983,978
30,0,-7,998,742,880,991,980
40,0,-7,996,723,875,982,976
50,0,-7,1059,719,883,955,973
60,0,-7,998,704,886,976,976
70,0,-7,975,710,871,998,944
80,0,-7,985,714,898,982,976
90,0,-7,991,700,890,980,975
100,0,-7,999,731,875,988,988
110,0,-6,985,739,875,975,977
120,0,-5,1001,733,886,963,980
130,0,-4,992,682,885,987,993
140,0,-3,977,717,891,980,983
150,0,-2,1012,707,883,982,979
160,0,-1,982,728,880,979,983
170,0,0,989,724,883,982,978
180,0,0,982,729,902,994,979
190,0,0,983,733,880,997,1008
200,0,0,1008,742,894,983,976
210,0,0,990,747,885,997,1005
220,0,0,977,773,887,967,976
230,0,0,981,758,880,976,982
240,0,0,979,774,889,977,982
250,0,0,1006,779,880,976,981
260,0,0,1006,770,839,989,992
270,0,0,1001,801,880,979,992
280,0,0,1005,779,905,981,978
290,0,0,994,783,877,987,992
300,0,0,1008,806,877,981,976
310,0,0,957,790,881,994,996
320,0,0,992,770,887,945,995
330,0,0,992,810,871,985,979
340,0,0,1002,806,880,974,988
350,0,0,988,810,881,970,989
360,0,0,972,843,911,977,980
370,0,0,1008,814,890,996,977
380,0,0,999,831,879,982,976
390,0,0,999,849,892,943,978
400,0,0,990,830,889,992,980
410,0,-1,982,830,895,971,977
420,0,-2,997,846,899,994,1003
430,0,-3,991,861,880,987,976
440,0,-4,1014,863,887,976,983
450,0,-5,1010,854,887,982,976
460,0,-6,1018,847,912,974,989
470,0,-6,1053,885,913,993,976
480,0,-6,1008,855,897,986,997
490,0,-5,1010,850,889,983,989
500,0,-4,1010,838,902,989,986
510,0,-3,1009,880,896,981,991
520,0,-2,1003,864,901,990,1042
530,0,-1,1014,863,901,979,984
540,0,0,1020,855,908,981,983
550,0,0,1002,873,903,959,976
560,0,0,1009,861,897,987,982
570,0,0,1020,867,890,967,976
580,0,0,1004,863,929,974,977
590,0,0,1007,855,914,975,977
600,0,0,978,845,912,994,989
610,0,0,1008,818,906,975,986
620,0,0,1010,876,848,980,991
630,0,0,989,865,901,973,984
640,0,0,1006,871,897,969,977
650,0,0,1001,868,912,983,981
660,0,0,1007,880,899,990,977
670,0,0,1034,862,912,981,981
680,0,0,1051,891,898,975,967
690,0,1,1017,870,912,977,974
700,0,2,997,849,906,991,970
710,0,3,982,847,898,981,979
720,0,4,999,827,902,980,982
730,0,5,979,821,886,978,977
740,0,6,989,782,890,976,981
750,0,7,981,726,881,982,976
760,0,8,986,711,919,977,976
770,0,9,979,656,871,976,990
780,0,9,985,656,865,980,986
790,0,9,977,647,877,991,989
800,0,9,976,640,868,981,981
810,0,9,1006,633,891,998,921
820,0,9,997,642,866,957,985
830,0,9,990,650,867,986,976
840,0,8,957,642,848,976,989
850,0,8,993,629,851,982,977
860,0,7,991,691,858,978,993
870,0,6,975,643,874,960,1012
880,0,5,990,667,858,981,979
890,0,4,985,669,816,976,985
900,0,3,996,647,863,976,997
910,0,2,995,651,861,977,983
920,0,1,985,647,832,984,986
930,0,0,979,656,867,976,973
940,0,0,976,656,830,980,989
950,0,0,999,611,848,958,980
960,0,0,982,659,850,991,980
970,0,0,983,666,848,976,982
980,0,0,984,656,848,975,983
990,0,0,996,665,879,969,975
