timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,-1,-2,1004,718,867,998,987
10,-1,-5,993,701,861,981,976
20,0,-6,991,722,863,987,981
30,0,-7,1019,730,882,985,981
40,0,-8,989,710,891,983,979
50,0,-9,1009,749,854,1003,977
60,0,-9,977,720,841,962,976
70,0,-9,981,722,873,1008,983
80,0,-9,1013,743,861,994,974
90,0,-9,991,750,865,976,978
100,0,-9,985,755,870,989,976
110,0,-9,989,717,874,1007,976
120,0,-9,995,752,866,989,979
130,0,-9,1008,739,896,977,985
140,0,-8,990,749,873,981,977
150,0,-8,993,781,871,969,976
160,0,-7,983,797,871,991,976
170,0,-6,982,805,862,982,988
180,0,-5,990,794,892,981,981
190,0,-5,1008,813,897,983,987
200,0,-5,974,814,882,986,989
210,0,-5,939,814,892,981,977
220,0,-5,978,833,882,986,979
230,0,-4,995,818,899,978,976
240,0,-3,986,847,883,1008,976
250,0,-2,987,848,899,983,978
260,0,-2,987,834,898,976,976
270,0,-2,988,848,895,1005,983
280,0,-3,989,848,896,990,983
290,0,-4,983,877,915,998,991
300,0,-5,983,861,906,987,976
310,0,-4,987,882,905,980,993
320,0,-3,991,877,899,1008,989
330,0,-2,990,880,894,981,981
340,0,-1,1008,861,896,979,978
350,0,0,1003,874,908,976,977
360,0,0,1007,877,896,981,976
370,0,0,993,870,901,977,989
380,0,0,1002,868,896,973,981
390,0,0,992,874,895,977,987
400,0,0,963,871,895,993,986
410,0,0,1015,871,899,986,976
420,0,0,990,860,885,980,979
430,0,0,1005,857,903,991,974
440,0,0,1001,885,911,983,979
450,0,0,956,880,896,989,987
460,0,0,986,882,894,976,982
470,0,1,992,873,897,987,977
480,-1,2,985,861,895,962,976
490,-1,3,1000,859,894,980,978
500,-1,4,992,839,916,978,976
510,-1,5,995,827,898,987,976
520,-1,6,1005,799,885,986,976
530,-1,7,972,801,878,975,981
540,0,8,993,721,885,987,976
550,0,9,1013,709,883,979,983
560,0,9,987,700,897,1019,978
570,0,9,991,677,892,990,979
580,0,9,1013,673,882,981,960
590,0,9,993,686,879,985,976
600,0,9,1008,675,882,992,987
610,0,9,995,677,890,992,981
620,0,9,993,666,877,991,976
630,0,9,1002,608,846,976,989
640,0,9,993,674,890,985,978
650,0,8,1010,683,876,979,976
660,0,8,1002,688,881,983,979
670,0,8,998,679,880,990,954
680,0,8,997,676,860,981,987
690,0,8,992,685,869,943,969
700,0,8,996,688,873,982,976
710,0,8,991,689,850,983,977
720,0,8,993,705,885,978,976
730,0,8,983,694,882,983,978
740,0,8,992,691,896,976,957
750,0,8,995,698,878,988,974
760,0,8,987,709,868,976,976
770,0,8,995,710,851,989,971
780,-1,8,994,697,882,996,977
790,-2,8,1015,715,878,978,975
800,-4,8,987,711,871,960,979
810,-7,8,982,706,897,983,981
820,-10,8,1005,714,877,995,976
830,-14,8,999,698,878,976,976
840,-19,8,946,693,867,977,978
850,-24,8,983,700,892,982,976
860,-29,8,994,709,880,978,975
870,-34,8,1007,720,859,975,987
880,-38,8,992,705,880,994,978
890,-41,8,999,720,868,1001,987
900,-43,8,1002,719,887,983,975
910,-44,8,981,714,869,989,979
920,-45,8,999,707,880,976,986
930,-45,8,1004,708,878,987,981
940,-44,7,989,719,866,990,995
950,-43,6,979,794,901,981,974
960,-42,5,999,714,885,983,989
970,-40,4,987,714,880,983,979
980,-38,3,999,709,874,984,978
990,-36,2,1009,714,880,998,976
