timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,-15,7,971,712,877,998,975
10,-12,0,965,778,880,976,977
20,-10,-4,987,797,881,985,980
30,-9,-7,964,747,881,994,977
40,-8,-9,971,751,889,966,976
50,-7,-11,954,737,888,982,982
60,-6,-12,1019,752,901,967,990
70,-6,-13,983,752,880,983,977
80,-6,-14,976,752,882,967,976
90,-6,-14,973,753,865,976,978
100,-6,-14,974,763,877,973,982
110,-7,-14,965,769,880,982,976
120,-8,-14,966,763,882,976,985
130,-9,-14,980,738,878,989,977
140,-10,-15,960,757,882,971,985
150,-11,-16,989,759,874,982,981
160,-12,-17,976,763,870,980,981
170,-13,-18,966,746,816,991,976
180,-14,-19,970,750,877,972,977
190,-15,-20,977,768,878,976,976
200,-16,-21,970,767,879,986,977
210,-17,-22,969,759,885,982,976
220,-18,-23,990,764,890,977,976
230,-18,-23,982,733,885,967,977
240,-18,-23,962,763,887,976,983
250,-18,-23,976,762,879,982,994
260,-18,-23,969,760,880,989,986
270,-18,-23,979,784,878,991,976
280,-19,-23,976,801,891,1002,992
290,-19,-23,975,816,877,977,981
300,-19,-23,976,815,883,986,976
310,-20,-23,1001,822,879,983,979
320,-21,-23,999,822,880,975,975
330,-22,-23,983,860,880,976,976
340,-23,-23,989,849,881,987,975
350,-23,-23,992,878,895,973,976
360,-23,-23,988,863,885,949,972
370,-22,-23,994,880,886,987,986
380,-21,-23,1003,881,890,997,975
390,-20,-23,995,900,893,985,978
400,-19,-23,986,902,894,976,982
410,-18,-23,1008,912,899,976,969
420,-18,-23,993,900,903,979,977
430,-18,-21,976,912,887,984,977
440,-18,-19,1002,912,900,989,976
450,-18,-17,999,908,890,975,976
460,-18,-15,1005,909,887,1001,987
470,-18,-13,999,906,891,961,971
480,-17,-11,976,901,901,993,983
490,-16,-8,986,907,906,994,987
500,-15,-5,992,902,890,978,976
510,-14,-3,976,906,886,978,976
520,-13,-1,987,913,890,966,982
530,-12,0,999,919,903,981,977
540,-11,1,1010,918,897,985,986
550,-10,2,981,891,891,992,979
560,-9,3,990,897,900,982,974
570,-8,4,975,923,894,968,976
580,-7,5,981,913,882,989,976
590,-6,7,995,900,898,975,989
600,-5,10,1010,917,882,976,978
610,-4,14,999,893,905,998,977
620,-3,17,998,903,895,966,965
630,-2,19,990,916,881,983,979
640,-1,21,986,875,887,976,993
650,0,22,986,858,890,994,975
660,0,22,975,839,885,980,974
670,0,21,982,793,900,978,976
680,1,20,978,785,896,996,978
690,1,19,1007,752,880,987,977
700,1,18,979,765,898,991,980
710,1,17,983,733,902,975,976
720,1,16,966,719,896,967,971
730,1,16,948,729,880,981,975
740,1,16,993,718,879,986,992
750,1,17,971,721,891,976,977
760,1,18,994,709,882,989,978
770,2,19,993,707,892,993,986
780,2,20,975,704,885,973,961
790,2,21,971,722,880,997,976
800,2,21,986,705,882,978,1035
810,2,22,965,700,895,945,976
820,2,22,970,709,879,983,976
830,2,22,986,696,884,979,976
840,2,23,974,715,875,995,986
850,2,24,982,704,878,977,977
860,2,24,976,711,880,999,969
870,2,24,977,703,894,981,981
880,2,24,973,705,880,967,982
890,2,24,1045,718,875,978,977
900,2,24,969,715,869,971,981
910,2,23,990,708,882,976,983
920,2,22,965,711,877,970,978
930,2,20,969,719,884,1001,990
940,2,18,981,727,880,981,979
950,2,16,986,711,877,990,980
960,2,14,976,723,865,951,978
970,2,11,981,700,880,970,978
980,2,8,975,711,880,990,979
990,2,5,948,720,870,991,979
