timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-3,975,683,861,970,978
10,1,-6,974,720,874,975,981
20,1,-7,976,718,880,957,992
30,1,-8,976,735,866,979,977
40,1,-9,983,739,857,989,975
50,1,-10,975,739,891,975,967
60,2,-12,986,761,861,972,975
70,3,-14,985,762,854,981,989
80,4,-15,995,811,869,979,981
90,5,-16,995,775,865,975,985
100,6,-16,997,775,865,982,960
110,7,-16,976,806,866,979,983
120,8,-16,983,834,869,967,974
130,9,-16,999,834,873,974,957
140,10,-16,996,843,859,967,983
150,11,-16,1006,848,880,986,977
160,12,-17,981,861,882,976,988
170,13,-18,994,863,882,982,987
180,14,-19,990,891,876,978,963
190,14,-20,983,880,892,964,987
200,14,-21,1006,883,885,973,974
210,15,-22,1001,896,883,964,988
220,15,-22,999,897,885,964,977
230,15,-22,1020,914,882,971,979
240,15,-22,1008,908,891,976,974
250,15,-22,998,919,891,976,981
260,14,-20,1009,920,891,974,983
270,14,-18,1007,912,896,961,975
280,13,-17,975,911,899,986,985
290,12,-15,1005,928,893,1002,980
300,11,-14,1008,914,891,972,986
310,10,-13,1009,926,902,975,985
320,10,-12,1008,915,903,976,970
330,9,-10,1010,915,917,985,967
340,8,-9,1000,929,902,976,971
350,7,-8,1005,929,896,987,976
360,6,-7,1008,923,880,970,981
370,5,-6,1008,912,883,997,987
380,4,-5,998,912,915,973,989
390,4,-4,997,915,899,971,976
400,3,-3,995,912,898,976,982
410,3,-2,1008,912,892,971,978
420,3,-1,1012,912,895,988,977
430,2,0,1015,921,894,983,981
440,1,1,975,931,911,965,987
450,0,2,999,902,896,978,980
460,0,4,983,910,898,976,976
470,-1,7,995,937,923,972,999
480,-1,9,994,914,896,983,980
490,-1,10,1023,897,880,975,994
500,-1,11,995,885,906,974,980
510,-1,11,990,860,882,969,976
520,0,11,999,839,897,978,990
530,0,10,997,774,880,938,977
540,0,9,979,752,880,971,976
550,0,8,989,720,880,951,977
560,0,7,976,700,880,991,991
570,0,6,983,704,863,966,960
580,0,5,976,695,874,973,977
590,0,5,976,693,866,976,978
600,0,5,975,698,837,958,976
610,0,5,976,693,859,978,977
620,0,5,1002,683,869,963,985
630,0,6,979,691,867,949,977
640,0,7,992,691,850,989,976
650,0,8,961,688,843,977,978
660,0,9,976,688,876,976,978
670,0,10,967,689,833,963,976
680,0,11,976,700,859,1005,976
690,0,12,982,695,851,972,985
700,0,12,976,685,873,957,979
710,0,12,994,679,866,971,981
720,0,12,989,694,851,978,990
730,0,12,989,705,850,960,979
740,-1,12,980,697,848,966,978
750,-2,12,969,707,870,968,979
760,-2,12,990,697,855,960,981
770,-2,12,986,699,863,973,978
780,-3,12,976,624,864,969,980
790,-3,12,989,688,851,975,978
800,-4,12,979,693,870,974,990
810,-4,12,995,719,869,966,976
820,-5,11,986,714,848,975,974
830,-6,11,980,700,859,965,979
840,-6,11,993,661,848,976,979
850,-7,11,995,703,861,976,976
860,-7,11,955,705,853,977,976
870,-7,11,977,708,850,989,987
880,-7,11,989,686,864,986,990
890,-7,11,976,717,863,1001,979
900,-7,10,991,708,863,975,978
910,-7,9,994,702,881,976,976
920,-7,8,980,703,863,986,976
930,-7,8,979,719,865,978,976
940,-7,7,1014,709,838,960,960
950,-7,6,981,709,864,977,976
960,-7,5,977,720,868,970,980
970,-7,4,966,694,865,974,989
980,-6,4,980,706,857,976,982
990,-5,4,1008,711,871,976,976
