timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-1,993,679,871,980,1009
10,0,-4,987,691,848,966,983
20,0,-6,1008,679,866,991,977
30,0,-7,987,681,874,975,981
40,0,-8,994,672,863,990,981
50,0,-8,979,695,857,976,981
60,0,-8,994,688,843,977,976
70,0,-8,993,687,852,1009,977
80,0,-8,998,698,864,966,980
90,0,-8,993,669,866,975,977
100,0,-8,986,701,855,986,979
110,0,-8,983,703,870,984,975
120,0,-8,997,721,865,975,977
130,0,-7,991,742,873,992,985
140,0,-6,968,742,889,967,976
150,0,-5,986,750,857,966,976
160,0,-4,999,758,902,977,977
170,0,-3,994,801,865,992,997
180,0,-3,994,782,883,978,976
190,0,-3,998,801,886,962,977
200,0,-3,1006,811,880,976,989
210,0,-3,999,814,875,981,981
220,0,-3,1002,834,845,965,977
230,0,-3,992,801,885,982,976
240,0,-3,1008,825,881,976,993
250,0,-3,995,838,895,958,991
260,0,-3,1001,848,890,983,987
270,0,-3,1008,829,863,980,977
280,0,-3,999,844,882,979,976
290,0,-3,1004,846,896,997,982
300,0,-3,997,855,889,963,999
310,0,-3,1013,878,892,957,994
320,0,-3,1008,843,881,975,982
330,0,-3,1005,849,902,988,977
340,0,-3,1013,854,889,979,977
350,0,-3,1017,855,895,990,967
360,0,-3,1008,846,903,991,993
370,0,-3,1008,843,912,983,981
380,0,-3,1008,870,890,993,979
390,0,-3,1008,849,903,966,979
400,0,-3,1007,850,909,986,981
410,0,-3,1013,854,897,965,976
420,0,-2,999,848,914,976,976
430,0,-1,1013,853,916,983,992
440,0,0,1008,858,885,974,981
450,0,0,995,864,910,977,987
460,0,0,1003,873,915,970,991
470,0,0,1018,861,897,969,979
480,0,0,998,859,912,970,969
490,0,0,1010,799,902,965,975
500,0,0,1007,867,897,976,976
510,0,0,1031,850,898,973,985
520,0,0,1032,870,907,983,976
530,0,0,1002,863,897,974,983
540,0,0,1008,860,905,967,992
550,0,0,1014,871,910,984,991
560,0,0,1023,876,913,974,991
570,0,0,1014,878,895,987,983
580,0,0,1002,848,906,979,976
590,0,0,1030,839,912,987,980
600,0,1,1008,832,892,981,979
610,0,2,1023,835,904,977,979
620,0,3,992,823,901,975,989
630,0,5,1003,814,914,994,976
640,0,7,1031,784,894,987,976
650,0,8,991,763,901,976,993
660,0,9,1012,747,893,976,981
670,0,10,949,715,893,986,976
680,0,10,1001,697,882,976,987
690,0,10,997,684,880,963,981
700,0,10,1009,685,880,977,982
710,0,10,1008,688,864,995,979
720,0,10,998,663,885,995,1001
730,0,10,1004,656,858,946,951
740,0,10,991,674,867,981,987
750,0,10,1008,647,895,990,986
760,1,10,1001,661,859,995,986
770,2,9,1003,671,880,986,971
780,2,8,979,613,885,969,979
790,2,7,1003,656,868,967,983
800,1,6,992,683,861,985,970
810,0,5,998,666,866,974,976
820,0,4,982,658,869,963,981
830,0,3,959,682,860,967,995
840,0,4,1008,682,891,977,992
850,0,4,993,679,866,986,974
860,0,4,994,682,853,976,978
870,0,4,1010,670,880,977,985
880,0,3,992,683,893,973,954
890,0,2,986,677,880,989,981
900,0,1,1009,682,882,977,985
910,0,0,994,698,877,974,985
920,0,0,994,677,873,973,993
930,0,0,1003,679,868,991,976
940,0,0,985,733,868,978,987
950,0,0,993,672,860,983,986
960,0,0,993,681,870,978,958
970,0,0,976,685,862,977,977
980,0,0,1008,688,870,992,977
990,0,0,997,659,885,998,978
