timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-4,979,752,874,976,978
10,-1,-10,983,749,867,971,977
20,0,-14,988,727,896,976,975
30,1,-17,982,752,884,934,1004
40,2,-19,983,749,880,977,979
50,3,-20,1013,722,861,980,989
60,4,-21,967,752,877,981,991
70,5,-22,993,748,878,976,977
80,5,-23,975,750,876,967,976
90,5,-23,989,737,893,974,976
100,5,-23,989,752,883,972,989
110,5,-23,991,752,893,976,977
120,5,-23,984,739,875,969,982
130,5,-23,987,768,912,979,974
140,5,-23,994,736,864,981,976
150,5,-23,1008,737,871,976,982
160,5,-23,979,740,873,987,976
170,5,-22,975,749,871,979,982
180,5,-21,976,767,871,976,983
190,5,-20,984,763,887,985,977
200,5,-19,986,747,872,989,977
210,5,-18,991,711,875,985,975
220,5,-18,994,769,880,979,985
230,5,-18,986,752,862,986,979
240,5,-17,997,777,866,979,976
250,5,-16,983,766,869,976,989
260,5,-15,983,769,880,974,986
270,5,-15,983,797,884,979,979
280,5,-15,997,813,876,982,978
290,5,-16,980,815,906,983,966
300,5,-16,983,848,893,974,979
310,5,-16,978,831,857,993,981
320,5,-16,1008,877,883,978,985
330,5,-16,1001,882,908,970,979
340,5,-16,991,834,891,944,978
350,5,-16,997,896,895,979,986
360,5,-17,991,897,950,970,987
370,5,-18,1006,944,881,981,979
380,5,-19,993,900,891,977,980
390,5,-18,1010,907,885,978,977
400,5,-16,1005,912,884,985,985
410,5,-13,993,910,891,969,993
420,4,-10,1002,901,886,978,975
430,4,-7,1018,906,896,976,978
440,4,-5,999,913,885,967,978
450,4,-3,1003,904,850,978,983
460,4,-1,995,915,879,975,977
470,4,0,997,912,885,960,983
480,4,1,1008,912,887,983,976
490,4,2,1005,901,879,987,977
500,4,4,1007,921,897,976,992
510,4,6,1005,926,897,976,978
520,3,9,993,902,877,976,976
530,2,12,1006,912,902,976,987
540,1,16,1003,908,909,971,975
550,0,20,1001,899,862,967,985
560,0,23,989,877,880,971,979
570,0,25,995,858,884,986,968
580,0,26,986,878,884,975,962
590,0,26,985,817,880,971,976
600,0,24,973,743,882,966,981
610,0,22,973,779,875,976,981
620,0,19,982,747,870,976,977
630,0,16,981,709,873,976,983
640,0,13,990,719,870,981,976
650,0,10,982,714,871,978,979
660,0,7,973,679,878,982,975
670,0,4,977,698,891,982,978
680,0,1,969,719,901,969,993
690,0,0,975,706,880,982,980
700,0,-1,979,681,870,963,1002
710,0,-2,976,708,849,993,976
720,0,-2,977,691,860,971,976
730,0,-2,987,705,883,977,960
740,0,-2,983,703,843,998,989
750,0,-2,980,706,879,967,976
760,0,-2,985,703,877,959,988
770,0,-3,995,705,880,957,958
780,0,-4,979,710,863,974,976
790,0,-5,991,712,877,978,963
800,0,-6,975,701,880,975,978
810,0,-7,979,706,867,972,995
820,0,-8,994,676,871,974,979
830,0,-8,977,727,885,965,988
840,0,-8,976,707,871,974,976
850,0,-8,981,725,882,977,979
860,0,-8,994,709,875,987,990
870,0,-7,976,720,882,976,976
880,1,-6,978,703,882,976,983
890,1,-5,974,714,880,965,961
900,2,-4,977,720,863,976,979
910,3,-3,987,725,881,966,979
920,4,-2,987,714,863,967,976
930,4,0,985,715,866,977,976
940,4,1,983,722,868,969,980
950,4,2,999,737,864,967,1006
960,4,3,977,704,871,993,986
970,4,4,989,722,874,977,987
980,4,5,982,721,880,982,990
990,4,6,982,731,875,983,986
