timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-1,979,734,879,976,978
10,-1,-1,992,743,889,979,983
20,0,-3,997,742,877,999,977
30,0,-5,990,735,898,990,976
40,1,-7,982,739,896,976,983
50,1,-9,963,741,913,981,971
60,1,-10,982,747,900,990,979
70,1,-11,989,762,908,976,986
80,2,-11,997,775,877,1003,987
90,3,-11,986,755,897,987,977
100,3,-11,991,724,919,975,992
110,4,-11,990,753,899,966,983
120,4,-11,981,753,890,994,981
130,4,-11,986,762,895,974,987
140,4,-11,986,773,892,984,985
150,4,-11,995,769,884,983,995
160,5,-11,1022,785,893,970,982
170,5,-12,995,785,895,985,982
180,5,-13,981,746,881,1004,972
190,5,-14,1015,815,883,996,976
200,5,-16,997,823,897,981,976
210,5,-17,992,826,854,977,983
220,5,-18,996,830,884,967,979
230,5,-19,1063,835,885,999,950
240,5,-20,983,847,905,986,981
250,5,-19,996,848,877,988,998
260,4,-18,973,847,881,1010,978
270,4,-17,991,833,880,979,983
280,3,-16,990,838,898,989,981
290,3,-15,971,834,883,994,986
300,3,-14,1002,849,879,979,993
310,3,-12,1019,846,875,992,989
320,3,-10,989,843,835,987,963
330,3,-8,992,851,896,992,987
340,3,-6,999,845,891,1002,977
350,3,-4,1003,847,907,987,978
360,3,-2,1006,850,876,977,976
370,3,0,1005,851,887,976,990
380,2,1,990,843,881,975,976
390,1,3,994,841,891,961,977
400,0,5,999,841,892,989,978
410,0,8,995,843,880,996,978
420,0,11,998,831,836,1001,990
430,0,14,989,835,885,977,978
440,0,16,1001,810,897,993,979
450,0,17,970,790,895,988,996
460,0,17,997,784,880,977,976
470,0,17,977,756,874,975,995
480,0,16,986,747,883,987,987
490,0,15,999,738,890,989,981
500,0,14,991,731,901,989,993
510,0,13,1008,732,912,991,986
520,0,12,992,718,869,987,983
530,0,11,992,719,899,1003,974
540,0,10,1004,710,880,981,987
550,0,9,1003,701,873,982,976
560,0,8,982,690,890,977,999
570,0,7,1001,700,877,981,979
580,0,6,1007,697,880,989,978
590,0,5,1003,711,895,982,974
600,0,4,1008,709,886,971,977
610,0,3,980,709,887,1013,976
620,0,2,986,711,866,991,989
630,0,2,985,707,912,981,978
640,0,2,992,697,886,973,978
650,0,2,983,704,895,974,977
660,0,2,978,700,889,983,976
670,0,2,1002,691,881,978,976
680,0,2,970,704,861,988,981
690,0,2,994,704,886,1009,987
700,0,2,989,696,873,981,977
710,0,2,1009,702,899,976,971
720,0,2,990,715,890,982,975
730,0,2,998,719,898,976,976
740,0,2,991,712,880,979,990
750,0,1,975,703,881,987,977
760,0,1,991,715,901,994,976
770,0,0,1020,701,880,977,981
780,0,0,1003,713,893,990,985
790,0,0,975,704,906,994,976
800,0,0,992,711,875,995,989
810,0,0,991,699,880,984,987
820,0,0,992,701,880,976,985
830,0,0,993,713,898,976,981
840,0,0,965,703,910,981,976
850,0,0,985,705,880,981,981
860,0,0,998,699,891,987,976
870,0,0,971,707,894,976,987
880,0,0,1003,703,883,979,982
890,0,0,972,709,879,989,981
900,0,0,985,703,880,1008,976
910,0,0,990,717,885,993,986
920,0,0,985,711,901,979,982
930,0,0,1018,703,880,987,992
940,0,0,978,703,877,993,972
950,0,0,1009,707,891,1009,982
960,0,0,991,705,886,987,979
970,0,0,1008,707,897,971,976
980,0,0,989,705,881,973,979
990,0,0,987,709,883,987,978
