timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-2,982,702,864,980,986
10,0,-5,976,716,857,945,975
20,0,-7,981,701,874,989,990
30,0,-9,997,709,874,977,976
40,0,-10,986,739,864,976,982
50,0,-11,992,731,868,998,978
60,0,-12,1009,734,887,1003,987
70,0,-12,993,758,866,978,981
80,0,-12,995,769,855,975,983
90,0,-12,991,782,887,1003,976
100,0,-12,992,784,885,997,976
110,0,-11,977,770,877,976,978
120,0,-10,982,801,885,977,976
130,0,-9,995,818,880,975,979
140,0,-8,979,849,880,976,981
150,0,-7,981,832,886,974,985
160,0,-6,989,843,890,981,981
170,0,-5,989,850,914,985,981
180,0,-4,979,850,883,981,982
190,0,-3,1015,866,880,983,978
200,0,-3,982,880,879,999,977
210,0,-3,1008,880,886,998,993
220,0,-3,997,891,878,981,982
230,0,-3,1009,875,883,975,979
240,0,-3,989,878,889,988,982
250,0,-3,1072,885,913,1008,987
260,0,-3,1003,893,890,992,976
270,0,-3,1031,895,892,978,974
280,0,-3,1003,895,896,976,982
290,0,-3,1008,911,895,975,981
300,0,-3,992,896,915,978,977
310,0,-3,1019,912,895,976,989
320,0,-3,999,893,912,995,991
330,0,-3,999,921,910,978,976
340,0,-3,1008,920,903,976,979
350,0,-3,1029,912,858,987,982
360,0,-2,1008,912,899,976,980
370,0,-1,1003,897,912,978,987
380,0,0,1007,927,908,982,977
390,0,0,1008,934,897,980,986
400,0,0,992,917,906,987,993
410,0,0,1008,916,902,994,983
420,0,0,1008,910,888,987,983
430,0,0,995,909,909,987,1002
440,0,0,998,907,896,987,994
450,0,0,1008,907,891,979,982
460,0,0,994,912,912,975,978
470,0,0,1008,909,909,999,975
480,0,0,1017,907,897,989,989
490,0,0,1008,917,882,997,976
500,0,0,1005,909,891,993,980
510,0,0,1035,907,912,997,985
520,0,0,995,909,887,976,971
530,0,0,1003,904,899,989,976
540,0,0,995,913,894,989,981
550,0,1,1018,901,907,991,981
560,0,2,1003,861,901,983,987
570,0,3,1002,880,906,986,976
580,0,4,1019,880,891,976,991
590,0,5,987,880,880,976,976
600,0,6,1003,820,886,987,988
610,0,7,1003,796,881,993,985
620,0,8,1007,775,895,987,987
630,0,9,999,752,902,987,985
640,0,10,955,719,909,995,975
650,0,11,991,735,886,1047,979
660,0,11,1008,718,880,979,981
670,0,11,983,717,835,1005,1007
680,0,11,986,720,874,977,977
690,0,11,991,691,880,973,982
700,0,11,978,704,879,988,980
710,0,10,981,706,879,986,977
720,0,9,997,704,881,1001,975
730,0,8,988,705,862,979,977
740,0,7,971,693,854,976,976
750,0,6,991,743,871,976,989
760,0,5,976,695,878,990,976
770,0,5,990,699,875,982,981
780,0,5,989,675,869,989,996
790,0,4,989,675,871,987,976
800,0,3,982,689,892,997,976
810,0,2,981,685,834,992,978
820,0,1,976,689,865,975,986
830,0,0,999,694,881,995,971
840,0,0,985,688,868,978,979
850,0,0,995,687,858,987,989
860,0,0,990,685,868,976,976
870,0,0,1001,683,889,977,982
880,0,0,991,686,876,991,960
890,0,0,986,688,878,982,977
900,0,0,995,708,891,976,982
910,0,0,982,702,891,982,979
920,0,0,993,692,858,995,976
930,0,0,991,720,865,979,983
940,0,0,982,696,869,976,981
950,0,0,989,690,867,987,978
960,0,0,995,695,870,989,979
970,0,0,1003,700,866,997,979
980,0,0,1008,702,883,976,975
990,0,0,992,694,879,976,999
