timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,4,-6,992,711,866,983,982
10,8,-12,980,717,858,1012,985
20,9,-13,983,716,867,1007,967
30,11,-15,993,711,859,989,991
40,13,-17,988,709,853,995,977
50,14,-18,986,725,886,983,983
60,15,-19,977,735,862,982,995
70,17,-21,977,735,863,979,979
80,19,-23,994,768,864,979,975
90,20,-24,1000,784,884,976,976
100,22,-25,989,766,874,967,976
110,23,-25,990,813,894,991,976
120,24,-25,991,765,880,994,976
130,25,-25,982,843,907,978,969
140,26,-25,999,850,889,987,992
150,26,-25,989,862,887,997,991
160,26,-25,1005,867,890,982,979
170,26,-25,1022,893,896,977,976
180,26,-25,992,883,898,986,979
190,25,-25,995,885,896,990,979
200,24,-25,985,896,909,974,991
210,23,-25,990,885,915,981,985
220,22,-25,1002,895,895,987,984
230,21,-25,1031,912,899,980,982
240,20,-25,995,907,912,977,979
250,19,-25,1008,921,895,984,978
260,17,-24,1023,911,906,981,974
270,15,-23,1015,911,905,984,980
280,13,-21,1015,903,937,999,973
290,11,-19,1006,901,905,990,997
300,9,-17,1030,928,884,974,976
310,7,-14,1022,910,927,983,976
320,5,-11,1008,913,886,975,977
330,4,-8,1021,912,906,977,983
340,3,-6,1010,885,930,960,987
350,2,-4,1011,921,902,987,983
360,1,-2,1040,929,876,976,988
370,0,0,1013,911,903,994,977
380,0,1,1002,926,902,977,977
390,0,2,1008,900,901,983,1006
400,-1,4,1007,931,886,990,978
410,-2,6,1011,914,898,974,976
420,-3,9,998,899,907,975,977
430,-4,13,992,918,896,974,976
440,-5,17,996,893,890,988,975
450,-5,21,1005,911,876,978,979
460,-5,24,944,886,891,992,990
470,-5,26,996,867,881,976,973
480,-5,28,990,832,891,979,978
490,-4,29,997,787,878,993,992
500,-3,29,979,737,870,973,979
510,-3,29,977,720,885,976,976
520,-3,29,954,706,894,1001,982
530,-3,28,992,666,886,960,983
540,-3,27,983,656,869,991,979
550,-3,26,944,673,873,916,981
560,-3,25,989,663,864,985,976
570,-3,24,993,663,875,977,992
580,-4,22,974,687,868,973,985
590,-5,20,981,672,878,976,978
600,-6,18,981,669,857,974,987
610,-7,16,990,669,871,979,976
620,-8,14,976,669,871,980,991
630,-8,13,986,675,858,975,967
640,-9,11,978,683,869,985,973
650,-9,10,999,684,865,976,999
660,-9,9,970,678,884,976,978
670,-9,7,1006,686,877,977,980
680,-9,5,970,683,849,997,989
690,-9,4,980,674,865,978,985
700,-9,3,981,687,863,977,977
710,-10,2,982,690,905,1041,982
720,-11,2,989,683,853,973,982
730,-12,2,998,719,896,981,963
740,-13,2,987,688,875,977,976
750,-14,2,979,681,870,987,985
760,-15,2,979,706,877,965,960
770,-16,1,981,687,860,976,976
780,-16,0,993,697,868,981,975
790,-16,0,999,723,863,959,976
800,-16,0,980,715,848,969,978
810,-16,0,990,710,880,987,987
820,-16,0,993,689,867,978,976
830,-16,0,971,694,885,983,978
840,-16,0,990,695,869,977,976
850,-16,0,990,693,858,981,977
860,-16,0,972,688,878,976,976
870,-15,0,976,729,874,1002,978
880,-14,0,989,689,863,977,977
890,-13,0,989,690,863,994,987
900,-12,0,978,710,874,988,976
910,-11,0,944,689,815,976,1034
920,-10,0,979,695,875,997,951
930,-9,0,978,689,873,977,978
940,-8,0,938,683,865,982,960
950,-7,0,983,700,875,976,982
960,-6,0,997,693,868,977,979
970,-5,0,993,707,841,969,975
980,-4,0,1002,688,868,983,981
990,-3,0,978,705,860,983,983
