timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-4,986,750,878,980,982
10,0,-8,985,723,869,976,976
20,0,-11,994,784,863,976,976
30,0,-13,976,725,870,957,976
40,0,-15,953,752,880,977,991
50,0,-17,972,741,901,976,981
60,0,-18,981,752,881,976,981
70,0,-18,1003,751,876,973,976
80,0,-18,976,755,864,981,998
90,0,-18,978,737,879,976,978
100,1,-18,1010,769,885,1046,988
110,2,-17,979,768,875,994,964
120,3,-16,1007,752,881,981,976
130,4,-15,997,779,880,974,965
140,5,-14,981,766,893,976,973
150,6,-13,976,768,868,987,982
160,7,-12,997,771,875,947,977
170,8,-11,976,750,894,977,990
180,9,-10,991,720,862,982,979
190,10,-9,983,763,867,969,995
200,11,-8,983,759,880,981,976
210,12,-8,985,757,876,999,989
220,13,-8,982,763,880,973,979
230,14,-8,982,755,859,981,976
240,15,-8,975,756,851,976,941
250,16,-8,983,765,883,982,991
260,16,-8,976,797,894,989,983
270,16,-8,976,768,885,976,976
280,16,-8,976,779,877,979,976
290,16,-8,985,784,878,982,988
300,16,-8,987,786,886,986,979
310,16,-9,995,721,886,976,965
320,16,-10,978,816,879,982,978
330,15,-12,979,829,885,977,981
340,14,-14,983,827,898,987,993
350,13,-16,982,827,896,973,985
360,12,-17,981,838,867,983,981
370,11,-18,978,840,885,983,987
380,10,-19,977,842,880,999,980
390,9,-18,975,848,877,974,977
400,8,-16,979,846,887,978,979
410,7,-14,983,859,900,979,989
420,6,-12,977,829,898,987,977
430,5,-10,982,848,890,1008,981
440,4,-8,979,875,905,988,976
450,3,-7,981,855,899,969,985
460,2,-6,983,853,894,969,971
470,1,-5,997,848,879,974,993
480,0,-4,996,867,887,998,987
490,0,-3,991,838,879,985,977
500,-1,-2,976,885,893,982,983
510,-2,0,986,850,880,977,981
520,-3,1,1001,838,886,979,978
530,-5,3,994,855,896,973,986
540,-7,5,979,855,894,982,990
550,-8,7,979,845,890,997,974
560,-9,9,986,826,903,982,980
570,-10,11,999,830,877,975,983
580,-11,13,978,803,895,1002,973
590,-12,15,989,791,878,988,977
600,-13,16,982,761,894,967,982
610,-13,17,982,723,903,994,986
620,-13,17,981,736,885,976,983
630,-13,17,988,721,903,983,978
640,-13,17,995,721,889,983,979
650,-13,17,992,725,902,983,988
660,-13,16,976,693,870,982,976
670,-13,15,995,721,880,978,978
680,-13,14,989,726,835,979,986
690,-12,13,980,735,895,997,981
700,-10,13,999,715,884,978,976
710,-8,13,977,730,875,972,985
720,-6,13,979,709,880,998,979
730,-5,12,1003,718,891,984,939
740,-4,11,985,724,895,976,986
750,-3,10,976,721,890,991,992
760,-2,9,986,727,878,983,977
770,-2,8,976,727,895,980,986
780,-1,7,992,707,874,987,979
790,0,6,982,706,903,997,983
800,0,5,983,721,880,977,991
810,0,4,980,723,871,982,974
820,0,3,977,720,874,981,969
830,0,2,976,719,880,979,976
840,0,2,976,688,894,960,983
850,0,2,991,719,880,976,979
860,0,2,978,714,899,983,976
870,0,2,989,714,886,984,945
880,0,2,989,722,880,995,977
890,0,2,986,739,880,982,983
900,0,2,990,746,880,1035,979
910,0,2,979,720,891,986,990
920,0,2,990,702,901,978,976
930,0,2,985,736,867,979,976
940,0,2,988,719,880,978,985
950,0,2,983,732,913,990,990
960,0,2,991,721,874,983,990
970,0,2,980,727,881,997,976
980,0,2,978,741,892,1013,979
990,0,2,976,758,880,981,976
