timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-3,985,693,870,976,980
10,0,-6,999,711,827,995,977
20,0,-9,996,706,877,985,981
30,0,-11,1015,700,852,982,978
40,0,-12,979,717,859,982,982
50,0,-13,989,705,868,966,978
60,0,-14,996,730,851,971,978
70,0,-14,995,720,863,999,978
80,0,-14,976,718,869,969,981
90,0,-14,975,739,870,990,982
100,0,-13,983,748,870,980,987
110,0,-12,1001,751,874,981,981
120,0,-11,979,752,880,985,981
130,0,-10,967,763,872,985,986
140,0,-9,990,783,871,989,986
150,0,-8,980,794,873,988,987
160,0,-7,992,802,880,982,976
170,0,-7,981,784,869,996,979
180,0,-7,988,817,879,970,979
190,0,-7,1050,830,871,976,978
200,0,-7,987,832,882,961,981
210,0,-7,982,838,871,978,977
220,0,-7,999,884,869,995,994
230,0,-7,993,842,890,967,992
240,0,-7,993,854,885,978,981
250,0,-7,987,880,895,1005,976
260,0,-7,990,866,885,976,976
270,0,-7,1006,881,894,979,985
280,0,-7,990,889,895,991,987
290,0,-7,994,879,905,978,983
300,0,-7,1001,885,885,1008,999
310,0,-8,976,833,921,987,978
320,0,-9,990,877,880,982,977
330,0,-9,993,906,908,985,979
340,0,-8,998,881,902,982,978
350,0,-7,1008,896,893,976,977
360,0,-7,987,899,908,976,991
370,0,-6,1065,896,898,967,976
380,0,-5,1007,909,898,977,967
390,0,-4,993,895,899,976,978
400,0,-3,976,887,880,977,999
410,0,-2,1003,887,912,985,978
420,0,-2,991,896,903,988,983
430,0,-2,997,896,896,972,977
440,0,-2,1006,903,913,976,978
450,0,-2,994,901,916,973,979
460,0,-2,997,903,941,976,990
470,0,-2,1004,883,911,986,989
480,0,-2,1013,877,919,969,987
490,0,-2,1008,887,883,969,987
500,0,-2,985,896,918,983,982
510,0,-2,987,924,917,989,983
520,0,-2,983,896,918,993,976
530,0,-1,992,896,912,985,985
540,0,0,995,885,911,977,976
550,0,1,983,884,906,978,977
560,0,3,974,860,906,975,983
570,0,5,1003,859,888,969,972
580,0,8,980,829,880,988,976
590,0,11,986,782,884,976,983
600,0,14,991,758,878,991,983
610,0,16,993,726,899,971,976
620,0,18,978,698,880,988,979
630,0,19,976,672,879,999,987
640,0,20,963,657,864,1001,981
650,0,21,993,631,869,959,974
660,0,21,976,656,854,971,980
670,0,20,1003,622,863,1006,981
680,0,19,982,646,857,972,976
690,0,18,993,656,848,981,976
700,0,17,1005,655,858,987,979
710,0,16,996,675,862,981,983
720,0,15,966,659,826,1008,989
730,0,14,987,656,860,981,985
740,0,12,976,656,847,973,977
750,0,10,991,666,816,983,976
760,0,8,1002,661,854,973,973
770,0,7,998,651,855,972,975
780,0,6,1008,656,848,981,983
790,0,5,974,688,855,976,986
800,0,4,989,656,845,979,1001
810,0,3,988,667,852,989,978
820,0,2,988,647,848,987,974
830,0,1,983,672,848,976,1043
840,0,0,987,661,863,993,989
850,0,0,986,678,848,979,996
860,0,0,976,673,845,976,977
870,0,0,989,682,848,975,981
880,0,0,987,688,831,995,973
890,0,0,983,673,857,977,978
900,0,0,1008,670,845,971,975
910,0,0,991,687,850,990,976
920,0,0,1003,662,848,976,986
930,0,0,1012,647,853,982,987
940,0,0,981,673,855,963,980
950,0,0,981,684,850,985,978
960,0,0,984,669,871,979,989
970,0,0,978,667,843,975,976
980,0,0,943,661,843,969,972
990,0,0,983,692,850,976,976
