timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,0,1009,768,902,983,974
10,0,-2,1008,752,902,994,983
20,0,-3,999,782,880,982,981
30,0,-4,989,765,887,976,981
40,0,-5,986,775,848,982,976
50,0,-5,991,777,880,986,981
60,0,-5,959,773,882,984,966
70,0,-5,992,802,891,976,992
80,0,-5,986,793,879,982,981
90,0,-5,1019,769,869,995,956
100,0,-5,987,758,881,994,971
110,0,-5,974,795,889,983,989
120,0,-5,986,791,881,967,979
130,0,-5,1008,768,896,983,976
140,0,-4,994,769,865,989,976
150,0,-3,998,774,895,976,985
160,0,-2,987,773,913,978,982
170,0,-1,1010,781,854,989,979
180,0,-1,994,791,885,986,985
190,0,-1,991,801,898,990,977
200,0,-1,993,788,880,1014,999
210,0,-1,998,827,894,994,977
220,0,-1,1011,848,902,979,985
230,0,-1,1006,849,882,979,984
240,0,-1,976,849,890,975,984
250,0,-2,1002,880,899,1009,1003
260,0,-2,983,878,887,990,986
270,0,-3,1005,900,915,994,981
280,0,-4,1006,891,858,985,985
290,0,-5,1008,902,891,986,987
300,0,-6,1007,876,906,999,976
310,0,-7,1004,903,879,979,989
320,0,-6,998,898,906,977,990
330,0,-5,1011,907,896,985,982
340,0,-4,997,913,911,999,983
350,0,-3,997,906,909,976,991
360,0,-2,1007,906,913,1009,975
370,0,-1,998,916,903,991,982
380,0,0,973,902,924,966,995
390,0,0,1008,923,903,986,984
400,0,0,1041,897,905,982,988
410,0,0,1003,897,883,973,973
420,0,0,1014,896,910,976,993
430,0,0,1001,912,910,981,989
440,0,0,1007,925,901,991,963
450,0,0,1003,909,898,983,977
460,0,0,1008,901,899,994,975
470,0,0,1006,899,912,986,982
480,0,1,1003,912,908,980,1009
490,0,2,1006,914,895,974,977
500,0,3,1008,907,900,983,986
510,0,4,1008,884,909,995,963
520,0,5,993,890,893,992,1003
530,0,6,999,867,878,986,986
540,0,7,1001,843,899,993,986
550,0,8,998,829,891,986,979
560,0,9,1002,802,897,983,977
570,0,9,1011,778,909,995,981
580,0,9,1009,754,870,991,976
590,0,9,982,748,882,994,977
600,0,9,985,727,891,971,979
610,0,8,995,731,878,974,976
620,0,7,1002,714,883,988,969
630,0,6,1003,733,883,994,979
640,0,5,998,736,909,975,975
650,0,4,976,704,907,991,987
660,0,4,984,701,883,992,981
670,0,4,1021,729,899,978,976
680,0,3,999,723,895,986,989
690,0,2,992,715,891,997,977
700,0,1,993,723,922,1003,982
710,0,0,987,726,881,983,988
720,0,0,992,734,912,976,989
730,0,0,992,708,887,983,979
740,0,0,1005,713,887,990,983
750,0,0,999,714,889,993,983
760,0,0,1008,720,880,979,979
770,0,0,992,720,880,976,985
780,0,0,988,750,877,982,989
790,0,0,982,720,882,1007,976
800,0,0,989,715,886,991,1004
810,0,0,999,675,880,984,976
820,0,0,993,711,885,987,982
830,0,0,1008,724,880,975,958
840,0,0,991,741,883,991,981
850,0,0,992,715,880,998,993
860,0,0,1005,698,897,976,986
870,0,0,996,719,885,976,985
880,0,0,1013,714,906,990,1021
890,0,0,991,722,923,996,980
900,0,0,998,743,883,998,974
910,0,0,985,715,845,989,973
920,0,0,987,720,886,985,976
930,0,0,1003,718,882,986,981
940,0,0,1003,743,896,985,981
950,0,0,1001,755,887,987,976
960,0,0,993,733,843,1003,989
970,0,0,997,721,899,977,983
980,0,0,1017,724,871,967,979
990,0,0,998,730,925,995,970
