timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,1,976,697,845,955,977
10,1,-2,1002,690,852,978,976
20,1,-3,990,688,843,982,974
30,1,-3,1039,694,821,990,979
40,1,-3,982,688,851,971,977
50,1,-3,991,682,837,971,978
60,1,-3,995,695,833,1005,977
70,1,-3,985,687,849,975,981
80,1,-3,991,688,831,975,978
90,1,-3,992,691,863,990,972
100,1,-3,1017,693,848,986,982
110,1,-2,971,688,848,976,997
120,1,-1,1029,683,849,983,977
130,1,0,985,704,858,998,976
140,1,0,1008,699,875,971,976
150,0,0,977,704,847,976,980
160,0,0,996,705,841,974,980
170,0,0,1008,707,883,967,969
180,0,0,987,725,858,976,975
190,0,0,994,706,848,987,989
200,0,0,992,720,865,979,976
210,0,0,1005,750,859,971,976
220,0,0,989,735,896,983,983
230,0,0,987,752,875,976,977
240,0,0,1006,765,861,975,993
250,0,0,976,768,878,972,982
260,0,0,997,768,867,973,979
270,0,0,976,789,864,989,990
280,0,0,992,795,880,986,983
290,0,0,982,784,857,973,995
300,0,0,991,817,879,969,982
310,0,0,993,806,880,982,983
320,0,0,959,818,882,987,976
330,0,0,983,816,878,990,978
340,0,0,999,833,890,982,973
350,0,0,1039,819,864,962,976
360,0,0,995,829,885,979,987
370,0,0,1007,835,880,982,983
380,0,0,1004,851,879,944,978
390,0,0,1003,861,897,976,976
400,0,0,1011,859,912,1003,981
410,0,0,1008,849,894,994,981
420,0,-1,986,853,901,996,983
430,0,-2,999,864,902,976,973
440,0,-3,1005,848,906,976,976
450,0,-4,1004,853,975,981,963
460,0,-4,1002,854,898,992,981
470,0,-4,1003,850,911,977,973
480,0,-4,1007,869,893,976,982
490,0,-3,1008,862,906,978,976
500,0,-2,1031,855,885,974,991
510,0,-1,1075,848,859,982,963
520,0,0,1005,869,918,975,986
530,0,0,977,870,901,988,993
540,0,0,1022,865,901,981,978
550,0,0,995,870,930,976,989
560,0,0,976,859,912,987,961
570,0,0,1008,862,894,983,978
580,0,0,999,859,879,969,965
590,0,0,1003,855,896,983,974
600,0,0,1011,874,908,979,982
610,0,0,987,861,890,983,993
620,0,0,1015,854,902,977,979
630,0,0,1002,859,911,978,977
640,0,0,1002,863,906,976,979
650,0,0,992,839,896,977,981
660,0,0,1002,835,897,973,983
670,0,0,1019,797,903,993,976
680,0,1,1001,778,907,974,982
690,0,2,985,766,925,976,982
700,0,3,993,742,894,980,976
710,0,4,988,716,891,986,992
720,0,5,991,688,877,988,970
730,0,5,994,692,885,993,977
740,0,5,982,689,883,981,980
750,0,5,1029,682,850,1004,944
760,0,5,997,688,868,974,970
770,0,5,1019,683,879,1000,1007
780,0,4,987,669,866,995,978
790,0,4,977,667,865,980,977
800,0,4,977,688,880,976,975
810,0,4,1002,673,864,977,977
820,0,4,998,692,857,976,987
830,0,4,998,704,851,971,979
840,0,4,983,677,855,977,989
850,0,4,985,673,849,976,1004
860,0,4,983,686,850,992,987
870,0,4,976,688,855,973,987
880,0,4,979,687,866,988,978
890,0,4,986,674,864,969,977
900,0,4,953,688,858,995,976
910,0,4,1000,688,848,993,986
920,0,4,996,703,846,974,980
930,0,4,977,688,851,982,966
940,0,3,1008,686,833,975,978
950,0,2,995,677,850,973,981
960,0,2,997,693,863,981,980
970,0,1,994,698,861,985,982
980,0,1,946,676,862,976,990
990,0,1,990,672,857,978,945
