timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-1,993,679,859,978,986
10,0,-3,982,670,845,983,978
20,0,-4,976,678,864,975,980
30,0,-5,976,688,876,982,982
40,0,-6,976,689,848,986,979
50,0,-6,985,706,854,979,987
60,0,-6,991,703,871,977,979
70,0,-6,986,703,861,976,981
80,0,-6,992,703,862,978,973
90,0,-6,1001,711,890,970,966
100,0,-6,996,731,880,984,983
110,0,-5,969,748,860,973,976
120,0,-4,983,782,861,976,973
130,0,-3,980,786,881,981,979
140,0,-2,1041,814,880,1008,987
150,0,-1,1015,779,864,973,985
160,0,0,998,815,871,985,1006
170,0,0,991,816,867,917,991
180,0,0,977,817,883,986,975
190,0,0,995,831,811,995,967
200,0,0,994,818,880,1009,993
210,0,0,992,866,873,990,982
220,0,0,1006,876,880,978,976
230,0,0,1015,844,864,971,963
240,0,0,999,854,895,976,975
250,0,0,1006,847,871,994,945
260,0,0,1037,873,899,993,974
270,0,0,1011,880,864,976,967
280,0,0,1013,868,879,983,981
290,0,0,1007,882,895,975,976
300,0,0,1009,879,842,982,988
310,0,0,1033,878,887,990,978
320,0,0,1011,880,880,987,977
330,0,0,982,885,887,986,973
340,0,0,1017,883,885,983,980
350,0,0,1013,884,899,942,979
360,0,0,1035,890,905,981,985
370,0,0,999,912,894,981,976
380,0,-1,1019,896,911,984,956
390,0,-2,1017,912,894,991,981
400,0,-3,1007,912,879,973,986
410,0,-4,1021,923,923,994,980
420,0,-5,1021,910,897,991,987
430,0,-6,1034,902,901,979,966
440,0,-6,1008,898,914,980,976
450,0,-6,1009,891,910,982,977
460,0,-5,1007,890,933,976,997
470,0,-4,1014,903,903,981,983
480,0,-3,1034,921,889,1005,987
490,0,-2,1010,887,859,990,973
500,0,-1,1003,899,897,995,976
510,0,0,1015,907,905,976,976
520,0,0,1001,886,913,980,994
530,0,0,1014,915,907,983,983
540,0,0,1021,874,899,993,995
550,0,0,1005,905,922,986,976
560,0,0,1010,887,907,986,983
570,0,0,1021,901,903,982,980
580,0,0,1031,894,907,983,976
590,0,0,1005,935,903,976,959
600,0,0,1013,923,908,973,976
610,0,0,999,905,894,989,986
620,0,0,1000,906,915,947,986
630,0,0,1018,894,902,998,988
640,0,0,1005,928,880,967,976
650,0,0,1011,896,897,983,986
660,0,1,998,896,896,981,978
670,0,2,1012,880,905,976,958
680,0,3,1007,881,898,998,976
690,0,4,1006,848,921,1005,999
700,0,5,993,832,891,981,974
710,0,6,987,787,893,994,978
720,0,7,992,731,886,1007,948
730,0,7,993,702,890,998,978
740,0,7,989,672,907,982,971
750,0,7,994,667,887,1002,976
760,0,7,991,645,885,970,976
770,0,7,985,623,864,981,999
780,0,7,1002,640,859,976,986
790,0,7,983,635,873,993,976
800,0,7,976,624,863,992,1002
810,0,7,981,641,875,992,976
820,0,7,977,628,863,990,977
830,0,6,935,630,838,976,963
840,0,5,977,629,871,976,976
850,0,4,986,651,877,978,991
860,0,3,978,644,857,976,983
870,0,2,978,649,848,976,981
880,0,1,986,652,855,967,978
890,0,1,987,655,851,981,981
900,0,1,990,656,806,1001,980
910,0,1,976,656,845,944,976
920,0,1,999,633,880,976,988
930,0,1,971,643,878,988,976
940,0,1,993,645,868,976,985
950,0,0,976,650,850,985,981
960,0,0,979,667,847,986,975
970,0,0,971,640,852,997,974
980,0,0,956,646,867,979,978
990,0,0,982,651,848,974,976
