timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-2,978,691,843,960,982
10,0,-5,976,692,858,976,976
20,0,-6,978,681,861,969,985
30,0,-7,973,701,858,983,975
40,0,-8,991,694,853,966,979
50,0,-9,919,704,807,946,981
60,0,-9,1000,706,855,971,972
70,0,-9,997,726,855,982,985
80,0,-9,977,676,858,975,978
90,0,-9,987,722,853,965,979
100,0,-9,975,752,863,965,978
110,0,-8,989,753,867,979,1005
120,0,-7,982,765,848,971,976
130,0,-6,993,784,880,977,990
140,0,-5,985,791,863,967,976
150,0,-4,1005,784,880,997,983
160,0,-4,991,799,880,978,979
170,0,-4,986,794,880,976,991
180,0,-4,993,819,903,972,978
190,0,-4,998,832,878,976,985
200,0,-4,986,837,887,965,975
210,0,-4,971,833,890,977,981
220,0,-4,1004,835,895,959,983
230,0,-4,969,833,890,961,981
240,0,-4,1005,835,891,974,964
250,0,-4,992,837,898,975,976
260,0,-4,994,849,884,969,981
270,0,-4,1008,863,896,982,972
280,0,-4,994,842,899,973,987
290,0,-4,976,849,922,934,990
300,0,-5,993,857,887,994,982
310,0,-5,999,866,899,966,976
320,0,-5,997,859,912,974,979
330,0,-5,990,875,903,970,977
340,0,-5,979,871,891,985,994
350,0,-4,994,859,907,976,1003
360,0,-3,992,866,912,983,987
370,0,-2,1008,856,912,976,986
380,0,-1,989,849,911,970,987
390,0,0,966,862,850,973,992
400,0,0,994,848,896,981,991
410,0,0,994,869,902,976,973
420,0,0,998,817,914,977,986
430,0,0,998,862,905,976,983
440,0,0,991,836,882,966,972
450,0,0,993,810,894,969,975
460,0,0,995,869,906,960,979
470,0,0,977,882,896,977,958
480,0,0,994,865,912,974,972
490,0,0,979,863,903,966,986
500,0,0,988,831,897,977,988
510,-1,1,1005,857,896,995,983
520,-1,2,996,837,899,969,1003
530,-1,3,1005,834,898,963,977
540,-1,3,1023,800,889,982,977
550,-1,3,980,753,880,981,982
560,0,3,990,730,878,973,979
570,0,3,985,714,877,981,982
580,0,3,987,679,849,951,989
590,0,3,984,652,880,971,976
600,0,3,977,637,850,993,976
610,0,4,993,641,876,971,982
620,0,5,985,640,853,972,981
630,0,6,980,640,849,987,983
640,0,7,988,644,848,976,971
650,0,8,990,649,836,975,981
660,0,9,986,656,848,967,976
670,0,10,976,638,842,969,979
680,0,10,1002,641,848,970,975
690,0,10,978,646,842,975,979
700,0,10,982,656,842,976,991
710,0,10,993,656,832,971,983
720,0,10,986,639,832,978,976
730,0,9,986,655,837,972,980
740,0,8,977,649,834,973,988
750,0,7,976,657,855,964,992
760,0,6,982,637,848,962,982
770,0,5,976,656,838,976,986
780,0,4,997,668,837,962,977
790,0,3,983,659,832,973,989
800,0,2,976,674,846,975,989
810,0,1,964,669,847,973,976
820,0,0,979,671,834,986,990
830,0,0,976,667,833,976,977
840,0,0,976,669,835,972,981
850,0,0,990,676,846,963,981
860,0,0,966,687,836,969,986
870,0,0,981,697,850,963,976
880,0,0,972,680,865,962,971
890,0,0,991,681,832,967,976
900,0,0,997,681,838,965,975
910,0,0,966,689,819,972,976
920,0,0,979,667,843,985,978
930,0,0,981,676,849,971,975
940,0,0,995,686,857,976,971
950,0,0,986,685,843,983,953
960,0,0,1003,682,832,982,990
970,0,0,976,688,847,976,995
980,0,0,967,684,837,977,976
990,0,0,976,690,838,982,978
