timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-2,986,752,892,975,1003
10,-1,-1,985,720,882,987,975
20,0,-4,955,770,890,987,990
30,0,-5,976,752,895,945,971
40,0,-6,1007,736,885,983,980
50,0,-7,978,736,894,980,977
60,0,-8,995,735,880,976,977
70,0,-9,1013,735,884,985,976
80,0,-9,978,741,889,995,977
90,0,-9,973,742,890,994,983
100,0,-9,994,752,884,1003,989
110,0,-8,995,753,865,976,978
120,0,-7,986,747,886,969,976
130,0,-6,984,752,869,995,982
140,0,-5,992,752,877,990,979
150,0,-4,953,774,901,970,976
160,0,-3,1009,778,872,983,977
170,0,-2,977,774,881,991,976
180,0,-1,991,784,866,1001,1001
190,0,-1,977,786,881,995,978
200,0,-1,994,807,896,978,994
210,0,-1,989,843,899,995,986
220,0,-1,1018,814,890,992,989
230,0,-1,974,829,903,977,979
240,0,-2,1003,830,878,995,981
250,0,-3,1006,829,900,979,976
260,0,-4,1001,848,880,986,976
270,0,-6,999,863,890,983,981
280,1,-8,1003,866,891,989,981
290,2,-10,1009,839,893,989,979
300,2,-10,995,874,899,981,991
310,2,-9,1008,851,902,974,992
320,2,-8,1018,863,899,1005,977
330,2,-6,991,864,896,980,975
340,1,-4,998,852,900,986,978
350,0,-2,997,865,897,976,976
360,0,0,1002,858,923,982,954
370,0,0,999,860,892,985,951
380,0,0,995,880,899,992,983
390,0,0,1006,864,927,970,994
400,0,0,987,851,903,976,981
410,0,0,967,867,894,982,976
420,0,0,995,873,901,1017,985
430,0,0,1008,882,893,991,977
440,0,0,1000,854,897,988,979
450,0,0,1005,861,885,989,983
460,0,0,995,875,909,967,985
470,0,0,983,902,894,979,960
480,0,0,983,848,898,979,981
490,0,0,1008,854,907,978,980
500,0,0,985,850,896,983,994
510,0,0,993,844,895,986,973
520,0,1,999,817,894,999,999
530,0,2,992,797,897,994,978
540,0,3,1009,785,884,992,980
550,0,4,980,778,918,991,989
560,0,5,999,761,895,977,979
570,0,6,991,751,887,977,976
580,0,6,989,752,893,984,989
590,0,6,996,736,891,985,994
600,0,6,1039,755,863,995,958
610,0,6,995,735,880,988,981
620,0,6,980,742,832,1001,991
630,0,6,991,737,858,1002,998
640,0,6,976,746,880,990,978
650,0,6,983,752,890,973,973
660,0,5,989,712,912,998,989
670,0,4,993,741,870,971,976
680,0,3,991,751,876,980,979
690,0,2,998,720,880,998,979
700,0,1,992,709,892,976,976
710,0,0,995,765,890,983,969
720,0,0,994,727,896,998,981
730,0,0,987,729,895,962,986
740,0,0,986,726,892,958,991
750,0,0,986,744,894,989,977
760,0,0,990,729,896,979,977
770,0,0,987,741,892,996,976
780,0,0,997,720,887,983,989
790,0,0,994,724,905,992,983
800,0,0,982,730,899,991,986
810,0,0,1003,731,875,990,975
820,0,0,986,734,881,983,986
830,0,0,991,745,883,981,986
840,0,0,1003,755,901,963,978
850,0,0,990,746,907,976,988
860,0,0,997,768,845,1028,977
870,0,0,1007,690,867,989,987
880,0,0,988,735,893,986,981
890,0,0,987,737,912,988,965
900,0,0,1002,738,880,978,979
910,0,0,990,732,897,983,976
920,0,0,991,727,898,976,986
930,0,0,985,739,895,977,981
940,0,0,994,765,894,989,988
950,0,0,988,726,886,984,989
960,0,0,976,722,891,985,976
970,0,0,976,734,884,975,984
980,0,0,998,741,877,977,987
990,0,0,995,739,870,976,971
