timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,11,0,994,727,886,977,981
10,11,-3,982,667,889,1008,984
20,10,-4,982,704,904,983,976
30,10,-4,990,740,879,986,973
40,10,-4,995,692,882,975,976
50,10,-4,979,741,875,990,979
60,10,-4,981,739,880,977,979
70,10,-4,992,726,863,996,986
80,10,-4,990,736,879,987,989
90,10,-4,1019,739,866,982,963
100,10,-4,984,725,885,980,979
110,10,-4,986,738,880,979,982
120,10,-4,987,735,892,1003,957
130,10,-4,992,732,880,976,983
140,10,-4,985,738,880,999,983
150,10,-5,997,752,879,976,977
160,10,-6,990,747,874,979,983
170,10,-6,980,723,878,1002,1017
180,10,-6,991,754,880,1010,976
190,10,-6,983,752,873,990,985
200,10,-6,988,767,887,976,998
210,10,-6,994,767,897,973,974
220,10,-6,980,787,882,983,976
230,10,-6,993,817,896,987,982
240,10,-6,987,802,898,978,976
250,10,-6,994,827,910,1008,971
260,10,-6,1008,845,897,975,976
270,10,-6,1002,838,882,963,989
280,10,-6,993,851,894,978,979
290,10,-6,983,865,881,992,979
300,10,-7,977,906,922,978,990
310,10,-7,988,863,893,990,987
320,9,-6,1001,892,929,988,983
330,8,-4,976,879,902,991,993
340,6,-2,993,880,903,991,979
350,5,0,993,870,919,992,989
360,4,2,994,872,939,993,978
370,3,4,1001,878,917,987,980
380,2,5,998,906,912,997,959
390,2,5,998,876,909,982,989
400,2,4,1001,874,909,976,977
410,2,3,999,963,914,975,970
420,2,2,999,883,919,980,981
430,2,1,995,880,903,977,982
440,1,1,1002,857,907,989,985
450,1,1,997,897,917,983,980
460,1,1,977,898,915,987,987
470,1,1,989,875,901,986,977
480,0,2,978,866,903,986,976
490,0,3,987,891,905,976,1008
500,0,4,1003,859,901,974,983
510,0,4,1002,848,911,978,976
520,0,4,993,847,891,983,976
530,0,5,1001,842,883,976,975
540,0,5,1008,829,880,984,977
550,0,5,995,784,897,989,976
560,0,5,990,777,905,976,1012
570,0,5,998,770,864,990,977
580,0,5,994,757,891,985,979
590,0,4,995,733,899,981,980
600,0,3,977,735,893,981,977
610,0,2,979,726,878,997,976
620,0,1,987,766,880,1005,976
630,0,0,979,726,880,981,982
640,0,0,989,743,886,991,977
650,0,0,987,720,863,977,983
660,0,0,983,730,897,1000,977
670,0,0,990,717,895,978,994
680,0,0,1007,729,887,1001,982
690,0,0,989,720,891,985,978
700,0,0,1005,724,903,979,983
710,0,0,986,720,876,990,976
720,0,0,1000,713,877,998,979
730,0,0,983,720,881,996,976
740,0,0,991,720,884,975,981
750,0,0,947,629,895,988,981
760,0,0,1005,721,892,986,978
770,0,0,1011,731,896,975,976
780,0,0,975,742,908,983,1006
790,0,0,983,721,892,971,982
800,0,0,1007,717,895,977,976
810,0,0,994,691,879,996,976
820,0,0,985,723,892,975,985
830,0,0,1015,717,912,978,992
840,0,0,998,737,903,967,981
850,0,0,976,720,880,975,976
860,0,0,1006,720,910,982,986
870,0,0,987,732,874,982,976
880,0,0,1002,740,861,992,976
890,0,0,985,704,876,981,978
900,0,0,1071,729,887,983,977
910,0,0,992,733,912,977,993
920,0,0,979,727,880,990,988
930,0,0,995,752,896,997,977
940,0,0,997,726,879,976,976
950,0,0,987,726,881,974,981
960,0,0,987,721,887,994,976
970,0,0,989,683,887,986,975
980,0,0,997,745,899,985,989
990,0,0,1005,720,892,960,983
