timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-3,975,705,855,963,981
10,0,-6,976,723,848,976,986
20,0,-8,976,722,833,933,987
30,0,-9,992,720,841,976,974
40,0,-10,981,718,845,994,975
50,0,-11,987,704,843,967,980
60,0,-11,995,743,871,978,983
70,0,-12,978,739,875,965,976
80,0,-13,1005,732,866,974,976
90,0,-13,976,752,861,1006,979
100,0,-14,988,750,849,978,976
110,0,-14,1056,777,845,975,988
120,0,-14,985,793,858,949,985
130,0,-13,981,816,858,978,983
140,0,-12,982,784,852,963,993
150,0,-11,979,780,897,999,984
160,0,-10,976,822,865,980,981
170,0,-9,999,842,897,962,979
180,0,-8,1002,847,891,981,981
190,0,-7,982,863,875,991,975
200,0,-6,976,874,879,970,985
210,0,-6,976,879,887,967,978
220,0,-6,996,879,880,987,977
230,0,-6,987,878,881,985,978
240,0,-6,983,901,906,976,976
250,0,-6,1001,883,925,993,977
260,0,-6,987,888,914,986,993
270,0,-6,992,896,880,986,1005
280,0,-6,994,891,926,978,987
290,0,-6,981,894,889,982,988
300,0,-6,1004,907,907,944,977
310,0,-5,976,907,892,982,980
320,0,-4,1007,923,907,976,979
330,0,-3,991,933,895,961,997
340,0,-2,993,897,917,976,979
350,0,-1,972,863,861,982,976
360,0,0,986,910,899,1002,983
370,0,0,994,889,890,996,980
380,0,0,1003,920,941,976,978
390,0,0,1009,892,899,957,985
400,0,0,1008,917,910,974,987
410,0,0,983,870,933,994,984
420,0,-1,997,909,897,981,979
430,0,-2,999,899,911,999,993
440,0,-2,992,896,944,979,973
450,0,-2,986,893,901,988,983
460,0,-2,946,886,896,997,992
470,0,-2,991,913,893,977,976
480,0,-1,983,895,909,980,979
490,0,0,990,889,895,983,979
500,0,1,993,894,909,982,975
510,0,2,978,885,900,978,976
520,0,3,976,870,892,969,983
530,0,4,974,831,894,999,991
540,0,5,993,803,907,976,977
550,0,7,976,756,879,971,987
560,0,8,994,752,880,976,976
570,0,9,990,752,865,974,979
580,0,10,990,698,880,990,973
590,0,11,963,698,859,955,990
600,0,12,978,688,849,971,979
610,0,12,988,657,858,970,976
620,0,12,985,684,869,976,979
630,0,12,972,689,867,981,979
640,0,12,982,662,845,991,982
650,0,11,981,675,845,973,983
660,0,10,978,665,873,979,987
670,0,9,966,685,862,930,966
680,0,8,985,675,848,976,976
690,0,8,977,667,833,977,978
700,0,7,989,674,842,983,981
710,0,6,998,663,848,987,979
720,0,5,970,688,829,981,976
730,0,4,975,689,845,974,992
740,0,3,990,698,861,986,976
750,0,2,993,690,863,977,985
760,0,1,990,672,834,978,981
770,0,0,1003,680,835,963,981
780,0,0,976,683,848,994,985
790,0,0,979,692,842,989,971
800,0,0,994,671,835,983,979
810,0,0,981,688,850,991,979
820,0,0,980,693,844,981,981
830,0,0,963,703,830,1001,980
840,0,0,979,682,842,994,982
850,0,0,982,682,839,962,972
860,0,0,994,702,866,1020,986
870,0,0,986,693,853,994,977
880,0,0,991,701,851,955,983
890,0,0,995,686,839,1008,976
900,0,0,987,698,848,971,993
910,0,0,979,701,816,976,976
920,0,0,980,704,845,976,976
930,0,0,982,691,859,971,991
940,0,0,976,695,846,969,983
950,0,0,973,698,855,966,976
960,0,0,1019,714,821,961,969
970,0,0,977,693,846,970,978
980,0,0,976,702,848,974,988
990,0,0,995,703,813,976,941
