timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-2,977,775,880,982,981
10,0,-5,938,785,880,993,976
20,0,-7,969,767,887,1007,979
30,0,-8,957,791,891,997,977
40,0,-9,976,783,881,992,976
50,0,-10,963,800,885,986,971
60,0,-11,971,787,890,987,989
70,0,-11,997,800,885,983,991
80,0,-11,961,816,873,990,976
90,0,-11,951,827,876,980,982
100,0,-11,959,850,874,976,975
110,0,-10,960,861,873,976,975
120,0,-9,971,859,862,979,970
130,0,-8,962,859,880,977,979
140,0,-7,975,885,887,998,985
150,0,-6,959,874,896,994,987
160,0,-5,967,896,886,987,977
170,0,-4,961,880,886,977,997
180,0,-4,961,902,880,981,985
190,0,-4,972,908,891,988,986
200,0,-4,977,912,902,976,979
210,0,-4,959,912,895,982,980
220,0,-5,975,926,906,976,978
230,0,-6,1005,912,879,976,986
240,0,-7,976,925,897,979,984
250,0,-8,976,911,894,982,999
260,0,-8,987,905,902,975,983
270,0,-7,974,915,911,976,976
280,0,-6,966,981,930,976,962
290,0,-5,971,945,901,963,983
300,0,-4,973,915,897,990,973
310,0,-3,976,920,896,976,985
320,0,-2,974,912,907,983,979
330,0,-1,932,935,908,996,999
340,0,0,977,908,892,975,977
350,0,0,976,909,903,983,976
360,0,0,974,896,912,983,979
370,0,0,980,919,887,976,978
380,0,0,979,927,915,977,978
390,0,0,977,934,908,982,984
400,0,0,981,921,903,979,977
410,0,0,954,928,903,978,990
420,0,0,983,915,899,977,976
430,0,0,983,915,888,978,979
440,0,1,962,910,906,996,976
450,0,2,987,899,914,976,979
460,0,3,982,921,917,990,978
470,0,4,980,896,889,991,977
480,0,5,960,880,886,987,979
490,0,7,979,875,893,1001,977
500,0,9,976,839,895,977,980
510,0,10,977,834,892,985,980
520,0,11,978,809,886,976,986
530,0,12,973,755,891,976,993
540,0,13,975,774,889,983,980
550,0,14,980,720,896,989,981
560,0,14,998,774,880,975,987
570,0,14,998,759,878,977,986
580,0,14,960,742,878,985,981
590,0,13,989,757,875,970,987
600,0,12,983,709,895,983,976
610,0,10,970,749,880,989,976
620,0,8,926,754,885,965,955
630,0,7,981,735,886,972,990
640,0,6,991,746,882,976,979
650,0,5,979,752,876,995,979
660,0,4,980,749,880,994,991
670,0,3,967,747,880,981,976
680,0,2,971,749,890,977,982
690,0,2,983,740,874,977,981
700,0,1,985,741,880,976,985
710,0,0,976,784,874,991,978
720,0,0,976,742,896,979,975
730,0,0,967,750,871,990,987
740,0,0,979,739,876,986,977
750,0,0,982,755,889,977,988
760,0,0,964,690,877,992,980
770,0,0,982,753,886,991,978
780,0,0,960,746,862,989,976
790,0,0,967,735,880,977,983
800,0,0,980,743,880,981,975
810,0,0,954,745,875,992,982
820,0,0,975,737,880,976,994
830,0,0,977,746,873,989,982
840,0,0,976,760,867,990,976
850,0,0,976,754,880,994,989
860,0,0,976,777,877,976,995
870,0,0,973,763,880,976,977
880,0,0,976,752,866,979,976
890,0,0,982,748,877,990,976
900,0,0,985,739,889,974,979
910,0,0,976,757,887,976,982
920,0,0,978,752,876,987,976
930,0,0,981,754,871,986,974
940,0,0,976,752,870,1001,947
950,0,0,979,745,870,986,977
960,0,0,989,765,869,983,980
970,0,0,976,752,880,978,986
980,0,0,971,750,873,976,973
990,0,0,979,770,881,973,977
