timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,-1,-5,1017,784,912,965,977
10,-4,-9,994,770,864,999,976
20,-2,-13,983,784,881,1002,979
30,0,-16,978,762,880,975,978
40,0,-17,977,784,878,987,982
50,0,-19,977,789,880,969,977
60,0,-21,994,783,879,998,990
70,0,-22,979,785,878,992,976
80,0,-23,984,775,880,990,991
90,0,-24,994,794,880,987,997
100,-1,-25,970,802,878,981,961
110,-2,-25,982,821,876,1009,981
120,-2,-25,978,786,864,989,977
130,-2,-25,992,800,833,979,980
140,-2,-25,990,815,885,987,978
150,-2,-25,981,814,890,998,977
160,-2,-25,980,827,866,976,982
170,-2,-24,976,826,887,999,976
180,-2,-23,993,858,896,987,983
190,-2,-23,976,842,886,987,986
200,-2,-23,973,838,882,987,981
210,-2,-24,995,865,880,994,977
220,-2,-25,976,861,891,980,989
230,-2,-26,978,864,889,979,977
240,-2,-28,979,873,891,974,985
250,-2,-30,987,894,908,999,987
260,-2,-31,986,831,915,991,991
270,-2,-32,991,882,902,981,979
280,-2,-33,986,894,907,1006,982
290,-2,-32,992,906,910,976,1004
300,-3,-30,984,898,912,995,993
310,-4,-28,995,894,835,1008,982
320,-5,-26,989,896,906,950,969
330,-6,-24,982,884,896,986,985
340,-7,-21,989,883,914,991,976
350,-8,-18,989,898,905,1007,981
360,-9,-16,996,895,918,982,985
370,-9,-14,969,886,912,979,980
380,-9,-13,989,912,909,997,976
390,-9,-12,994,893,909,996,994
400,-8,-11,980,897,915,965,984
410,-7,-9,983,901,902,991,982
420,-6,-7,981,896,887,983,985
430,-5,-5,990,899,915,986,984
440,-4,-2,996,882,916,981,976
450,-4,1,1003,886,897,992,989
460,-4,6,979,903,912,980,985
470,-5,11,981,867,907,1008,999
480,-5,16,997,881,891,1002,979
490,-4,19,983,864,882,978,991
500,-3,21,970,833,887,981,989
510,-2,23,992,820,880,993,980
520,-1,24,970,788,869,992,976
530,-1,24,981,784,868,975,981
540,-1,23,991,762,876,978,978
550,-1,21,976,743,880,979,993
560,-1,18,979,730,876,977,983
570,-2,16,975,739,860,987,973
580,-2,14,979,739,880,979,977
590,-2,12,983,740,848,976,987
600,-2,10,981,707,861,947,997
610,-2,9,977,689,822,966,982
620,-2,8,918,710,846,979,976
630,-3,7,989,727,867,979,976
640,-4,6,988,723,848,976,977
650,-5,5,982,731,848,964,987
660,-6,3,997,719,846,986,977
670,-6,1,981,719,864,978,978
680,-6,0,967,713,797,982,982
690,-7,0,978,710,843,972,979
700,-7,0,987,738,846,976,985
710,-7,0,993,713,842,997,987
720,-7,0,999,713,839,1006,976
730,-7,0,987,724,853,982,971
740,-7,0,1001,694,855,983,978
750,-7,0,987,709,848,985,987
760,-7,0,965,733,844,966,983
770,-7,0,975,703,859,982,976
780,-7,0,990,714,834,989,972
790,-7,0,993,710,839,987,967
800,-7,0,980,707,845,976,982
810,-7,0,1008,715,869,969,975
820,-7,0,985,720,845,976,977
830,-7,0,985,726,859,976,982
840,-6,0,992,705,846,973,980
850,-5,0,983,692,845,976,978
860,-4,0,980,710,847,985,987
870,-4,0,988,712,850,993,984
880,-3,0,977,720,846,971,982
890,-2,0,983,708,864,976,976
900,-1,0,976,694,846,978,974
910,-1,0,987,725,846,975,977
920,0,0,1008,663,865,972,976
930,0,0,977,711,854,982,989
940,0,0,991,694,835,976,969
950,0,0,986,709,848,973,980
960,0,0,984,691,851,971,985
970,0,0,1006,717,873,1032,981
980,0,0,986,705,859,988,977
990,0,0,976,706,850,976,976
