timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-8,944,790,862,962,975
10,-1,-17,912,741,849,964,976
20,0,-25,961,738,848,965,1003
30,0,-27,957,736,860,960,988
40,0,-27,938,732,871,960,976
50,0,-27,960,725,849,934,987
60,0,-28,949,733,848,962,977
70,0,-29,945,789,863,957,977
80,0,-30,959,752,839,957,981
90,0,-31,959,749,851,963,973
100,0,-32,965,761,848,957,967
110,0,-32,955,768,859,962,975
120,0,-32,958,787,894,967,982
130,0,-32,950,816,859,922,981
140,0,-33,960,821,868,960,979
150,0,-33,961,867,899,976,976
160,1,-33,958,825,885,963,979
170,2,-33,967,867,857,986,976
180,3,-33,979,889,903,978,978
190,4,-33,967,863,881,950,975
200,5,-34,955,883,873,967,976
210,5,-34,975,885,896,943,982
220,4,-32,963,879,898,965,977
230,4,-29,975,875,899,959,999
240,3,-25,973,883,893,960,976
250,2,-21,1003,897,903,956,981
260,2,-17,983,890,861,958,966
270,2,-14,991,896,907,951,971
280,2,-11,1002,896,898,963,978
290,2,-9,969,894,898,951,985
300,2,-7,975,885,907,964,979
310,2,-6,981,907,905,959,1031
320,2,-5,983,900,897,959,977
330,2,-4,987,891,896,963,974
340,1,-2,970,899,914,957,976
350,0,0,976,906,925,955,976
360,0,3,979,909,896,966,976
370,-1,7,978,896,910,941,966
380,-2,12,982,890,869,973,994
390,-3,18,979,878,899,974,982
400,-3,24,964,863,902,963,977
410,-1,27,970,858,898,962,976
420,0,28,962,836,895,974,960
430,0,28,971,817,881,955,979
440,0,28,954,816,883,959,976
450,0,28,959,839,885,993,978
460,0,28,976,767,883,958,990
470,0,27,950,777,880,972,976
480,0,25,958,755,881,967,972
490,0,23,935,768,885,969,973
500,0,21,958,752,887,971,983
510,0,19,957,741,881,964,976
520,0,18,954,747,866,961,978
530,0,17,944,740,883,966,974
540,0,16,933,743,876,973,971
550,0,15,961,774,866,973,986
560,0,14,974,736,875,965,981
570,0,13,949,759,862,967,982
580,0,12,972,737,870,968,976
590,0,11,967,737,880,963,978
600,0,10,960,757,886,966,943
610,0,9,971,750,871,966,976
620,0,7,1031,754,866,961,996
630,0,5,970,738,869,957,976
640,0,4,965,745,881,957,977
650,0,3,950,732,866,960,977
660,0,2,949,739,880,975,979
670,0,1,962,747,873,960,977
680,0,0,958,743,872,954,1040
690,0,0,969,751,853,960,979
700,0,0,983,769,880,911,987
710,0,0,959,790,867,944,963
720,0,0,960,747,871,960,976
730,0,0,957,752,880,959,974
740,0,0,956,747,871,962,973
750,0,0,942,744,863,960,977
760,0,1,971,730,864,930,989
770,0,1,958,747,863,955,977
780,0,1,972,749,870,977,979
790,0,1,955,749,859,970,981
800,0,1,962,752,866,969,991
810,0,1,941,755,875,959,985
820,0,1,960,755,858,957,985
830,0,1,960,744,861,957,984
840,0,1,971,741,867,963,986
850,0,1,960,746,869,967,982
860,0,1,926,752,859,959,963
870,0,0,969,749,868,963,976
880,0,0,973,742,877,967,977
890,0,0,962,749,859,976,986
900,0,0,964,737,870,951,982
910,0,0,967,752,869,963,976
920,0,0,961,753,877,962,987
930,0,0,969,762,864,955,981
940,0,0,964,719,864,986,961
950,0,0,966,731,871,963,976
960,0,0,992,755,869,976,976
970,0,0,960,765,874,973,982
980,-1,0,960,752,863,959,976
990,-2,0,961,755,862,956,976
