timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-3,1001,771,888,997,990
10,0,-8,1005,731,880,976,983
20,0,-10,976,771,905,984,978
30,0,-12,990,782,886,979,986
40,0,-14,997,781,882,979,1008
50,0,-15,991,779,883,976,979
60,0,-16,986,775,884,976,988
70,0,-17,962,785,875,974,983
80,0,-18,977,801,880,990,976
90,0,-18,983,813,893,975,978
100,0,-18,999,824,891,977,975
110,0,-17,987,838,882,988,978
120,0,-16,994,861,885,980,982
130,0,-15,999,848,893,977,976
140,0,-14,999,848,867,976,976
150,0,-13,979,848,907,991,977
160,0,-12,969,859,890,990,978
170,0,-11,1021,874,906,979,991
180,0,-10,1001,879,886,981,979
190,0,-9,1023,870,895,989,985
200,0,-8,983,867,926,976,981
210,0,-6,989,877,875,983,983
220,0,-4,994,906,853,976,988
230,0,-2,982,880,890,975,976
240,0,-1,973,880,903,985,979
250,0,0,995,865,895,978,989
260,0,0,997,891,888,975,990
270,0,0,1006,885,895,981,977
280,0,0,997,879,880,995,980
290,0,0,982,875,895,978,974
300,0,0,992,867,912,977,1003
310,0,0,1006,877,896,974,983
320,0,0,985,885,881,983,985
330,0,0,979,885,895,976,978
340,0,0,1007,875,896,973,983
350,0,1,1007,870,893,976,983
360,0,2,981,857,883,982,978
370,0,3,989,841,909,975,982
380,0,4,990,816,893,977,975
390,0,5,987,816,881,993,985
400,0,6,981,777,887,983,978
410,0,7,986,778,864,981,1001
420,0,8,991,752,896,980,977
430,0,9,981,746,883,983,982
440,0,9,982,734,897,976,976
450,0,9,979,703,896,973,979
460,0,9,996,694,865,977,1008
470,0,9,983,711,885,974,983
480,0,9,989,711,881,977,987
490,0,9,991,725,884,983,975
500,0,8,980,706,880,980,976
510,0,7,976,707,878,978,935
520,0,6,980,695,886,977,979
530,0,5,976,695,881,993,977
540,0,4,989,712,899,986,959
550,0,3,991,699,859,989,985
560,0,2,962,721,882,986,983
570,0,1,983,706,893,976,980
580,0,0,992,720,883,990,976
590,0,0,971,706,894,986,966
600,0,0,991,720,876,995,976
610,0,0,991,716,882,994,982
620,0,0,991,717,894,991,973
630,0,0,981,707,882,973,976
640,0,0,991,733,880,978,981
650,0,0,987,711,852,983,977
660,0,0,987,703,885,979,981
670,0,0,997,720,896,980,991
680,0,0,981,714,865,974,991
690,0,0,998,727,905,977,984
700,0,0,991,742,879,976,977
710,0,0,982,715,880,992,992
720,0,0,982,670,897,975,973
730,0,0,976,720,874,985,989
740,0,0,961,725,873,977,977
750,0,0,960,720,882,981,994
760,0,0,991,706,880,976,979
770,0,0,1019,706,881,989,993
780,0,0,979,722,883,976,986
790,0,0,999,716,881,1005,976
800,0,0,994,715,877,985,981
810,0,0,979,726,882,966,982
820,0,0,1054,704,881,977,981
830,0,0,985,733,893,987,981
840,0,0,981,720,883,976,981
850,0,0,946,711,877,978,977
860,0,0,983,721,891,996,1030
870,0,0,990,721,893,976,991
880,0,0,982,720,879,989,986
890,0,0,1002,699,893,1008,981
900,0,0,967,735,881,981,981
910,0,0,989,718,880,980,978
920,0,0,993,734,890,980,979
930,0,0,982,725,891,983,927
940,0,0,979,690,894,945,982
950,0,0,976,705,881,975,988
960,0,0,999,694,887,975,982
970,0,0,1003,715,883,987,976
980,0,0,981,734,878,994,981
990,0,0,990,721,857,965,988
