timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-1,1001,711,870,998,985
10,-1,-1,994,695,882,960,985
20,0,-2,994,720,859,976,976
30,0,-3,995,711,880,977,978
40,0,-4,989,701,865,978,988
50,0,-4,981,706,861,982,976
60,0,-4,997,704,870,963,977
70,0,-4,998,699,859,977,957
80,0,-4,997,717,848,976,990
90,0,-4,1007,715,879,976,978
100,0,-4,998,741,879,987,976
110,0,-4,981,732,870,990,976
120,0,-4,987,737,865,985,989
130,0,-3,995,752,874,986,985
140,0,-2,979,767,880,981,980
150,0,-1,978,755,861,983,985
160,0,0,987,753,811,986,982
170,0,0,979,774,863,992,982
180,0,0,996,786,880,989,976
190,0,0,944,806,875,1005,982
200,0,0,994,805,864,976,982
210,0,0,983,816,878,977,981
220,0,0,991,812,871,1012,985
230,0,0,984,832,875,977,989
240,0,0,951,855,867,1008,1031
250,0,0,987,869,913,972,981
260,0,-1,1003,864,874,976,981
270,0,-2,993,887,881,988,980
280,0,-3,989,876,890,987,979
290,0,-4,998,882,893,987,978
300,0,-4,1006,895,871,971,983
310,0,-4,999,887,902,983,976
320,0,-4,992,892,914,999,993
330,0,-5,1002,900,894,962,989
340,0,-6,1019,904,890,987,977
350,0,-7,995,911,889,997,970
360,0,-7,1008,912,903,985,977
370,0,-6,994,910,905,981,986
380,0,-5,985,914,903,987,1008
390,0,-4,1008,895,901,979,990
400,0,-3,1008,934,938,977,986
410,0,-2,997,903,907,1008,982
420,0,0,990,901,891,977,976
430,0,0,1002,862,928,983,981
440,0,0,993,897,911,985,985
450,0,0,997,900,912,987,981
460,0,0,990,908,899,977,981
470,0,0,997,897,901,999,984
480,0,0,1009,915,911,976,987
490,0,0,986,915,905,978,978
500,0,0,997,885,897,989,977
510,0,0,1002,893,898,967,977
520,0,0,1008,901,898,976,987
530,0,0,991,907,895,975,972
540,0,0,1005,895,901,973,992
550,0,0,1008,901,899,983,976
560,0,0,987,880,902,986,1007
570,0,0,1007,899,881,976,975
580,0,0,995,875,915,928,989
590,0,0,1008,873,903,992,989
600,0,1,992,851,896,974,984
610,0,2,982,806,909,976,987
620,0,3,987,761,901,977,1003
630,0,4,979,727,902,977,994
640,0,5,989,721,879,964,976
650,0,5,992,681,878,974,977
660,0,5,963,679,862,976,976
670,0,5,986,670,879,979,985
680,0,5,983,658,881,977,975
690,0,5,1008,646,870,1009,987
700,0,5,996,656,880,987,977
710,0,5,982,657,890,978,977
720,0,5,978,635,891,989,987
730,0,5,981,651,881,976,973
740,0,5,969,645,864,991,998
750,0,5,976,656,871,967,987
760,0,5,983,673,869,1001,980
770,0,5,991,649,848,981,992
780,0,5,976,651,875,971,977
790,0,4,985,655,847,981,1014
800,0,3,989,661,863,982,977
810,0,2,977,667,866,976,976
820,0,2,983,684,862,981,979
830,0,2,981,656,859,1014,978
840,0,2,1011,660,861,978,976
850,0,2,976,698,870,979,962
860,0,2,973,667,871,977,976
870,0,2,974,673,871,980,978
880,0,1,991,669,865,989,986
890,0,1,976,667,853,987,976
900,0,1,983,679,866,965,975
910,0,0,989,684,878,972,987
920,0,0,999,666,858,981,971
930,0,0,999,674,845,983,980
940,0,0,976,666,868,977,983
950,0,0,997,693,858,985,979
960,0,0,976,704,882,979,987
970,0,0,990,672,864,976,975
980,0,0,982,665,871,997,986
990,0,0,990,675,861,976,981
