timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-3,981,726,886,979,982
10,1,-6,978,711,885,993,983
20,0,-6,999,720,883,978,982
30,0,-6,990,738,893,987,992
40,0,-6,991,736,867,974,979
50,0,-6,979,720,880,1015,976
60,0,-6,991,731,865,977,977
70,0,-6,983,737,869,969,981
80,0,-6,1005,738,882,975,985
90,0,-6,993,745,882,989,981
100,0,-6,992,758,889,983,1003
110,0,-6,999,755,896,983,979
120,0,-6,998,771,878,981,955
130,0,-6,988,767,893,938,983
140,0,-6,994,784,880,1005,990
150,0,-6,982,817,884,1043,991
160,0,-6,993,800,886,983,977
170,0,-6,992,798,886,976,979
180,0,-6,1003,801,884,977,982
190,0,-6,983,818,890,990,979
200,0,-6,991,823,891,1015,997
210,0,-6,987,816,881,986,1001
220,0,-6,996,828,884,979,930
230,0,-6,1006,874,890,981,979
240,0,-6,986,843,893,1003,978
250,0,-6,986,870,899,975,977
260,0,-6,993,863,884,982,982
270,0,-6,992,849,886,972,981
280,0,-6,999,858,903,947,987
290,0,-7,998,856,894,997,976
300,0,-7,1008,905,912,981,981
310,0,-7,989,844,890,979,983
320,0,-6,1006,875,907,987,986
330,0,-4,990,887,894,989,978
340,0,-2,997,875,904,992,987
350,0,-1,1011,880,896,998,976
360,0,0,997,910,912,1009,986
370,0,0,983,893,892,981,976
380,0,0,994,899,907,995,951
390,0,0,1008,870,883,974,979
400,0,0,1006,880,896,981,976
410,0,0,988,886,898,973,1002
420,0,0,995,880,900,989,978
430,0,0,990,881,912,976,990
440,0,0,987,886,897,979,976
450,0,0,991,901,907,976,975
460,0,0,985,875,912,975,959
470,0,0,999,877,889,970,980
480,0,0,990,880,908,993,987
490,0,0,993,882,858,985,993
500,0,0,1002,865,893,979,981
510,0,0,997,864,888,977,981
520,0,1,991,875,887,985,981
530,0,2,996,823,898,990,983
540,0,3,985,771,851,1002,991
550,0,4,982,787,901,983,981
560,0,5,990,750,887,974,985
570,0,5,990,766,880,991,977
580,0,5,983,733,882,994,981
590,0,5,985,730,896,978,981
600,0,5,998,741,899,1005,985
610,0,5,986,718,886,979,986
620,0,4,997,708,895,958,977
630,0,4,994,720,890,966,978
640,0,3,991,732,829,980,977
650,0,3,979,735,883,981,976
660,0,3,995,690,880,981,978
670,0,3,986,784,845,986,977
680,0,3,987,709,900,977,976
690,0,3,986,717,882,985,987
700,0,3,990,704,890,990,997
710,0,3,979,704,892,985,978
720,0,2,981,707,890,981,987
730,0,1,982,694,896,1007,987
740,0,0,992,705,889,997,988
750,0,0,991,713,913,992,976
760,0,0,986,717,880,992,985
770,0,0,989,716,886,981,981
780,0,0,992,720,881,986,990
790,0,0,991,725,876,979,980
800,0,0,994,699,874,981,985
810,0,0,1007,752,912,982,976
820,0,0,1006,731,893,989,983
830,0,0,992,730,895,963,989
840,0,0,994,726,881,1006,981
850,0,0,991,704,887,985,985
860,0,0,978,720,909,983,983
870,0,0,987,719,873,979,977
880,0,0,985,709,877,973,989
890,0,0,1002,688,869,962,991
900,0,0,1000,721,881,983,979
910,0,0,982,715,861,978,973
920,0,0,993,731,882,973,979
930,0,0,997,724,877,986,970
940,0,0,981,724,874,975,978
950,0,0,990,713,880,997,976
960,0,0,986,723,880,985,980
970,0,0,981,730,881,985,985
980,0,0,990,714,880,1002,928
990,0,0,960,734,880,1006,975
