timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,2,-3,1011,748,880,954,971
10,2,-6,983,729,883,978,976
20,3,-9,981,718,874,1001,976
30,3,-11,976,736,863,995,990
40,4,-12,983,729,878,998,976
50,5,-13,977,735,896,1004,974
60,6,-14,999,739,872,1002,987
70,7,-14,971,720,880,986,991
80,8,-14,969,739,871,1003,1008
90,9,-14,994,726,880,982,979
100,10,-14,981,742,879,971,973
110,11,-14,974,750,893,1054,981
120,12,-14,977,731,880,998,980
130,13,-14,942,755,881,1007,986
140,14,-14,976,751,881,991,976
150,15,-14,970,742,881,982,978
160,16,-13,995,752,887,988,989
170,17,-13,991,754,881,999,986
180,18,-13,976,739,953,999,957
190,19,-13,989,743,880,979,981
200,20,-13,974,763,883,1006,975
210,20,-13,975,768,877,1005,976
220,20,-13,978,771,882,998,977
230,20,-13,1003,788,885,998,978
240,20,-13,995,789,880,992,970
250,20,-13,989,801,890,976,980
260,20,-14,1009,816,836,981,976
270,20,-15,983,827,883,990,982
280,19,-16,982,836,898,986,980
290,18,-17,981,847,880,991,982
300,18,-18,982,848,880,990,985
310,18,-19,1008,848,896,993,987
320,18,-20,992,862,900,970,980
330,17,-21,963,852,899,995,987
340,16,-20,1002,848,897,956,980
350,15,-19,989,861,911,981,980
360,14,-17,976,853,903,981,992
370,13,-15,1015,891,893,991,1004
380,13,-13,964,855,921,977,980
390,13,-11,1039,863,881,994,978
400,13,-10,966,894,889,964,977
410,13,-9,966,871,909,994,977
420,13,-8,985,861,889,978,950
430,13,-7,987,865,907,1002,981
440,13,-6,992,854,900,975,974
450,12,-5,976,854,904,999,976
460,11,-3,997,865,887,997,976
470,10,-1,999,869,886,988,976
480,9,0,991,871,884,979,972
490,8,2,992,848,910,993,978
500,7,4,994,849,903,975,979
510,5,6,978,849,894,985,976
520,4,8,980,842,899,996,976
530,2,10,1002,828,881,986,994
540,1,12,975,830,897,988,983
550,0,14,979,803,880,976,981
560,-1,16,990,783,911,986,981
570,-2,18,982,761,884,977,980
580,-3,20,976,766,897,982,983
590,-4,21,992,740,880,978,979
600,-5,22,976,737,885,976,989
610,-5,22,991,714,888,993,976
620,-5,22,993,722,887,981,981
630,-6,22,961,709,906,1011,976
640,-7,22,982,704,894,989,976
650,-7,22,995,715,848,994,979
660,-7,22,995,719,875,993,982
670,-7,22,987,730,893,1002,987
680,-7,21,987,721,880,991,976
690,-7,20,978,716,896,989,983
700,-7,19,976,717,876,995,983
710,-7,18,985,699,877,951,977
720,-7,17,1000,698,881,993,981
730,-7,16,999,701,875,945,946
740,-7,15,976,679,867,976,987
750,-7,14,987,719,880,1004,984
760,-7,13,1000,688,885,1008,986
770,-6,12,983,708,885,1006,979
780,-4,12,987,721,877,1005,981
790,-4,11,977,691,866,999,983
800,-3,10,976,707,877,989,981
810,-2,9,975,708,909,995,978
820,-1,8,978,706,880,994,975
830,0,7,979,705,878,1008,978
840,0,6,976,718,880,1009,985
850,0,5,976,720,904,989,975
860,0,5,986,719,883,986,987
870,0,5,976,726,873,994,979
880,0,5,981,713,868,987,982
890,0,4,938,710,881,993,960
900,0,3,979,720,896,989,983
910,0,2,983,720,887,992,976
920,0,1,987,692,869,982,974
930,0,0,976,724,887,976,960
940,0,0,975,707,880,976,1005
950,0,0,985,690,885,979,944
960,0,0,969,725,873,988,983
970,0,0,1011,707,880,977,987
980,0,0,993,710,875,982,988
990,0,0,940,735,873,993,986
