timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-2,976,716,875,982,976
10,0,-3,1007,709,866,1002,981
20,0,-5,976,703,912,988,978
30,0,-6,990,719,894,977,980
40,0,-7,973,715,859,992,986
50,0,-7,974,747,887,985,1008
60,0,-7,977,757,874,975,986
70,0,-7,944,772,871,974,995
80,0,-7,985,766,890,973,982
90,0,-7,991,797,879,976,976
100,0,-7,991,818,890,983,970
110,0,-7,989,796,871,989,979
120,0,-7,976,800,877,986,976
130,0,-7,972,837,880,977,970
140,0,-7,1005,848,880,995,979
150,0,-6,980,848,880,976,976
160,0,-5,997,848,887,975,977
170,0,-4,1001,848,890,976,987
180,0,-3,998,858,887,994,981
190,0,-2,986,848,880,996,979
200,0,-2,1003,783,894,978,980
210,0,-2,1008,874,895,963,989
220,0,-2,999,870,884,994,983
230,0,-2,982,880,885,995,982
240,0,-2,988,896,893,981,979
250,0,-2,989,878,891,983,991
260,0,-2,993,897,892,972,976
270,0,-2,975,877,886,983,983
280,0,-2,1046,885,891,998,983
290,0,-2,1008,889,894,976,983
300,0,-3,991,881,887,983,982
310,0,-3,992,912,895,974,997
320,0,-3,1017,896,889,986,987
330,0,-2,985,903,903,987,975
340,0,-1,1008,909,896,992,976
350,0,-1,985,891,919,985,981
360,0,0,999,894,897,975,1002
370,0,0,997,912,911,986,963
380,0,0,995,917,905,999,977
390,0,0,1008,915,898,976,999
400,0,0,991,891,901,976,990
410,0,0,1001,909,919,976,986
420,0,0,989,901,914,991,976
430,0,0,990,892,899,973,988
440,0,0,1004,902,891,989,992
450,0,0,992,912,912,985,981
460,0,0,1029,909,848,974,990
470,0,0,995,903,909,976,989
480,0,0,1001,902,925,986,983
490,0,0,1007,895,897,987,983
500,0,0,991,912,908,985,985
510,0,0,981,894,895,992,976
520,0,1,1008,893,903,935,979
530,0,2,1008,892,905,993,985
540,0,3,991,861,921,982,976
550,0,4,987,854,891,995,983
560,0,5,983,789,891,990,979
570,0,6,976,751,901,985,987
580,0,7,992,746,895,990,979
590,0,8,974,719,885,976,978
600,0,9,993,672,846,976,970
610,0,9,976,658,898,990,985
620,0,9,977,636,873,1002,997
630,0,9,976,610,859,980,983
640,0,9,985,636,850,985,981
650,0,9,993,620,846,976,981
660,0,8,981,641,855,981,983
670,0,7,993,626,848,988,983
680,0,6,978,641,850,971,985
690,0,5,986,629,864,998,976
700,0,4,980,625,875,981,976
710,0,3,975,653,857,976,979
720,0,2,981,645,865,992,985
730,0,2,1006,631,807,990,986
740,0,2,984,655,866,976,987
750,0,2,977,670,846,987,975
760,0,1,978,651,857,963,981
770,0,0,969,670,848,973,978
780,0,0,985,720,862,981,974
790,0,0,978,656,849,990,980
800,0,0,983,650,856,987,976
810,0,0,953,683,873,989,979
820,0,0,993,668,859,978,984
830,0,0,960,647,862,951,979
840,0,0,976,624,857,978,978
850,0,0,1004,663,845,981,981
860,0,0,965,702,865,969,958
870,0,0,979,669,867,979,977
880,0,0,991,657,869,978,977
890,0,0,971,682,848,967,960
900,0,0,978,676,880,981,979
910,0,0,971,669,878,980,977
920,0,0,993,679,854,988,976
930,0,0,985,677,854,969,977
940,0,0,977,681,851,991,983
950,0,0,995,626,867,986,1008
960,0,0,987,673,780,997,963
970,0,0,976,690,848,975,986
980,0,0,996,686,874,960,985
990,0,0,991,670,870,986,979
