timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-2,979,752,829,977,980
10,1,-4,979,752,844,955,979
20,0,-5,979,743,829,973,980
30,0,-6,986,774,842,997,981
40,0,-6,992,791,833,994,977
50,0,-6,1007,752,843,965,987
60,0,-6,981,752,832,960,981
70,0,-6,992,752,834,976,978
80,0,-6,978,730,824,974,977
90,0,-6,989,708,835,967,980
100,0,-6,988,755,843,964,976
110,0,-6,992,759,865,973,976
120,0,-5,976,755,833,976,990
130,0,-4,976,765,837,978,977
140,0,-3,978,769,868,967,976
150,0,-3,1004,759,842,971,979
160,0,-3,975,757,827,1007,982
170,0,-3,990,819,843,965,986
180,0,-3,988,758,876,970,983
190,0,-3,989,753,863,956,978
200,0,-3,985,763,870,976,989
210,0,-3,996,763,881,983,979
220,0,-3,991,778,884,969,979
230,0,-3,959,757,875,981,976
240,0,-3,994,757,896,978,978
250,0,-3,987,766,897,976,977
260,0,-4,976,774,910,982,982
270,0,-5,1012,778,904,966,984
280,0,-6,988,773,905,999,982
290,0,-7,983,773,916,981,980
300,0,-8,991,801,921,973,985
310,0,-9,993,777,919,976,987
320,0,-10,1004,768,923,983,981
330,0,-11,1008,786,933,976,976
340,0,-12,994,766,913,976,981
350,0,-11,1005,772,925,1005,977
360,0,-9,1009,798,922,990,989
370,0,-8,985,778,912,976,979
380,0,-7,1006,801,928,981,978
390,0,-6,1002,801,929,981,992
400,0,-5,994,793,927,976,976
410,0,-4,1010,786,935,979,979
420,0,-3,999,790,928,982,983
430,0,-3,1003,823,944,999,979
440,0,-3,1011,774,931,981,992
450,0,-3,995,783,929,986,977
460,0,-3,1009,786,922,980,976
470,0,-3,976,800,937,975,978
480,0,-2,998,785,937,975,989
490,0,-1,1005,784,933,990,977
500,0,0,1023,784,924,973,976
510,-1,3,1006,784,928,944,984
520,-2,7,995,779,918,980,977
530,-3,11,998,801,898,982,975
540,-3,15,992,789,896,1005,981
550,-3,18,993,778,870,993,976
560,-3,21,997,783,851,978,976
570,-2,23,992,733,847,951,986
580,-2,24,978,758,848,987,981
590,-2,25,989,767,829,981,990
600,-2,25,995,763,832,979,981
610,-2,24,998,757,811,978,983
620,-3,23,993,763,830,988,976
630,-4,22,978,759,827,973,980
640,-4,20,977,775,816,979,1003
650,-5,18,985,775,822,978,979
660,-5,16,985,763,831,983,987
670,-5,14,995,753,826,976,981
680,-6,13,986,761,817,970,976
690,-6,12,979,739,822,986,976
700,-6,11,1004,769,814,976,979
710,-6,10,993,751,827,974,989
720,-6,9,1000,749,807,974,982
730,-6,8,987,755,819,975,987
740,-6,7,994,755,816,967,976
750,-6,6,987,768,818,954,999
760,-6,5,990,773,826,971,987
770,-6,4,997,767,859,993,977
780,-5,3,998,755,826,950,976
790,-4,2,998,763,832,976,976
800,-3,1,990,742,830,990,982
810,-3,1,989,758,837,976,979
820,-2,0,1017,747,831,965,976
830,-2,0,999,769,816,973,988
840,-1,0,994,755,822,977,977
850,-1,0,1000,780,832,967,988
860,-1,0,987,768,821,968,978
870,-1,0,989,757,829,976,982
880,-1,0,997,775,816,992,976
890,-1,0,991,749,821,976,975
900,-1,0,986,747,835,974,976
910,-1,0,989,759,823,974,978
920,-1,0,982,766,816,963,975
930,-1,0,980,761,805,969,977
940,-1,0,1002,766,819,971,976
950,-1,0,1038,746,855,969,983
960,-1,0,990,759,829,969,945
970,-1,0,985,755,852,981,981
980,-1,0,967,757,861,962,976
990,-1,0,981,754,837,975,957
