timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-2,961,749,842,977,964
10,-2,-3,933,752,849,975,1001
20,-1,-5,970,749,848,976,978
30,0,-6,981,752,851,991,977
40,0,-7,976,739,864,989,982
50,0,-8,975,737,855,975,978
60,0,-9,972,739,858,982,983
70,0,-10,996,727,851,973,986
80,0,-10,980,748,855,976,986
90,0,-10,960,772,854,976,992
100,0,-10,973,745,859,976,981
110,0,-10,990,749,882,981,976
120,0,-9,979,742,831,976,977
130,1,-8,990,743,887,976,976
140,2,-7,991,804,894,967,978
150,2,-6,992,743,894,939,979
160,2,-5,1008,752,895,985,985
170,2,-5,981,783,905,973,985
180,2,-5,992,739,897,981,983
190,2,-5,983,758,909,973,978
200,2,-5,982,731,917,1003,981
210,2,-5,980,742,925,978,981
220,2,-5,997,751,910,985,987
230,2,-5,976,751,912,970,979
240,2,-5,992,738,927,978,976
250,2,-5,978,763,933,975,998
260,2,-5,982,749,931,976,986
270,2,-5,981,779,918,983,985
280,2,-5,997,751,944,983,981
290,2,-5,982,757,911,979,980
300,2,-5,959,753,928,988,982
310,2,-4,981,745,928,950,979
320,1,-3,987,748,937,982,942
330,0,-2,994,735,923,993,976
340,0,-1,995,751,933,983,976
350,0,0,998,749,918,955,971
360,0,1,991,732,932,1005,989
370,0,1,989,752,919,976,977
380,0,1,1002,784,926,997,979
390,0,1,992,752,935,973,981
400,0,1,1042,753,939,976,992
410,0,1,944,782,943,979,999
420,0,0,1009,758,927,983,979
430,0,0,997,753,944,965,976
440,0,0,993,759,934,987,986
450,0,0,1004,752,934,990,982
460,0,0,999,755,932,976,974
470,0,0,994,755,930,979,981
480,0,0,1009,745,939,976,980
490,0,0,1008,749,898,972,976
500,0,0,995,753,931,979,983
510,0,0,993,751,938,976,977
520,0,0,976,757,939,973,976
530,0,0,981,752,924,981,979
540,0,1,987,745,918,979,979
550,0,2,986,748,915,976,986
560,0,4,978,744,909,966,977
570,0,5,991,747,912,967,995
580,0,5,986,752,888,977,975
590,0,5,976,754,862,967,983
600,0,5,978,741,873,971,982
610,0,5,993,750,861,985,976
620,0,5,976,763,835,977,981
630,0,5,971,750,848,976,978
640,0,5,976,758,843,979,981
650,0,5,986,748,842,985,983
660,0,4,967,752,835,976,983
670,0,3,977,731,858,976,983
680,0,2,974,757,830,967,983
690,0,2,973,759,835,985,976
700,0,2,973,749,826,977,991
710,0,1,989,748,826,972,986
720,0,1,983,720,833,970,995
730,0,0,990,754,818,949,979
740,0,0,976,753,826,965,981
750,0,0,978,739,829,960,963
760,0,0,994,718,827,984,978
770,0,0,1003,737,841,993,964
780,0,0,976,745,832,946,987
790,0,0,985,746,829,979,981
800,0,0,948,744,811,983,999
810,0,0,977,752,826,965,963
820,0,0,986,747,834,987,978
830,0,0,988,756,822,971,979
840,0,0,981,749,845,971,976
850,0,0,976,743,828,969,969
860,0,0,977,733,831,979,1031
870,0,0,969,739,823,974,980
880,0,0,990,734,829,969,981
890,0,0,974,750,849,986,977
900,0,0,978,740,848,971,985
910,0,0,976,742,843,953,982
920,0,0,999,752,833,987,989
930,0,0,961,719,831,983,1001
940,0,0,976,734,848,971,982
950,0,0,986,753,833,990,986
960,0,0,979,751,858,976,969
970,0,0,986,754,838,978,989
980,0,0,978,752,838,976,983
990,0,0,982,723,850,954,989
