timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-1,981,745,842,970,978
10,-1,-2,977,751,860,963,944
20,0,-4,986,749,833,967,976
30,0,-6,983,735,833,993,975
40,0,-8,976,723,843,982,977
50,0,-9,985,734,847,975,981
60,0,-10,995,733,844,962,979
70,0,-10,971,722,849,975,976
80,0,-10,998,726,851,977,981
90,0,-10,994,735,850,975,967
100,0,-10,987,743,858,965,979
110,0,-10,1002,744,867,971,993
120,0,-9,989,729,890,976,985
130,0,-8,990,732,885,980,977
140,0,-7,985,743,885,989,974
150,0,-6,986,741,897,979,981
160,0,-6,983,737,891,970,982
170,0,-6,985,727,883,976,982
180,0,-6,994,738,912,990,980
190,0,-6,987,749,895,976,976
200,0,-6,986,735,904,973,989
210,0,-6,993,754,909,969,979
220,0,-5,998,743,901,981,978
230,0,-5,988,758,912,976,988
240,0,-5,976,751,919,974,976
250,0,-5,1008,745,919,974,995
260,0,-5,1001,743,913,977,976
270,0,-5,990,747,918,974,980
280,0,-6,993,746,896,978,966
290,0,-7,993,746,923,977,976
300,0,-8,993,746,901,994,978
310,0,-9,1007,754,925,1009,988
320,0,-10,1006,742,922,982,979
330,0,-11,976,751,929,977,986
340,0,-12,989,746,922,974,976
350,0,-12,986,749,946,988,964
360,0,-11,998,742,921,976,979
370,0,-10,990,755,928,987,985
380,0,-9,1009,741,917,995,983
390,0,-7,1005,752,933,976,989
400,0,-5,1004,752,936,976,978
410,0,-4,1019,752,939,963,954
420,0,-3,999,751,926,975,983
430,0,-2,1019,751,912,971,961
440,0,-1,1008,753,937,976,976
450,0,0,994,752,933,977,979
460,0,0,1037,752,925,987,982
470,0,0,1013,749,919,989,979
480,0,0,1001,743,945,971,983
490,0,0,983,765,922,976,955
500,0,0,1008,745,927,989,982
510,0,0,1003,752,946,974,980
520,0,0,989,745,933,976,977
530,0,0,993,755,938,965,962
540,0,0,976,743,931,994,976
550,0,1,1005,745,910,975,976
560,0,3,987,752,931,976,976
570,0,6,979,751,911,993,977
580,0,8,989,751,905,974,981
590,0,10,987,765,912,967,988
600,0,11,986,747,894,976,976
610,0,12,992,747,858,969,976
620,0,12,991,758,867,976,987
630,0,12,989,706,880,980,984
640,0,12,987,725,879,971,978
650,0,12,1010,732,817,975,985
660,0,12,970,763,849,951,976
670,0,12,982,733,845,986,975
680,0,11,982,740,829,970,976
690,0,10,987,747,839,970,971
700,0,9,980,736,831,977,978
710,0,8,982,734,834,970,978
720,0,7,978,735,869,976,983
730,0,6,979,741,839,950,992
740,0,5,990,734,843,970,981
750,0,4,1008,716,834,952,974
760,0,4,987,730,815,975,976
770,0,4,978,741,835,981,973
780,0,3,971,733,829,981,976
790,0,3,989,731,830,964,991
800,0,3,1005,729,829,955,978
810,0,3,982,732,839,997,980
820,0,3,986,742,829,970,983
830,0,3,1008,725,831,931,979
840,0,3,992,735,834,972,973
850,0,2,979,726,832,966,985
860,0,1,977,726,828,981,976
870,0,1,979,733,823,977,976
880,0,0,979,720,834,975,989
890,0,0,964,734,833,975,989
900,0,0,989,722,828,970,976
910,0,0,1003,759,843,976,977
920,0,0,977,729,832,986,981
930,0,0,1023,734,833,960,975
940,0,0,989,723,833,962,983
950,0,0,976,733,832,976,976
960,0,0,970,736,833,990,967
970,0,0,986,727,835,983,976
980,0,0,1002,722,831,983,993
990,0,0,996,731,833,999,983
