timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-1,998,779,846,974,983
10,0,-3,991,755,859,990,977
20,1,-3,921,752,866,987,976
30,1,-3,979,710,854,990,989
40,1,-2,1004,754,874,986,978
50,1,-2,1020,766,858,991,976
60,1,-2,982,759,851,994,978
70,1,-2,982,784,861,999,985
80,1,-2,980,714,875,979,978
90,1,-2,993,751,869,983,981
100,1,-2,1017,770,876,993,993
110,1,-1,997,747,882,995,979
120,1,0,1003,752,874,998,979
130,1,0,972,761,883,987,983
140,1,0,976,752,902,1004,982
150,1,-1,997,779,914,998,957
160,1,-2,978,768,910,990,981
170,2,-2,976,752,923,1009,990
180,3,-2,978,762,921,987,976
190,3,-2,979,768,925,990,977
200,3,-2,978,762,921,990,976
210,3,-2,998,773,922,993,986
220,3,-2,985,779,928,989,983
230,3,-2,974,767,928,990,978
240,3,-3,987,766,921,982,982
250,3,-4,976,769,927,991,976
260,3,-5,995,771,917,976,977
270,4,-6,979,782,925,995,976
280,5,-7,977,771,927,981,989
290,6,-8,979,720,923,991,986
300,7,-9,980,769,922,1001,990
310,8,-9,959,783,915,951,986
320,8,-8,989,768,926,980,986
330,7,-7,978,775,925,991,988
340,6,-6,976,753,965,989,985
350,5,-4,976,778,922,1002,951
360,4,-3,977,779,939,998,977
370,3,-2,978,758,908,979,966
380,2,-1,983,773,933,986,981
390,1,0,979,770,915,979,949
400,0,0,1004,766,944,1000,985
410,0,0,979,766,914,982,985
420,0,0,989,815,942,991,989
430,0,0,988,769,919,1001,982
440,0,0,986,773,917,981,983
450,0,0,979,783,932,978,983
460,0,1,979,788,915,996,976
470,-1,3,999,779,935,993,981
480,-2,6,976,781,915,1004,980
490,-3,9,1003,782,913,986,983
500,-4,11,995,769,911,978,974
510,-5,12,985,778,909,982,983
520,-6,13,974,762,912,986,992
530,-6,13,991,779,898,993,989
540,-6,12,987,761,881,1003,976
550,-6,11,993,777,833,983,986
560,-5,10,993,763,855,976,987
570,-4,9,963,755,863,995,979
580,-3,8,991,713,854,986,1002
590,-2,7,992,769,848,991,974
600,-1,6,975,759,851,989,966
610,0,5,986,756,848,992,981
620,0,4,977,748,851,985,981
630,0,3,1008,769,838,994,989
640,0,2,1003,752,833,986,987
650,0,1,982,773,839,994,982
660,0,0,986,761,830,977,981
670,0,0,987,757,836,995,978
680,0,0,991,754,877,965,997
690,0,0,1003,785,848,976,970
700,0,0,993,768,846,989,978
710,0,0,980,769,858,991,988
720,0,0,974,753,844,980,982
730,0,0,994,745,833,990,981
740,0,0,982,755,825,988,987
750,0,0,980,749,843,999,978
760,0,0,981,768,848,983,975
770,0,0,984,738,848,993,974
780,0,0,995,749,844,986,987
790,0,0,976,764,834,999,977
800,0,0,986,754,828,983,989
810,0,0,1036,758,848,976,985
820,0,0,991,762,847,995,976
830,0,0,1003,753,839,976,987
840,0,0,982,777,836,985,976
850,0,0,986,786,822,992,982
860,0,0,994,754,834,993,981
870,0,0,976,742,841,988,970
880,0,0,991,752,839,989,982
890,0,0,976,753,833,971,986
900,0,0,987,755,843,989,976
910,0,0,974,741,848,989,990
920,0,0,996,761,848,976,976
930,0,0,990,750,843,989,982
940,0,0,978,770,848,976,981
950,0,0,981,703,844,989,982
960,0,0,979,749,848,976,982
970,0,0,965,760,838,991,967
980,0,0,995,752,831,982,983
990,0,0,1039,755,849,976,976
