timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-3,982,742,833,973,982
10,0,-9,1006,738,837,970,976
20,0,-11,965,752,849,982,976
30,0,-13,999,750,835,972,983
40,0,-13,976,752,843,975,977
50,0,-13,1018,737,873,976,976
60,0,-13,1007,755,847,986,979
70,0,-12,976,749,842,987,976
80,0,-11,983,784,822,974,982
90,0,-10,1001,745,848,974,983
100,0,-9,967,755,914,976,987
110,0,-8,985,748,879,981,990
120,0,-7,981,741,871,976,976
130,0,-7,989,747,899,989,977
140,0,-7,970,758,880,981,1038
150,0,-7,971,753,887,983,988
160,0,-7,982,765,871,995,983
170,0,-8,982,753,891,976,998
180,0,-9,976,787,887,986,976
190,0,-10,984,750,896,976,991
200,1,-10,964,768,909,994,976
210,1,-10,986,743,939,996,989
220,1,-10,981,766,913,978,975
230,1,-10,991,761,939,977,980
240,1,-10,971,731,898,1004,988
250,1,-10,975,762,931,985,982
260,1,-10,988,771,917,983,991
270,0,-10,986,778,923,1006,986
280,0,-9,987,755,922,991,969
290,0,-8,976,761,918,976,981
300,0,-6,975,784,928,1001,976
310,-1,-4,969,753,926,981,980
320,-1,-2,986,769,871,991,951
330,-1,0,969,778,923,974,988
340,-1,1,986,765,963,991,1005
350,-1,2,983,777,921,985,959
360,0,2,970,752,915,1005,984
370,0,2,970,750,912,996,982
380,0,2,967,763,927,992,978
390,0,1,976,761,911,981,984
400,0,0,977,757,953,996,981
410,0,0,976,755,926,980,983
420,0,0,976,752,935,982,998
430,0,0,967,774,893,990,982
440,0,0,981,746,915,981,981
450,0,0,974,740,902,997,985
460,0,1,990,769,919,988,982
470,-1,3,974,739,919,975,993
480,-1,5,976,755,909,979,976
490,-1,7,981,739,897,979,984
500,-1,8,989,753,895,997,981
510,-1,9,977,765,896,992,985
520,0,10,983,744,876,966,979
530,0,10,979,741,880,993,1014
540,0,9,978,754,861,977,976
550,0,7,976,741,835,999,982
560,0,5,976,752,850,990,977
570,0,3,983,757,852,987,986
580,0,2,976,752,836,983,977
590,0,1,997,755,833,985,983
600,0,0,976,747,816,981,955
610,0,0,976,755,843,985,982
620,0,0,972,738,841,979,982
630,0,0,990,742,843,1045,978
640,0,0,985,756,832,986,986
650,0,0,982,746,834,980,983
660,0,0,980,754,819,976,987
670,0,0,976,749,816,983,976
680,0,0,985,726,816,981,974
690,0,0,982,745,832,970,982
700,0,0,981,752,840,976,978
710,0,0,986,752,829,997,966
720,0,0,981,752,831,970,982
730,0,0,975,732,822,984,979
740,0,0,981,755,818,988,979
750,0,0,979,757,816,976,989
760,0,0,977,731,836,991,1007
770,0,0,989,772,831,985,975
780,0,0,992,752,847,976,979
790,0,0,983,748,828,975,990
800,0,0,978,742,837,993,976
810,0,0,979,749,829,976,982
820,0,0,977,743,826,1008,981
830,0,0,982,739,842,975,982
840,0,0,979,754,832,981,977
850,0,0,986,707,833,979,987
860,0,0,986,753,829,976,976
870,0,0,981,751,828,1006,979
880,0,0,977,755,822,981,976
890,0,0,992,754,839,979,977
900,0,0,978,729,830,963,976
910,0,0,979,751,832,985,980
920,0,0,976,746,831,954,983
930,0,0,981,752,829,1007,978
940,0,0,975,747,821,981,977
950,0,0,992,752,809,982,983
960,0,0,982,740,832,980,986
970,0,0,976,739,843,970,983
980,0,0,993,743,833,982,981
990,0,0,989,752,832,978,981
