timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-2,990,763,852,959,976
10,1,-5,939,770,851,982,982
20,0,-6,992,800,858,967,976
30,0,-7,1001,810,849,969,965
40,0,-7,986,766,870,971,973
50,0,-7,987,768,880,963,985
60,0,-7,1004,776,885,967,976
70,0,-7,977,772,908,967,974
80,0,-7,983,757,904,976,976
90,0,-7,995,775,916,976,983
100,0,-7,1017,756,0,963,976
110,0,-7,994,760,937,976,982
120,0,-7,993,772,902,976,979
130,0,-7,1034,773,929,961,977
140,1,-7,983,781,927,971,977
150,2,-7,1014,779,935,976,977
160,3,-8,1001,770,913,976,976
170,3,-8,987,768,922,972,976
180,3,-8,976,766,918,972,975
190,3,-7,1010,783,928,976,973
200,3,-5,1008,782,938,966,973
210,3,-4,1008,690,944,981,991
220,3,-3,988,768,942,970,980
230,3,-1,1006,785,931,994,976
240,2,0,1008,814,926,951,976
250,1,1,997,784,929,970,976
260,0,2,978,785,925,975,977
270,0,2,1006,784,916,987,978
280,0,2,1003,784,941,977,981
290,0,1,993,759,930,937,989
300,0,0,1023,785,919,976,980
310,0,0,995,784,922,993,976
320,0,0,993,772,922,971,978
330,0,0,997,783,913,975,978
340,0,0,991,763,934,994,948
350,0,1,989,791,919,981,976
360,0,3,985,783,914,970,976
370,0,5,1001,756,903,973,977
380,0,7,1005,777,892,976,978
390,0,8,983,790,863,961,976
400,0,9,987,781,883,960,978
410,0,9,990,784,875,986,976
420,0,9,972,819,855,975,986
430,0,9,978,790,855,963,951
440,0,8,963,784,851,962,989
450,0,7,997,765,848,909,976
460,0,6,976,774,833,974,979
470,0,5,993,779,852,976,976
480,0,4,981,775,854,951,1003
490,0,3,1008,777,834,976,978
500,0,2,982,739,849,975,976
510,0,1,992,773,851,957,985
520,0,0,982,766,823,958,975
530,0,0,993,781,871,960,959
540,0,0,1005,763,851,973,991
550,0,0,989,786,837,959,973
560,0,0,997,766,833,962,977
570,0,0,978,780,849,975,976
580,0,0,990,806,832,966,992
590,0,0,989,784,846,976,982
600,0,0,983,772,837,975,983
610,0,0,997,765,846,944,978
620,0,0,966,763,848,975,980
630,0,0,981,768,848,962,989
640,0,0,986,769,837,961,976
650,0,0,1005,771,840,960,982
660,0,0,978,784,838,949,973
670,0,0,999,790,852,973,994
680,0,0,949,769,804,960,967
690,0,0,995,763,818,971,976
700,0,0,991,769,845,967,985
710,0,0,965,769,846,958,980
720,0,0,989,784,837,971,976
730,0,0,992,782,846,967,978
740,0,0,983,765,842,966,972
750,0,0,1010,788,844,975,980
760,0,0,995,779,848,977,991
770,0,0,982,781,848,969,976
780,0,0,992,774,854,959,976
790,0,0,976,767,853,967,983
800,0,0,989,782,842,973,976
810,0,0,976,785,850,958,964
820,0,0,983,773,841,962,986
830,0,0,977,776,845,969,978
840,0,0,977,761,843,971,973
850,0,0,981,771,827,977,976
860,0,0,987,784,845,974,976
870,0,0,995,773,839,962,978
880,0,0,978,766,868,981,981
890,0,0,1020,784,850,961,982
900,0,0,992,784,848,969,977
910,0,0,990,774,851,960,976
920,0,0,992,787,793,966,976
930,0,0,987,790,846,966,990
940,0,0,979,768,847,977,978
950,0,0,996,771,859,970,1005
960,0,1,985,775,846,959,975
970,0,2,981,772,847,956,963
980,0,3,981,783,847,962,982
990,0,3,986,801,847,961,976
