timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-1,994,736,819,959,980
10,0,-5,978,763,829,962,977
20,0,-6,987,752,827,951,976
30,0,-6,983,739,833,957,959
40,1,-6,980,713,823,954,982
50,2,-6,975,749,838,961,978
60,3,-6,983,746,839,962,977
70,4,-5,976,783,843,967,977
80,5,-5,1005,752,854,960,986
90,6,-5,981,753,855,961,977
100,7,-5,978,759,855,953,975
110,8,-5,1005,755,863,954,979
120,9,-5,976,752,865,959,972
130,10,-5,988,752,868,953,979
140,11,-5,988,799,883,917,977
150,11,-5,978,757,880,973,987
160,11,-5,946,779,892,981,992
170,11,-5,965,761,891,960,970
180,11,-5,977,768,899,969,976
190,11,-5,995,753,911,962,987
200,11,-6,990,755,906,975,974
210,11,-7,1007,759,923,961,986
220,11,-8,1001,768,899,973,938
230,11,-10,995,770,909,964,976
240,11,-12,1010,775,930,982,972
250,11,-13,1006,752,919,960,976
260,11,-14,1007,770,934,959,982
270,11,-15,1040,765,928,976,995
280,10,-12,1013,775,931,970,981
290,9,-10,1014,784,927,961,975
300,8,-8,1005,780,927,969,995
310,6,-6,1002,805,930,976,978
320,5,-4,1013,799,934,976,979
330,4,-2,1030,803,934,964,983
340,3,-1,1009,791,927,976,976
350,2,0,992,805,914,959,992
360,1,0,998,810,933,976,981
370,0,0,1008,802,926,960,981
380,0,0,1029,787,939,1002,976
390,0,-1,1005,813,933,963,993
400,0,-2,1018,809,922,974,991
410,0,-3,1011,814,944,976,978
420,0,-4,946,806,925,963,982
430,0,-4,1015,805,922,960,963
440,0,-4,1007,801,919,982,973
450,-1,-2,1009,796,918,975,979
460,-3,2,999,807,915,966,987
470,-5,8,1029,809,915,962,979
480,-6,14,994,798,893,967,981
490,-6,19,997,797,869,954,970
500,-6,23,992,793,841,965,963
510,-5,26,1040,752,827,960,990
520,-4,28,1001,784,830,961,976
530,-2,29,1015,754,827,956,990
540,0,29,986,744,816,959,976
550,1,28,978,754,816,958,973
560,2,28,986,733,815,976,985
570,2,28,991,748,814,973,976
580,2,27,1001,731,814,963,979
590,2,26,990,709,805,961,976
600,2,25,1003,735,810,966,978
610,2,24,989,752,802,965,977
620,2,24,980,738,811,962,976
630,2,23,997,735,809,948,970
640,2,22,988,720,802,965,978
650,2,20,987,735,799,959,981
660,2,18,984,758,805,951,978
670,2,15,1004,752,812,965,987
680,2,12,1051,730,797,964,976
690,1,9,993,747,796,951,979
700,0,7,1002,747,801,963,976
710,0,5,961,726,811,963,982
720,0,3,990,733,800,943,978
730,0,2,987,739,804,970,976
740,0,1,993,755,816,959,991
750,0,0,977,737,802,942,979
760,0,0,989,729,819,969,986
770,0,0,986,731,803,958,977
780,0,0,985,737,805,958,976
790,0,0,994,729,805,958,976
800,0,0,991,737,817,982,983
810,0,0,989,738,810,965,979
820,0,0,969,710,816,960,962
830,0,0,992,724,807,961,976
840,0,0,989,730,829,981,965
850,0,0,987,747,828,964,983
860,0,0,990,733,811,956,974
870,0,0,995,745,806,977,977
880,0,0,983,725,817,959,977
890,0,0,981,739,816,957,976
900,0,0,963,769,816,973,976
910,0,0,991,737,822,955,976
920,0,0,981,722,816,954,979
930,0,0,1072,730,770,966,975
940,0,0,1005,743,816,975,972
950,0,0,960,740,821,963,967
960,0,0,986,742,810,960,979
970,0,0,957,737,832,953,976
980,0,0,987,736,784,975,979
990,0,0,984,731,830,963,974
