timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-10,977,691,874,959,967
10,0,-14,969,720,852,971,976
20,0,-18,971,727,875,963,976
30,0,-21,960,749,885,962,980
40,0,-24,983,729,887,967,935
50,0,-26,980,737,894,967,978
60,0,-27,989,730,911,973,994
70,0,-27,995,735,892,960,976
80,0,-27,987,753,891,971,975
90,0,-27,989,760,890,960,976
100,0,-28,987,752,869,962,982
110,1,-28,994,739,917,969,976
120,1,-28,976,737,914,977,976
130,1,-27,999,747,938,963,976
140,0,-24,1002,770,896,971,982
150,0,-21,1003,746,907,966,974
160,0,-18,989,767,874,973,976
170,0,-15,1002,783,887,971,973
180,0,-13,1005,748,919,967,978
190,0,-12,1003,755,933,976,979
200,0,-11,995,749,953,972,993
210,0,-10,1008,751,943,969,973
220,0,-9,997,758,944,982,975
230,0,-8,1002,748,937,970,980
240,0,-7,989,757,944,963,986
250,0,-6,1018,730,918,955,976
260,0,-5,996,759,925,989,972
270,0,-4,1010,742,909,960,983
280,0,-4,997,726,926,960,979
290,0,-4,993,750,917,966,979
300,0,-3,1003,749,907,959,975
310,0,-1,987,729,907,958,979
320,0,1,991,706,890,1009,976
330,0,3,1003,716,853,966,978
340,0,5,975,717,848,968,991
350,-1,7,1008,699,807,959,976
360,-1,10,995,705,795,945,989
370,-1,13,992,686,785,945,976
380,-1,15,997,678,786,965,986
390,-1,17,978,688,785,946,976
400,0,17,981,677,775,955,977
410,0,16,978,673,773,958,993
420,0,14,979,688,766,960,972
430,0,13,979,679,807,965,997
440,0,12,996,674,766,962,973
450,0,11,994,689,775,958,963
460,0,10,983,650,806,966,966
470,0,9,977,666,773,951,976
480,0,8,978,688,797,943,992
490,0,7,989,687,770,937,983
500,0,6,976,671,788,976,975
510,0,5,1012,656,774,960,978
520,0,4,976,674,778,960,975
530,0,3,970,683,783,971,975
540,0,2,978,656,797,947,976
550,0,1,982,671,789,943,990
560,0,0,973,707,783,951,976
570,0,0,977,690,787,949,974
580,0,0,994,688,789,947,977
590,0,0,982,687,791,944,986
600,1,0,977,677,800,944,980
610,1,0,991,688,790,947,973
620,1,0,967,687,783,955,985
630,1,0,976,692,783,961,976
640,1,0,963,675,785,944,966
650,1,0,975,670,788,962,974
660,1,0,1008,662,816,960,977
670,1,0,991,677,781,953,971
680,1,0,983,688,787,960,983
690,1,0,983,666,768,946,980
700,1,0,978,694,803,979,977
710,0,0,979,686,791,938,975
720,0,0,983,666,790,953,977
730,0,0,986,671,790,954,976
740,0,0,990,674,799,951,981
750,0,0,982,675,795,945,989
760,0,0,987,677,786,949,976
770,0,0,943,673,817,943,976
780,0,0,976,676,784,966,976
790,0,0,983,688,802,956,976
800,0,0,993,672,784,957,975
810,0,0,976,670,802,927,974
820,0,0,993,689,816,947,973
830,0,0,978,695,829,960,976
840,0,0,976,690,793,948,975
850,0,0,1008,677,766,944,977
860,0,0,976,685,799,977,976
870,0,0,982,676,807,957,976
880,0,0,985,651,807,947,997
890,0,0,979,688,787,952,987
900,0,0,989,689,801,954,975
910,0,0,986,701,814,959,981
920,0,3,992,672,811,954,978
930,0,6,977,650,793,947,1022
940,0,9,975,709,796,953,985
950,0,11,980,677,800,962,976
960,0,12,976,682,801,962,996
970,0,12,976,690,803,958,974
980,0,12,985,695,787,963,946
990,0,12,982,675,813,951,979
