timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-3,961,710,811,971,985
10,0,-7,966,720,806,962,976
20,0,-10,963,718,797,958,975
30,1,-13,967,706,811,960,979
40,2,-15,976,711,816,966,976
50,2,-16,976,720,814,951,957
60,2,-15,974,712,813,958,982
70,2,-14,970,722,817,967,977
80,2,-13,977,733,822,960,951
90,2,-12,965,718,809,946,986
100,2,-11,965,715,827,962,979
110,2,-10,962,730,829,959,973
120,2,-9,973,733,830,960,976
130,2,-8,972,736,822,970,976
140,2,-7,975,721,845,958,977
150,2,-6,976,736,849,960,983
160,2,-6,986,725,816,960,976
170,2,-6,974,727,862,971,973
180,2,-6,973,729,875,967,974
190,2,-6,978,752,901,976,979
200,2,-6,970,720,896,973,977
210,2,-6,988,761,910,965,944
220,2,-6,976,723,889,971,976
230,2,-6,1011,729,914,962,981
240,2,-7,975,741,912,975,985
250,2,-8,976,743,903,975,973
260,2,-9,975,727,921,970,982
270,2,-10,987,752,895,976,976
280,2,-11,1055,729,912,967,978
290,2,-12,978,743,919,970,986
300,2,-13,976,734,931,971,981
310,2,-14,981,729,891,964,976
320,2,-15,973,772,926,951,985
330,2,-17,986,752,944,975,983
340,2,-19,985,752,909,979,976
350,2,-20,986,733,946,990,980
360,1,-18,990,741,929,964,978
370,0,-16,981,735,912,976,981
380,0,-14,990,751,937,971,976
390,0,-12,1007,745,918,971,976
400,0,-10,1001,749,942,991,978
410,0,-7,989,752,928,976,975
420,0,-4,995,752,941,965,979
430,0,-1,995,757,940,960,981
440,0,0,1003,754,943,971,979
450,0,0,990,749,949,1040,954
460,0,0,999,752,925,970,986
470,0,0,1005,746,930,972,983
480,0,0,996,759,929,965,981
490,0,0,1008,758,919,960,981
500,0,0,989,759,931,974,959
510,0,0,995,750,928,976,976
520,0,0,994,752,929,972,976
530,0,1,991,751,935,986,983
540,0,3,996,746,932,965,977
550,0,6,1005,752,899,974,993
560,0,9,991,741,907,965,977
570,0,11,996,748,883,976,979
580,0,13,976,746,863,956,955
590,0,15,978,742,835,955,981
600,0,16,975,733,809,958,979
610,0,17,975,758,815,945,981
620,0,17,988,722,811,965,971
630,0,17,976,721,799,955,969
640,0,17,983,720,786,951,973
650,0,17,976,723,797,950,980
660,0,17,989,742,787,962,975
670,0,17,976,719,784,951,986
680,0,17,976,716,788,949,975
690,0,17,973,722,771,913,979
700,0,16,976,711,782,959,983
710,0,15,975,735,771,963,995
720,0,14,976,718,784,957,982
730,0,13,976,723,796,966,978
740,0,12,971,664,752,954,976
750,0,11,983,718,779,952,982
760,0,10,974,720,784,971,983
770,0,9,987,749,781,963,977
780,0,8,987,704,798,974,974
790,0,7,982,686,771,947,945
800,0,6,976,705,784,973,973
810,0,5,975,713,784,955,973
820,0,4,987,707,777,951,976
830,0,4,976,709,787,956,973
840,0,5,976,707,781,944,979
850,0,5,975,718,790,944,982
860,0,5,977,706,779,959,976
870,0,5,979,718,775,963,981
880,0,5,967,711,780,955,973
890,0,5,986,714,785,950,977
900,0,5,977,706,768,948,971
910,0,5,982,709,785,967,974
920,0,5,976,678,777,947,976
930,0,5,976,706,771,945,949
940,0,5,976,720,788,947,960
950,0,5,977,713,781,951,975
960,0,5,975,715,784,956,973
970,0,5,976,708,784,950,979
980,0,4,987,709,784,971,976
990,0,3,997,705,789,973,973
