timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-3,974,735,807,957,976
10,-1,-2,971,717,789,975,978
20,0,-5,976,765,797,960,981
30,0,-8,975,735,797,971,976
40,0,-11,986,739,778,963,944
50,0,-14,976,727,788,958,976
60,0,-15,981,721,825,960,961
70,0,-14,974,745,773,963,979
80,0,-13,974,723,797,966,978
90,0,-12,991,679,801,949,1002
100,0,-11,979,744,812,967,979
110,0,-10,978,738,807,974,977
120,0,-9,986,725,812,965,976
130,0,-8,976,751,820,962,982
140,0,-7,965,729,834,950,975
150,0,-6,981,738,829,961,989
160,0,-5,994,729,843,981,978
170,0,-4,999,749,866,950,977
180,0,-4,983,734,880,944,989
190,0,-4,973,752,874,966,976
200,0,-4,995,748,894,967,980
210,0,-4,992,735,909,972,982
220,0,-4,999,754,910,964,976
230,0,-4,992,747,855,967,986
240,0,-4,1003,767,910,975,976
250,0,-4,957,763,933,915,992
260,0,-4,998,755,925,966,979
270,0,-4,993,752,912,957,976
280,0,-4,1014,753,922,982,978
290,0,-4,997,753,918,975,979
300,0,-4,1028,798,915,955,989
310,0,-4,1008,770,916,973,978
320,0,-4,1008,768,899,960,976
330,1,-5,983,770,910,971,995
340,2,-6,1008,769,938,969,974
350,2,-7,1014,768,948,960,977
360,2,-7,1008,779,939,961,995
370,1,-6,1022,779,931,966,976
380,0,-5,1013,751,951,966,981
390,0,-4,1006,778,916,967,982
400,0,-2,1008,783,926,967,993
410,0,-1,1008,776,923,1002,987
420,0,0,1018,772,915,966,976
430,0,0,1011,784,941,976,969
440,0,0,1010,787,923,973,977
450,0,0,1014,781,944,971,976
460,0,0,1018,734,943,966,985
470,0,0,1007,821,923,976,978
480,0,0,1040,785,923,968,1039
490,0,0,1011,795,930,974,976
500,0,0,1014,784,939,964,971
510,0,0,1013,779,919,973,976
520,0,0,1004,777,922,973,977
530,0,0,1011,779,913,969,982
540,0,0,1033,779,919,975,979
550,0,0,1001,780,923,977,981
560,0,1,1008,780,912,978,971
570,0,2,1008,778,909,965,974
580,0,3,992,785,896,973,981
590,0,4,1007,769,889,945,945
600,0,5,992,766,836,965,989
610,0,7,982,753,838,970,975
620,0,8,1009,756,816,955,988
630,0,9,982,754,800,960,975
640,0,10,1000,757,798,974,970
650,0,10,983,741,786,966,976
660,0,10,978,749,787,974,983
670,0,10,975,747,791,966,979
680,0,10,971,734,790,960,983
690,0,10,957,737,784,960,974
700,0,9,985,742,784,963,991
710,0,8,991,736,786,966,979
720,0,7,976,711,788,961,983
730,0,6,983,731,793,960,981
740,0,5,983,727,779,960,954
750,0,4,973,730,772,961,985
760,0,3,972,741,780,959,993
770,0,2,982,727,801,971,995
780,0,1,976,726,811,954,979
790,0,1,971,732,795,958,975
800,0,1,975,710,816,971,985
810,0,1,961,715,796,984,982
820,0,1,987,731,781,972,977
830,0,1,976,727,791,962,979
840,0,1,984,722,789,960,979
850,0,1,974,721,784,960,976
860,0,1,985,719,763,930,977
870,0,1,964,727,787,964,978
880,0,1,975,752,797,957,976
890,0,0,978,734,782,976,975
900,0,0,976,731,788,965,976
910,0,0,976,717,844,947,980
920,0,0,976,719,787,965,978
930,0,0,976,746,784,960,982
940,0,0,971,716,803,969,1008
950,0,0,969,735,796,959,986
960,0,0,973,719,790,963,986
970,0,0,973,717,785,957,978
980,0,0,975,720,802,958,976
990,0,0,986,731,835,961,976
