timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-2,997,723,810,955,976
10,0,0,980,715,841,978,995
20,0,-3,981,727,816,976,997
30,0,-5,978,730,827,975,976
40,0,-6,976,719,859,971,976
50,0,-7,977,732,843,971,976
60,0,-6,976,739,819,964,964
70,0,-5,991,726,843,954,981
80,0,-4,978,735,874,958,977
90,1,-3,976,738,882,965,976
100,2,-2,981,752,880,960,975
110,2,-2,981,761,910,959,976
120,2,-1,970,747,871,971,986
130,2,-1,965,733,911,976,977
140,2,-1,976,737,917,959,981
150,2,-1,990,757,880,977,973
160,2,-1,976,725,917,971,979
170,2,-1,976,725,923,979,976
180,2,-1,982,737,913,970,981
190,2,-2,977,742,912,974,976
200,2,-3,993,743,911,950,977
210,2,-4,982,794,914,975,980
220,1,-5,998,741,912,963,980
230,0,-5,994,745,928,965,979
240,0,-5,1005,747,921,980,971
250,0,-5,975,752,936,995,983
260,0,-5,997,750,917,961,986
270,0,-5,991,745,912,976,976
280,0,-5,1003,771,912,967,991
290,0,-5,991,768,925,973,983
300,0,-5,1008,752,933,971,981
310,0,-5,1007,734,912,974,979
320,0,-5,1005,753,923,969,976
330,0,-5,1008,780,915,944,976
340,0,-6,999,768,943,966,976
350,0,-7,998,752,939,970,977
360,0,-8,1002,773,922,960,1002
370,0,-9,1002,746,926,973,972
380,0,-9,1013,757,926,1031,978
390,0,-9,1029,761,923,960,994
400,0,-8,1008,763,928,965,973
410,0,-7,983,749,927,982,972
420,0,-6,1003,766,925,978,976
430,0,-5,1008,780,919,956,985
440,0,-4,1011,762,926,980,981
450,0,-3,1008,775,917,980,977
460,0,-2,1035,755,918,987,977
470,0,-1,1008,769,926,975,977
480,0,0,1031,767,919,973,983
490,0,0,1010,766,941,967,975
500,0,0,1004,763,931,978,987
510,0,0,1031,758,922,961,985
520,0,0,1008,747,933,964,981
530,0,0,1006,761,933,971,967
540,0,0,1008,784,928,970,976
550,0,0,1019,743,910,990,987
560,0,0,1008,775,919,983,981
570,0,0,995,752,935,965,970
580,0,1,1001,763,918,966,973
590,0,2,1036,774,912,972,981
600,0,3,1008,757,893,970,983
610,0,4,1006,763,880,955,976
620,0,5,986,765,863,967,976
630,0,6,1006,763,846,975,981
640,0,8,1031,768,838,974,977
650,0,10,995,768,813,986,978
660,0,11,999,754,819,965,983
670,0,12,1015,743,814,963,978
680,0,13,995,720,772,967,983
690,0,13,1008,743,791,959,973
700,0,13,990,750,806,934,961
710,0,14,993,724,799,966,975
720,0,14,989,752,784,976,981
730,0,14,1004,730,789,972,995
740,0,14,1003,720,784,976,975
750,0,14,1006,721,772,960,979
760,0,14,1012,722,781,967,977
770,0,13,993,723,773,972,971
780,0,12,965,727,781,978,964
790,0,11,998,727,775,971,976
800,0,10,1001,727,782,966,981
810,0,9,998,752,784,966,999
820,0,8,991,720,797,958,975
830,0,7,1015,739,805,981,967
840,0,6,993,727,773,971,977
850,0,6,991,726,784,965,979
860,0,6,997,726,751,958,991
870,0,6,997,720,767,969,976
880,0,5,981,739,791,963,973
890,0,4,993,719,755,993,983
900,0,3,1002,734,778,958,974
910,0,2,984,736,761,959,974
920,0,1,997,713,784,976,976
930,0,1,992,725,786,959,976
940,0,1,1005,721,779,976,978
950,0,1,1003,720,789,963,976
960,0,1,960,699,812,969,966
970,0,1,1010,720,793,942,988
980,0,1,993,731,778,967,979
990,0,0,992,711,791,953,977
