timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-3,979,721,787,960,973
10,-1,-3,976,722,752,917,975
20,-1,-6,976,647,784,959,982
30,-1,-7,982,731,778,960,992
40,-1,-8,983,726,769,949,989
50,-1,-9,970,722,797,953,976
60,-1,-10,973,703,801,955,976
70,-1,-10,975,720,784,974,979
80,-1,-10,977,710,826,962,976
90,0,-9,989,715,806,949,986
100,0,-8,991,705,834,963,985
110,0,-7,979,723,825,953,983
120,0,-7,985,713,834,969,955
130,0,-7,981,720,860,953,976
140,0,-7,976,730,853,960,976
150,0,-7,985,699,862,963,941
160,0,-7,1002,720,886,951,981
170,0,-7,1003,721,906,967,963
180,0,-7,986,724,901,923,962
190,0,-7,991,743,918,959,977
200,0,-7,985,720,941,959,999
210,0,-7,987,750,915,959,976
220,0,-7,995,737,892,960,1003
230,0,-7,995,759,908,967,974
240,0,-7,1012,731,911,955,976
250,0,-7,1002,743,918,956,982
260,0,-7,993,747,935,965,977
270,0,-7,1003,731,931,961,986
280,0,-7,997,752,917,960,979
290,0,-6,1011,760,921,963,983
300,0,-6,1008,752,914,982,950
310,0,-6,1006,755,930,959,976
320,0,-6,1008,754,929,965,973
330,0,-6,1005,840,942,978,982
340,0,-6,998,749,912,974,979
350,0,-6,1001,758,941,970,983
360,0,-6,1007,759,931,976,979
370,0,-6,1010,752,929,969,978
380,0,-6,1006,755,933,961,976
390,0,-5,1018,757,955,979,970
400,0,-4,1005,779,919,962,979
410,0,-4,1005,768,931,966,986
420,0,-4,1006,762,919,953,981
430,0,-4,1019,759,923,955,987
440,0,-3,1008,735,929,961,978
450,0,-2,1008,752,924,965,979
460,0,-1,1013,771,912,969,964
470,0,0,1054,751,935,968,980
480,0,0,998,768,930,966,977
490,0,0,1041,764,916,976,999
500,0,0,1008,767,923,959,982
510,0,0,1008,753,905,969,976
520,0,0,1006,763,912,967,969
530,0,0,1015,768,921,923,979
540,0,0,1002,773,941,987,975
550,0,0,1022,761,922,965,985
560,0,0,1021,755,930,971,977
570,0,0,1002,767,915,968,974
580,0,0,1003,768,914,976,978
590,0,0,1008,761,923,973,980
600,0,0,1002,764,914,972,983
610,0,1,992,770,930,966,976
620,0,3,1080,813,903,945,994
630,0,5,995,752,893,967,977
640,0,7,1008,752,882,953,977
650,0,9,1008,754,811,960,986
660,0,11,1001,754,816,976,976
670,0,13,995,747,816,963,977
680,0,15,1019,754,804,972,981
690,0,16,975,748,788,958,976
700,0,17,999,733,814,955,991
710,0,18,989,727,778,957,977
720,0,18,976,725,779,972,979
730,0,17,1002,726,766,960,942
740,0,16,975,717,772,959,979
750,0,15,977,717,771,963,973
760,0,14,992,736,765,944,979
770,0,13,983,726,769,944,976
780,0,11,976,724,771,950,970
790,0,9,986,722,758,957,976
800,0,7,979,705,775,978,982
810,0,5,998,725,776,978,978
820,0,4,999,707,762,950,976
830,0,3,979,707,776,949,970
840,0,2,986,711,775,959,978
850,0,1,980,706,747,957,978
860,0,0,987,718,816,954,996
870,0,0,982,703,777,949,979
880,0,0,976,715,771,965,966
890,0,0,994,704,752,944,967
900,0,0,976,705,765,959,980
910,0,0,986,720,767,954,977
920,0,0,985,704,780,960,976
930,0,0,974,703,762,946,976
940,0,0,981,711,752,965,976
950,0,0,980,715,770,956,979
960,0,0,975,709,801,944,976
970,0,0,976,720,759,960,983
980,0,0,973,688,764,950,976
990,0,0,976,718,752,957,970
