timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-3,995,730,832,966,994
10,0,-8,937,755,829,985,971
20,0,-13,974,720,848,981,975
30,0,-16,993,727,821,967,973
40,0,-17,987,735,829,955,960
50,0,-17,978,721,835,979,981
60,0,-16,989,732,809,958,975
70,0,-15,959,726,825,963,978
80,0,-14,1007,752,826,960,986
90,0,-13,988,742,828,973,976
100,0,-12,994,720,829,988,974
110,0,-11,990,719,837,981,961
120,0,-10,980,730,825,960,978
130,0,-9,978,754,828,954,978
140,0,-8,978,746,829,958,983
150,0,-7,983,738,848,972,985
160,0,-6,967,747,849,960,973
170,0,-5,979,728,862,953,977
180,0,-5,982,743,862,962,978
190,0,-5,997,749,880,962,976
200,0,-5,979,743,922,958,976
210,0,-6,976,716,906,987,981
220,0,-6,978,752,897,974,978
230,0,-7,997,733,900,976,979
240,0,-7,977,756,916,976,975
250,0,-7,916,752,912,960,974
260,0,-7,993,761,918,972,945
270,0,-7,1001,758,922,976,983
280,0,-8,1017,738,922,976,977
290,0,-8,980,752,938,974,976
300,0,-8,1011,743,897,966,979
310,0,-9,975,749,945,970,977
320,0,-9,994,765,922,965,981
330,0,-8,995,762,935,966,976
340,0,-6,1011,755,918,956,978
350,0,-4,1003,753,939,967,976
360,0,-3,999,775,931,976,1021
370,0,-2,996,775,938,973,979
380,0,-1,1031,759,938,972,982
390,0,0,1007,758,921,926,976
400,0,0,1016,777,906,974,981
410,0,0,1012,745,925,970,976
420,0,0,999,779,941,966,977
430,0,0,999,777,931,970,978
440,0,0,1003,763,960,960,970
450,0,0,999,746,932,967,976
460,0,0,983,764,923,971,983
470,0,0,1007,752,944,977,979
480,0,0,996,765,917,967,983
490,0,0,1023,757,926,971,972
500,0,1,993,771,913,976,979
510,0,3,1007,779,926,959,983
520,0,6,999,762,886,976,1001
530,0,9,1003,752,871,969,990
540,0,12,993,756,817,958,974
550,0,14,994,741,828,950,976
560,0,16,982,740,809,971,976
570,0,18,990,722,775,944,989
580,0,19,993,720,783,956,977
590,0,18,976,706,778,945,976
600,0,17,978,705,758,953,976
610,0,15,989,705,770,958,983
620,0,14,977,658,800,941,976
630,0,13,979,685,737,943,969
640,0,12,977,692,768,951,971
650,0,11,1002,686,754,958,978
660,0,9,990,704,783,950,976
670,0,8,994,691,793,953,963
680,0,6,971,715,771,957,984
690,0,5,976,705,779,962,977
700,0,4,975,705,766,938,976
710,0,3,985,697,750,962,983
720,0,2,1051,698,769,958,982
730,0,2,987,689,749,957,957
740,0,3,975,688,773,944,975
750,0,3,991,682,784,960,975
760,0,3,987,692,771,939,977
770,0,3,977,695,774,947,976
780,0,2,999,672,791,963,975
790,0,2,976,720,767,913,970
800,0,2,991,710,793,944,976
810,0,2,984,680,752,944,969
820,0,2,989,704,791,963,977
830,0,2,991,711,777,943,981
840,0,2,976,701,779,963,977
850,0,2,981,694,778,951,976
860,0,2,979,703,784,959,976
870,0,2,978,707,780,946,976
880,0,2,988,703,781,945,976
890,0,2,989,688,769,945,944
900,0,2,994,695,775,960,975
910,0,2,986,691,797,942,968
920,0,2,973,690,787,938,975
930,0,2,983,698,775,957,983
940,0,2,983,688,784,974,976
950,0,2,998,688,784,953,967
960,0,1,981,719,784,972,977
970,0,1,977,687,787,943,976
980,0,1,974,693,784,944,972
990,0,1,976,721,794,957,976
