timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,1,976,731,848,983,977
10,0,0,977,737,854,981,978
20,0,-1,979,738,846,971,978
30,0,-2,1039,739,854,986,986
40,0,-3,992,727,838,977,979
50,0,-3,991,736,853,985,975
60,0,-3,976,730,846,975,958
70,0,-3,989,743,850,975,978
80,0,-3,970,748,832,972,979
90,0,-3,974,725,855,973,979
100,0,-3,976,739,854,975,976
110,0,-3,990,740,883,987,986
120,0,-2,983,738,858,976,978
130,0,-1,977,734,870,965,976
140,0,0,1049,735,878,977,980
150,0,0,986,736,880,976,987
160,0,0,981,737,883,982,981
170,0,0,992,746,886,976,979
180,0,0,991,741,885,976,986
190,0,0,978,745,885,968,1003
200,0,0,986,749,898,976,976
210,0,0,987,740,895,974,982
220,0,0,999,709,918,1003,979
230,0,0,994,738,911,977,986
240,0,0,975,741,913,971,988
250,0,0,995,747,913,1003,981
260,0,0,997,744,915,983,981
270,0,0,976,743,912,985,977
280,0,0,993,733,915,977,985
290,0,0,958,745,916,981,977
300,0,0,991,753,922,953,987
310,0,0,996,746,916,978,975
320,0,0,986,752,913,970,1020
330,0,0,992,736,913,976,971
340,0,0,979,722,914,974,986
350,0,0,1000,731,903,995,955
360,0,0,999,727,927,974,977
370,0,-1,1005,739,919,989,985
380,0,-2,989,746,917,976,980
390,0,-2,993,751,913,976,982
400,0,-2,989,766,918,962,1001
410,0,-1,1006,755,923,976,977
420,0,0,995,757,941,976,985
430,0,0,1010,739,983,974,971
440,0,0,1006,763,919,976,978
450,0,0,1006,729,929,976,991
460,0,0,993,754,933,972,977
470,0,0,997,740,927,977,976
480,0,0,990,727,927,993,982
490,0,0,997,739,924,994,977
500,0,0,991,750,922,973,977
510,0,0,1002,738,930,988,979
520,0,0,999,738,925,971,977
530,0,0,966,720,907,1006,976
540,0,0,992,752,940,987,985
550,0,0,990,733,923,983,983
560,0,0,1008,747,944,993,979
570,0,0,1007,750,926,976,985
580,0,0,994,757,912,976,976
590,0,0,1014,767,925,970,983
600,0,0,995,741,916,978,986
610,0,0,998,754,927,1006,987
620,0,0,991,757,922,991,976
630,0,0,967,756,923,977,977
640,0,0,997,757,950,981,987
650,0,0,1003,750,944,975,986
660,0,0,1002,749,915,976,977
670,0,0,1002,738,917,976,983
680,0,1,993,751,912,977,994
690,0,2,986,749,912,960,989
700,0,3,1007,752,912,976,976
710,0,4,994,741,904,981,983
720,0,5,989,744,915,976,989
730,0,6,987,745,879,985,977
740,0,6,973,738,862,969,972
750,0,6,991,730,848,977,961
760,0,6,1008,752,853,990,982
770,0,6,997,741,845,942,978
780,0,6,1002,741,839,966,989
790,0,6,995,727,838,971,978
800,0,6,973,755,831,976,982
810,0,6,983,748,842,979,979
820,0,6,993,757,805,976,1002
830,0,6,1001,746,830,975,986
840,0,6,998,718,816,973,989
850,0,6,995,747,797,975,976
860,0,5,986,741,827,977,978
870,0,5,945,686,846,976,975
880,0,5,978,737,830,977,982
890,0,4,1011,734,817,972,981
900,0,3,986,742,817,976,994
910,0,2,995,737,838,981,983
920,0,1,994,729,823,987,982
930,0,1,993,747,831,976,973
940,0,1,979,731,823,981,986
950,0,1,986,743,824,983,976
960,0,1,983,746,830,975,977
970,0,1,985,731,819,967,979
980,0,1,976,737,806,979,977
990,0,1,982,742,817,975,978
