timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-1,970,737,849,975,983
10,-1,0,975,752,858,991,962
20,-1,-2,982,741,853,989,986
30,0,-3,974,738,851,982,978
40,0,-4,951,746,870,991,976
50,0,-5,976,745,865,949,978
60,0,-6,985,752,880,981,976
70,0,-7,981,753,873,988,964
80,0,-7,1002,748,893,979,978
90,0,-7,987,733,885,971,976
100,0,-7,976,742,911,989,979
110,0,-7,978,752,898,982,986
120,0,-7,1018,752,926,976,981
130,0,-7,983,741,919,985,985
140,0,-7,976,746,936,997,976
150,0,-7,967,751,939,981,979
160,0,-7,971,753,924,991,986
170,0,-7,976,736,937,993,981
180,0,-6,982,759,929,983,983
190,0,-5,982,769,939,989,977
200,0,-4,976,777,946,994,987
210,0,-4,970,759,933,1002,977
220,0,-4,970,747,928,1008,976
230,0,-4,973,752,938,997,1003
240,0,-4,993,759,944,989,979
250,0,-4,999,765,943,993,993
260,0,-3,973,752,932,1009,985
270,0,-2,986,750,929,995,987
280,0,-1,991,747,930,995,979
290,0,0,988,842,941,972,987
300,0,0,974,763,930,993,978
310,0,0,978,758,912,989,975
320,0,0,986,766,923,982,981
330,0,0,1017,752,928,999,979
340,0,0,984,767,919,987,977
350,0,0,1009,762,918,997,977
360,0,0,1021,743,943,1010,979
370,0,0,985,773,934,976,1001
380,0,0,990,771,943,1008,976
390,0,0,985,758,909,993,979
400,0,0,994,774,943,988,987
410,0,0,1005,752,955,991,997
420,0,0,997,768,930,990,983
430,0,0,990,755,942,976,978
440,0,0,1014,753,941,996,967
450,0,0,994,759,935,991,989
460,0,0,933,764,927,1001,975
470,0,0,967,773,925,979,981
480,0,1,976,774,915,982,980
490,0,3,976,798,931,973,991
500,0,4,965,775,919,982,981
510,0,5,977,759,896,981,976
520,0,5,979,786,865,985,979
530,0,5,978,761,880,977,985
540,0,5,971,784,888,981,986
550,0,5,978,751,881,986,976
560,0,5,976,758,866,989,978
570,0,5,978,762,848,978,975
580,0,4,973,757,859,970,982
590,0,4,970,751,848,998,983
600,0,4,974,752,879,982,983
610,0,4,976,752,850,974,979
620,0,4,976,764,828,981,977
630,0,4,976,763,806,976,980
640,0,4,977,755,841,990,978
650,0,4,991,747,853,978,989
660,0,4,982,772,846,976,990
670,0,4,992,758,831,974,976
680,0,4,976,748,831,976,987
690,0,4,975,753,823,976,983
700,0,4,941,745,830,960,989
710,0,3,988,735,846,958,983
720,0,3,971,755,849,978,979
730,0,3,982,747,847,986,970
740,0,2,986,757,837,973,976
750,0,1,978,746,849,982,981
760,0,1,980,750,847,970,977
770,0,1,981,744,838,976,981
780,0,1,946,738,813,981,1003
790,0,1,992,742,835,976,982
800,0,1,1003,752,887,966,979
810,0,1,981,737,833,981,979
820,0,1,986,742,831,982,978
830,0,1,1008,738,833,986,994
840,0,1,976,788,852,976,978
850,0,1,975,749,845,976,982
860,0,0,957,747,841,969,981
870,0,0,976,747,834,988,985
880,0,0,957,747,827,981,976
890,0,0,962,774,869,976,979
900,0,0,987,750,846,983,977
910,0,0,969,755,837,977,981
920,0,0,974,749,839,976,989
930,0,0,965,743,852,966,981
940,0,0,976,703,842,967,999
950,0,0,974,748,832,974,981
960,0,0,955,746,841,985,979
970,0,0,994,727,848,974,962
980,0,0,977,747,835,976,977
990,0,0,973,745,858,978,976
