timestamp,vx,vy,sensor1,sensor2,sensor3,sensor4,sensor5
0,0,-2,999,746,841,967,955
10,0,-4,986,752,827,958,976
20,0,-5,1059,749,835,967,944
30,0,-6,995,766,826,985,976
40,0,-7,990,765,822,960,976
50,0,-7,992,738,825,958,976
60,0,-7,994,752,845,974,976
70,0,-7,990,745,833,963,976
80,0,-7,979,742,833,951,975
90,0,-7,989,751,829,967,981
100,0,-7,980,755,834,990,977
110,0,-6,994,733,841,982,983
120,0,-5,970,749,851,976,976
130,0,-4,994,756,877,976,991
140,0,-4,986,755,880,961,987
150,0,-4,988,761,889,965,983
160,0,-4,985,752,887,976,994
170,0,-5,978,759,907,970,980
180,0,-6,1003,752,910,970,979
190,0,-7,996,800,929,941,980
200,0,-9,979,774,916,977,983
210,0,-10,989,775,932,971,976
220,0,-11,1003,763,930,969,991
230,0,-11,977,780,930,967,997
240,0,-11,999,774,917,967,976
250,0,-12,994,764,918,974,980
260,0,-12,1007,773,930,970,976
270,0,-11,997,807,929,964,978
280,0,-10,998,769,925,973,976
290,0,-9,976,784,943,955,978
300,0,-8,997,788,928,983,975
310,0,-7,999,779,923,976,975
320,0,-6,999,770,944,989,980
330,0,-5,1003,784,933,963,971
340,0,-4,998,786,929,981,978
350,0,-3,1023,816,934,977,976
360,0,-2,1002,792,930,973,982
370,0,-1,1008,783,935,963,977
380,0,0,999,784,939,987,979
390,0,0,1003,795,930,948,982
400,0,0,1008,805,970,966,979
410,0,1,1019,792,925,974,978
420,0,2,1006,788,914,967,973
430,0,3,1002,788,929,974,977
440,0,6,998,795,918,976,983
450,-1,10,1018,784,912,986,978
460,-2,14,1009,785,902,962,992
470,-3,18,976,782,881,955,994
480,-3,21,985,766,851,970,976
490,-3,24,979,752,823,958,977
500,-2,26,989,757,822,966,976
510,-2,26,981,731,785,954,975
520,-1,25,1008,750,781,972,982
530,0,23,995,743,766,959,982
540,0,21,976,726,774,955,987
550,0,19,985,743,777,954,966
560,0,17,978,725,786,959,977
570,0,16,959,727,767,950,971
580,0,15,977,720,774,955,958
590,0,14,994,725,790,944,976
600,0,12,965,737,759,950,974
610,0,10,977,720,768,944,976
620,0,8,970,743,771,962,974
630,0,6,966,813,784,960,986
640,0,5,975,720,784,960,976
650,0,4,973,725,771,956,971
660,0,3,969,698,775,960,977
670,0,2,977,722,772,960,973
680,0,2,929,720,799,955,975
690,0,2,978,722,744,944,977
700,0,1,976,727,784,964,974
710,0,0,954,720,782,960,966
720,0,0,976,720,773,961,978
730,0,0,981,720,773,954,973
740,0,0,978,724,784,942,976
750,0,0,976,720,761,946,975
760,0,0,975,720,784,958,1003
770,0,0,979,725,781,951,977
780,0,0,986,730,791,970,983
790,0,0,1018,710,755,951,999
800,0,0,975,720,784,953,976
810,1,1,993,730,785,947,987
820,1,2,972,726,789,962,976
830,1,3,998,727,784,963,973
840,2,4,983,734,784,958,979
850,2,4,984,720,800,948,977
860,2,3,979,733,781,953,976
870,2,2,976,736,794,951,978
880,2,1,980,711,793,955,976
890,2,1,978,732,774,944,967
900,2,1,975,733,785,970,973
910,2,1,974,720,779,965,974
920,2,1,971,705,772,949,995
930,2,1,974,725,784,947,976
940,1,1,977,718,782,955,981
950,1,1,977,720,784,952,961
960,1,1,983,718,791,970,978
970,1,1,976,722,807,960,979
980,1,1,981,730,786,951,981
990,1,1,989,710,787,955,978
